GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,Display Value,Numeric,Low,High,Comments
MDG_0000000026,PUBLISHED,2001,AFR,SLE,2 250 [ 1 750 - 2 870 ],2250,1750,2870,NA
MDG_0000000026,PUBLISHED,2003,AFR,SLE,1 960 [ 1 550 - 2 470 ],1960,1550,2470,NA
MDG_0000000026,PUBLISHED,2002,AFR,SSD,1 660 [ 1 290 - 2 130 ],1660,1290,2130,NA
MDG_0000000026,PUBLISHED,2003,AFR,SSD,1 610 [ 1 260 - 2 060 ],1610,1260,2060,NA
MDG_0000000026,PUBLISHED,2003,EMR,SOM,1 100 [ 592 - 1 900 ],1100,592,1900,NA
MDG_0000000026,PUBLISHED,2001,AFR,CAF,1 290 [ 894 - 1 880 ],1290,894,1880,NA
MDG_0000000026,PUBLISHED,2006,EMR,SOM,1 040 [ 542 - 1 840 ],1040,542,1840,NA
MDG_0000000026,PUBLISHED,2009,AFR,SLE,1 450 [ 1 150 - 1 830 ],1450,1150,1830,NA
MDG_0000000026,PUBLISHED,2008,EMR,SOM,1 010 [ 520 - 1 810 ],1010,520,1810,NA
MDG_0000000026,PUBLISHED,2009,EMR,SOM,994 [ 507 - 1 790 ],994,507,1790,NA
MDG_0000000026,PUBLISHED,2000,AFR,TCD,1 420 [ 1 150 - 1 740 ],1420,1150,1740,NA
MDG_0000000026,PUBLISHED,2010,AFR,SLE,1 360 [ 1 070 - 1 740 ],1360,1070,1740,NA
MDG_0000000026,PUBLISHED,2003,AFR,TCD,1 370 [ 1 120 - 1 690 ],1370,1120,1690,NA
MDG_0000000026,PUBLISHED,2006,AFR,TCD,1 340 [ 1 080 - 1 670 ],1340,1080,1670,NA
MDG_0000000026,PUBLISHED,2015,AFR,SLE,1 180 [ 877 - 1 650 ],1180,877,1650,NA
MDG_0000000026,PUBLISHED,2014,EMR,SOM,878 [ 424 - 1 650 ],878,424,1650,NA
MDG_0000000026,PUBLISHED,2008,AFR,SSD,1 250 [ 971 - 1 630 ],1250,971,1630,NA
