iso,year,start,end,obs_matdeaths,pm_obs,env,mmr_obs,shortcite,obs_selogpm,type,modelinclude,crvs_completeness,definition,sens,var_sens,sens_sq,oneminsens_sq,spec,var_spec,spec_sq,oneminspec_sq,cov_sesp,completeness_inq
ARG,2014.5,2014,2015,320,0.031021339,10315.48007,NA,Omisión de registros de causas maternas de muerte en Argentina: estudio observacional de alcance nacional,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,1979,1973,1985,334,NA,NA,NA,Maternal deaths in Australia 1973–1996,NA,inq,FALSE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUS,1991,1985,1997,250,0.006146832,40671.35971,NA,Maternal deaths in Australia 1973–1996,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,1995.5,1994,1997,80,0.0077946,10263.51637,NA,"Maternal Deaths in Australia, 1994–1996",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,1998.5,1997,2000,54,0.005040467,10713.29266,NA,Maternal deaths in Australia 1997-1999,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,2001.5,2000,2003,44,0.004329497,10162.8433,NA,Maternal deaths in Australia 2008–2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,2004.5,2003,2006,36,0.003602784,9992.272596,NA,Maternal deaths in Australia 2008–2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,2008.5,2006,2011,63,0.003864423,16302.56137,NA,Maternal deaths in Australia 2008–2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,2010.5,2008,2013,75,0.004610422,16267.49054,NA,Maternal deaths in Australia 2008–2012,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,2011.5,2011,2012,26,0.007860045,3307.868956,NA,Maternal deaths in Australia 2012-2014,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,2012.5,2012,2013,27,0.008551561,3157.318212,NA,Maternal deaths in Australia 2012-2014,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUS,2013.5,2012,2015,63,0.006547013,9622.70885,NA,Maternal deaths in Australia 2012-2014,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUT,1989.5,1980,1999,191,0.0080057,23858,NA,"Under-reporting of direct and indirect obstetrical deaths in Austria, 1980–98",NA,inq,FALSE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUT,2000.5,2000,2001,3,0.001963351,1527.999942,NA,Die Entwicklung der mütterlichen Mortalität in Österreich 2008,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUT,2001.5,2001,2002,5,0.003462604,1443.999976,NA,Die Entwicklung der mütterlichen Mortalität in Österreich 2008,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUT,2002.5,2002,2003,7,0.004874652,1436.00001,NA,Die Entwicklung der mütterlichen Mortalität in Österreich 2008,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUT,2003.5,2003,2004,2,0.001372684,1456.999976,NA,Die Entwicklung der mütterlichen Mortalität in Österreich 2008,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUT,2004.5,2004,2005,5,0.003885004,1286.999972,NA,Die Entwicklung der mütterlichen Mortalität in Österreich 2008,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUT,2005.5,2005,2006,7,0.005147059,1359.999971,NA,Die Entwicklung der mütterlichen Mortalität in Österreich 2008,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
AUT,2006.5,2006,2007,3,0.002356638,1272.999938,NA,Die Entwicklung der mütterlichen Mortalität in Österreich 2008,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
BRA,1996.5,1996,1997,3039,0.048991633,62031,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.831534192
BRA,1997.5,1997,1998,3319,0.05453231,60863,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.843377279
BRA,1998.5,1998,1999,3467,0.055752995,62185,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.854050771
BRA,1999.5,1999,2000,3004,0.048445362,62008,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.865286981
BRA,2000.5,2000,2001,2351,0.033490535,70198.93884,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
BRA,2001.5,2001,2002,2209,0.035959043,61431,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.884659324
BRA,2002.5,2002,2003,2321,0.037456629,61965,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.891519404
BRA,2003.5,2003,2004,2217,0.035895277,61763,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.897952417
BRA,2004.5,2004,2005,2302,0.037103299,62043,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.903515843
BRA,2005.5,2005,2006,2267,0.033588816,67492.70254,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
BRA,2006.5,2006,2007,2272,0.03685978,61639,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.913451414
BRA,2007.5,2007,2008,2226,0.035973432,61879,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.916489159
BRA,2008.5,2008,2009,2017,0.032017398,62997,NA,"Country consultation: Maternal mortality in Brazil, 1996-2012",NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.920361657
BRA,2009.5,2009,2010,2087,0.02971435,70235.42579,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
BRA,2010.5,2010,2011,1973,0.028482978,69269.44252,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
BRA,2011.5,2011,2012,1800,0.025831243,69683.05806,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
BRA,2012.5,2012,2013,1724,0.024888742,69268.26515,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
BRA,2013.5,2013,2014,1803,0.02621403,68779.9635,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
BRA,2014.5,2014,2015,1900,0.02822167,67324.15101,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
BRA,2015.5,2015,2016,1872,0.027511677,68043.83491,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
BRA,2016.5,2016,2017,1841,0.027180754,67731.74815,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
BRA,2017.5,2017,2018,1719,0.025527469,67339.22668,NA,country consultation 2019,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CAN,1990.5,1988,1993,138,0.004768099,28942.35184,NA,Maternal mortality in Canada 1988-1992,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CHL,2010.5,2010,2011,44,0.012374934,3555.574506,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CHL,2011.5,2011,2012,38,0.011560119,3287.163445,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CHL,2012.5,2012,2013,43,0.013032792,3299.369697,NA,PAHO maternal mortality database,NA,inq,TRUE,NA,maternal,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
