"country","iso3c","date","source_name","source_id","value"
"Afghanistan","AFG",2022,"Pillar 1  - Data Use - Score","IQ.SPI.PIL1",80
"Afghanistan","AFG",2022,"Pillar 2 - Data Services - Score","IQ.SPI.PIL2",59.43333333333334
"Afghanistan","AFG",2022,"Pillar 3 - Data Products - Score","IQ.SPI.PIL3",78.63749999999999
"Afghanistan","AFG",2022,"Pillar 4 - Data Sources - Score","IQ.SPI.PIL4",18.7
"Afghanistan","AFG",2022,"Pillar 5 - Data Infrastructure - Score","IQ.SPI.PIL5",55.00000000000001
"Afghanistan","AFG",2022,"SPI Overall Score","IQ.SPI.OVRL",58.35416666666667
"Bangladesh","BGD",2022,"Pillar 1  - Data Use - Score","IQ.SPI.PIL1",90
"Bangladesh","BGD",2022,"Pillar 2 - Data Services - Score","IQ.SPI.PIL2",61.93333333333333
"Bangladesh","BGD",2022,"Pillar 3 - Data Products - Score","IQ.SPI.PIL3",85.83125
"Bangladesh","BGD",2022,"Pillar 4 - Data Sources - Score","IQ.SPI.PIL4",52.608333333333334
"Bangladesh","BGD",2022,"Pillar 5 - Data Infrastructure - Score","IQ.SPI.PIL5",60
"Bangladesh","BGD",2022,"SPI Overall Score","IQ.SPI.OVRL",70.07458333333332
"Benin","BEN",2022,"Pillar 1  - Data Use - Score","IQ.SPI.PIL1",80
"Benin","BEN",2022,"Pillar 2 - Data Services - Score","IQ.SPI.PIL2",69.73333333333333
"Benin","BEN",2022,"Pillar 3 - Data Products - Score","IQ.SPI.PIL3",83.63125000000001
"Benin","BEN",2022,"Pillar 4 - Data Sources - Score","IQ.SPI.PIL4",31.125000000000004
"Benin","BEN",2022,"Pillar 5 - Data Infrastructure - Score","IQ.SPI.PIL5",50
"Benin","BEN",2022,"SPI Overall Score","IQ.SPI.OVRL",62.897916666666674
"Bhutan","BTN",2022,"Pillar 1  - Data Use - Score","IQ.SPI.PIL1",80
"Bhutan","BTN",2022,"Pillar 2 - Data Services - Score","IQ.SPI.PIL2",63.93333333333333
"Bhutan","BTN",2022,"Pillar 3 - Data Products - Score","IQ.SPI.PIL3",75.19375
"Bhutan","BTN",2022,"Pillar 4 - Data Sources - Score","IQ.SPI.PIL4",40.50833333333333
"Bhutan","BTN",2022,"Pillar 5 - Data Infrastructure - Score","IQ.SPI.PIL5",40
"Bhutan","BTN",2022,"SPI Overall Score","IQ.SPI.OVRL",59.92708333333334
"Burkina Faso","BFA",2022,"Pillar 1  - Data Use - Score","IQ.SPI.PIL1",80
"Burkina Faso","BFA",2022,"Pillar 2 - Data Services - Score","IQ.SPI.PIL2",68.9
"Burkina Faso","BFA",2022,"Pillar 3 - Data Products - Score","IQ.SPI.PIL3",81.45625
"Burkina Faso","BFA",2022,"Pillar 4 - Data Sources - Score","IQ.SPI.PIL4",37.15833333333334
"Burkina Faso","BFA",2022,"Pillar 5 - Data Infrastructure - Score","IQ.SPI.PIL5",60
"Burkina Faso","BFA",2022,"SPI Overall Score","IQ.SPI.OVRL",65.50291666666668
"Burundi","BDI",2022,"Pillar 1  - Data Use - Score","IQ.SPI.PIL1",60
"Burundi","BDI",2022,"Pillar 2 - Data Services - Score","IQ.SPI.PIL2",62.866666666666674
"Burundi","BDI",2022,"Pillar 3 - Data Products - Score","IQ.SPI.PIL3",79.6625
"Burundi","BDI",2022,"Pillar 4 - Data Sources - Score","IQ.SPI.PIL4",19.14166666666667
"Burundi","BDI",2022,"Pillar 5 - Data Infrastructure - Score","IQ.SPI.PIL5",35
"Burundi","BDI",2022,"SPI Overall Score","IQ.SPI.OVRL",51.33416666666666
"Cabo Verde","CPV",2022,"Pillar 1  - Data Use - Score","IQ.SPI.PIL1",80
"Cabo Verde","CPV",2022,"Pillar 2 - Data Services - Score","IQ.SPI.PIL2",64.43333333333332
"Cabo Verde","CPV",2022,"Pillar 3 - Data Products - Score","IQ.SPI.PIL3",76.05000000000001
"Cabo Verde","CPV",2022,"Pillar 4 - Data Sources - Score","IQ.SPI.PIL4",62.983333333333334
"Cabo Verde","CPV",2022,"Pillar 5 - Data Infrastructure - Score","IQ.SPI.PIL5",45
"Cabo Verde","CPV",2022,"SPI Overall Score","IQ.SPI.OVRL",65.69333333333334
"Cambodia","KHM",2022,"Pillar 1  - Data Use - Score","IQ.SPI.PIL1",80
"Cambodia","KHM",2022,"Pillar 2 - Data Services - Score","IQ.SPI.PIL2",63.63333333333332
"Cambodia","KHM",2022,"Pillar 3 - Data Products - Score","IQ.SPI.PIL3",81.05
"Cambodia","KHM",2022,"Pillar 4 - Data Sources - Score","IQ.SPI.PIL4",43.7
"Cambodia","KHM",2022,"Pillar 5 - Data Infrastructure - Score","IQ.SPI.PIL5",55.00000000000001
"Cambodia","KHM",2022,"SPI Overall Score","IQ.SPI.OVRL",64.67666666666668
"Cameroon","CMR",2022,"Pillar 1  - Data Use - Score","IQ.SPI.PIL1",60
"Cameroon","CMR",2022,"Pillar 2 - Data Services - Score","IQ.SPI.PIL2",64.16666666666666
"Cameroon","CMR",2022,"Pillar 3 - Data Products - Score","IQ.SPI.PIL3",82.09375
"Cameroon","CMR",2022,"Pillar 4 - Data Sources - Score","IQ.SPI.PIL4",24.59166666666667
"Cameroon","CMR",2022,"Pillar 5 - Data Infrastructure - Score","IQ.SPI.PIL5",45
"Cameroon","CMR",2022,"SPI Overall Score","IQ.SPI.OVRL",55.17041666666667
"Central African Republic","CAF",2022,"Pillar 1  - Data Use - Score","IQ.SPI.PIL1",50
