"WB_Group_Code","WB_Group_Name","date","source_id","source_name","value"
"DFS","IDA countries classified as fragile situations",2016,"IQ.SPI.OVRL","SPI Overall Score",39.51
"DFS","IDA countries classified as fragile situations",2016,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",54.39
"DFS","IDA countries classified as fragile situations",2016,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",24.28
"DFS","IDA countries classified as fragile situations",2016,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",53.35
"DFS","IDA countries classified as fragile situations",2016,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",27.84
"DFS","IDA countries classified as fragile situations",2016,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",21.25
"DFS","IDA countries classified as fragile situations",2017,"IQ.SPI.OVRL","SPI Overall Score",40.52
"DFS","IDA countries classified as fragile situations",2017,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",55.48
"DFS","IDA countries classified as fragile situations",2017,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",35.13
"DFS","IDA countries classified as fragile situations",2017,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",55.79
"DFS","IDA countries classified as fragile situations",2017,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",24.2
"DFS","IDA countries classified as fragile situations",2017,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",24.03
"DFS","IDA countries classified as fragile situations",2018,"IQ.SPI.OVRL","SPI Overall Score",43.61
"DFS","IDA countries classified as fragile situations",2018,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",56.01
"DFS","IDA countries classified as fragile situations",2018,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",49.5
"DFS","IDA countries classified as fragile situations",2018,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",55.19
"DFS","IDA countries classified as fragile situations",2018,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",24.78
"DFS","IDA countries classified as fragile situations",2018,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",25.32
"DFS","IDA countries classified as fragile situations",2019,"IQ.SPI.OVRL","SPI Overall Score",42.93
"DFS","IDA countries classified as fragile situations",2019,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",56.66
"DFS","IDA countries classified as fragile situations",2019,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",48.27
"DFS","IDA countries classified as fragile situations",2019,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",53.38
"DFS","IDA countries classified as fragile situations",2019,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",23.78
"DFS","IDA countries classified as fragile situations",2019,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",25.97
"IBT","IDA & IBRD total",2016,"IQ.SPI.OVRL","SPI Overall Score",52.65
"IBT","IDA & IBRD total",2016,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",72.48
"IBT","IDA & IBRD total",2016,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",40.71
"IBT","IDA & IBRD total",2016,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",59.91
"IBT","IDA & IBRD total",2016,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",43.69
"IBT","IDA & IBRD total",2016,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",36.31
"IBT","IDA & IBRD total",2017,"IQ.SPI.OVRL","SPI Overall Score",54.46
"IBT","IDA & IBRD total",2017,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",72.2
"IBT","IDA & IBRD total",2017,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",51.46
"IBT","IDA & IBRD total",2017,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",61.34
"IBT","IDA & IBRD total",2017,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",41.75
"IBT","IDA & IBRD total",2017,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",37.66
"IBT","IDA & IBRD total",2018,"IQ.SPI.OVRL","SPI Overall Score",56.98
"IBT","IDA & IBRD total",2018,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",72.98
"IBT","IDA & IBRD total",2018,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",62.33
"IBT","IDA & IBRD total",2018,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",61.06
"IBT","IDA & IBRD total",2018,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",42.23
"IBT","IDA & IBRD total",2018,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",38.51
"IBT","IDA & IBRD total",2019,"IQ.SPI.OVRL","SPI Overall Score",57.21
"IBT","IDA & IBRD total",2019,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",73.19
"IBT","IDA & IBRD total",2019,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",61.56
"IBT","IDA & IBRD total",2019,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",59.6
"IBT","IDA & IBRD total",2019,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",42.13
"IBT","IDA & IBRD total",2019,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",41.84
"IDA","IDA total",2016,"IQ.SPI.OVRL","SPI Overall Score",45.83
"IDA","IDA total",2016,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",67.07
"IDA","IDA total",2016,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",32.17
"IDA","IDA total",2016,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",57.37
"IDA","IDA total",2016,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",33.96
"IDA","IDA total",2016,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",28.14
"IDA","IDA total",2017,"IQ.SPI.OVRL","SPI Overall Score",47.64
"IDA","IDA total",2017,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",67.21
"IDA","IDA total",2017,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",44.6
"IDA","IDA total",2017,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",58.93
