"WB_Group_Code","WB_Group_Name","date","source_id","source_name","value"
"ARB","Arab World",2016,"IQ.SPI.OVRL","SPI Overall Score",45.46
"ARB","Arab World",2016,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",68.78
"ARB","Arab World",2016,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",25.06
"ARB","Arab World",2016,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",51.58
"ARB","Arab World",2016,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",43.32
"ARB","Arab World",2016,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",27.14
"ARB","Arab World",2017,"IQ.SPI.OVRL","SPI Overall Score",45.51
"ARB","Arab World",2017,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",68.03
"ARB","Arab World",2017,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",37.05
"ARB","Arab World",2017,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",51.49
"ARB","Arab World",2017,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",40.3
"ARB","Arab World",2017,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",30
"ARB","Arab World",2018,"IQ.SPI.OVRL","SPI Overall Score",49.46
"ARB","Arab World",2018,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",68.48
"ARB","Arab World",2018,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",55
"ARB","Arab World",2018,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",52.26
"ARB","Arab World",2018,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",41.28
"ARB","Arab World",2018,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",29.77
"ARB","Arab World",2019,"IQ.SPI.OVRL","SPI Overall Score",50.61
"ARB","Arab World",2019,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",68.48
"ARB","Arab World",2019,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",56.59
"ARB","Arab World",2019,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",51.74
"ARB","Arab World",2019,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",40.64
"ARB","Arab World",2019,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",35
"ARB","Arab World",2020,"IQ.SPI.OVRL","SPI Overall Score",54.19
"ARB","Arab World",2020,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",69.39
"ARB","Arab World",2020,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",58.51
"ARB","Arab World",2020,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",61.14
"ARB","Arab World",2020,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",44.31
"ARB","Arab World",2020,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",36.82
"CEB","Central Europe and the Baltics",2016,"IQ.SPI.OVRL","SPI Overall Score",79.7
"CEB","Central Europe and the Baltics",2016,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",94.55
"CEB","Central Europe and the Baltics",2016,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",69.32
"CEB","Central Europe and the Baltics",2016,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",61.35
"CEB","Central Europe and the Baltics",2016,"IQ.SPI.PIL4","Pillar 4 - Data Sources - Score",75.44
"CEB","Central Europe and the Baltics",2016,"IQ.SPI.PIL5","Pillar 5 - Data Infrastructure - Score",95
"CEB","Central Europe and the Baltics",2017,"IQ.SPI.OVRL","SPI Overall Score",79.18
"CEB","Central Europe and the Baltics",2017,"IQ.SPI.PIL1","Pillar 1  - Data Use - Score",93.64
"CEB","Central Europe and the Baltics",2017,"IQ.SPI.PIL2","Pillar 2 - Data Services - Score",71.41
"CEB","Central Europe and the Baltics",2017,"IQ.SPI.PIL3","Pillar 3 - Data Products - Score",67.6
