ref_area, ref_area.label, ref_area.sort
X01,World,1
X02,World: Low income,2
X03,World: Lower-middle income,3
X04,World: Upper-middle income,4
X05,World: High income,5
X06,Africa,6
X07,Africa: Low income,7
X08,Africa: Lower-middle income,8
X09,Africa: Upper-middle income,9
X10,Northern Africa,10
X11,Northern Africa: Lower-middle income,11
X12,Northern Africa: Upper-middle income,12
X13,Sub-Saharan Africa,13
X14,Sub-Saharan Africa: Low income,14
X15,Sub-Saharan Africa: Lower-middle income,15
X16,Sub-Saharan Africa: Upper-middle income,16
X17,Central Africa,17
X18,Eastern Africa,18
X19,Southern Africa,19
X20,Western Africa,20
X21,Americas,21
X22,Americas: Low income,22
X23,Americas: Lower-middle income,23
X24,Americas: Upper-middle income,24
X25,Americas: High income,25
X26,Latin America and the Caribbean,26
X27,Latin America and the Caribbean: Low income,27
X28,Latin America and the Caribbean: Lower-middle income,28
X29,Latin America and the Caribbean: Upper-middle income,29
X30,Latin America and the Caribbean: High income,30
X31,Caribbean,31
X32,Central America,32
X33,South America,33
X34,Northern America,34
X35,Northern America: High income,35
X36,Arab States,36
X37,Arab States: Lower-middle income,37
X38,Arab States: Upper-middle income,38
X39,Arab States: High income,39
X40,Asia and the Pacific,40
X41,Asia and the Pacific: Low income,41
X42,Asia and the Pacific: Lower-middle income,42
X43,Asia and the Pacific: Upper-middle income,43
X44,Asia and the Pacific: High income,44
X45,Eastern Asia,45
X46,Eastern Asia: Low income,46
X86,Eastern Asia: Lower-middle income,47
X47,Eastern Asia: Upper-middle income,48
X48,Eastern Asia: High income,49
X49,South-Eastern Asia and the Pacific,50
X51,South-Eastern Asia and the Pacific: Lower-middle income,51
X52,South-Eastern Asia and the Pacific: Upper-middle income,52
X53,South-Eastern Asia and the Pacific: High income,53
X54,South-Eastern Asia,54
X55,Pacific Islands,55
X56,Southern Asia,56
X57,Southern Asia: Low income,57
X58,Southern Asia: Lower-middle income,58
X59,Southern Asia: Upper-middle income,59
X60,Europe and Central Asia,60
X61,Europe and Central Asia: Lower-middle income,61
X62,Europe and Central Asia: Upper-middle income,62
X63,Europe and Central Asia: High income,63
X64,"Northern, Southern and Western Europe",64
X65,"Northern, Southern and Western Europe: Upper-middle income",65
X66,"Northern, Southern and Western Europe: High income",66
X67,Northern Europe,67
X68,Southern Europe,68
X69,Western Europe,69
X70,Eastern Europe,70
X71,Eastern Europe: Lower-middle income,71
X72,Eastern Europe: Upper-middle income,72
X73,Eastern Europe: High income,73
X78,Central and Western Asia,74
X75,Central and Western Asia: Lower-middle income,75
X76,Central and Western Asia: Upper-middle income,76
X77,Central and Western Asia: High income,77
X74,Central Asia,78
X79,Western Asia,79
X84,ASEAN,80
X85,BRICS,81
X82,European Union 28,82
X83,G20,83
X87,World excluding BRICS,84
X88,G7,85
X89,MENA,86
X90,Arab League,87
X91,CARICOM,88
AFG,Afghanistan,89
