Country Code,Short Name,Table Name,Long Name,2-alpha code,Currency Unit,Special Notes,Region,Income Group,WB-2 code,National accounts base year,National accounts reference year,SNA price valuation,Lending category,Other groups,System of National Accounts,Alternative conversion factor,PPP survey year,Balance of Payments Manual in use,External debt Reporting status,System of trade,Government Accounting concept,IMF data dissemination standard,Latest population census,Latest household survey,Source of most recent Income and expenditure data,Vital registration complete,Latest agricultural census,Latest industrial data,Latest trade data,Latest water withdrawal data
"ABW","Aruba","Aruba","Aruba","AW","Aruban florin",,"Latin America & Caribbean","High income","AW","2013",,"Value added at basic prices (VAB)",,,"Country uses the 1993 System of National Accounts methodology",,,"BPM6",,"General trade system",,"Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)",,,"Yes",,,"2018",
"AFE","Africa Eastern and Southern","Africa Eastern and Southern","Africa Eastern and Southern","ZH",,"26 countries, stretching from the Red Sea in the North to the Cape of Good Hope in the South (https://www.worldbank.org/en/region/afr/eastern-and-southern-africa)",,,"ZH",,,,,,,,,,,,,,,,,,,,,
"AFG","Afghanistan","Afghanistan","Islamic State of Afghanistan","AF","Afghan afghani","The reporting period for national accounts data is designated as either calendar year basis (CY) or fiscal year basis (FY). For this country, it is fiscal year-based (fiscal year-end: March 20). Also, an estimate (PA.NUS.ATLS) of the exchange rate covers the same period and thus differs from the official exchange rate (CY).

In addition, the World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1960-2006. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","South Asia","Low income","AF","2016",,"Value added at basic prices (VAB)","IDA","HIPC","Country uses the 2008 System of National Accounts methodology",,,"BPM6","Estimate","General trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","1979","Demographic and Health Survey, 2015","Integrated household survey (IHS), 2016/17",,,,"2018",
"AFW","Africa Western and Central","Africa Western and Central","Africa Western and Central","ZI",,"22 countries, stretching from the westernmost point of Africa, across the equator, and partly along the Atlantic Ocean till the Republic of Congo in the South (https://www.worldbank.org/en/region/afr/western-and-central-africa)",,,"ZI",,,,,,,,,,,,,,,,,,,,,
"AGO","Angola","Angola","People's Republic of Angola","AO","Angolan kwanza","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1994-2023. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Sub-Saharan Africa","Lower middle income","AO","2002",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 1993 System of National Accounts methodology",,,"BPM6","Actual","General trade system","Budgetary central government","Enhanced General Data Dissemination System (e-GDDS)","2014","Demographic and Health Survey, 2015/16","Integrated household survey (IHS), 2008/09",,,,"2018",
"ALB","Albania","Albania","Republic of Albania","AL","Albanian lek",,"Europe & Central Asia","Upper middle income","AL","Original chained constant price data are rescaled.","2010","Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","Demographic and Health Survey, 2017/18","Living Standards Measurement Study Survey (LSMS), 2012","Yes","2012","2013","2018",
"AND","Andorra","Andorra","Principality of Andorra","AD","Euro",,"Europe & Central Asia","High income","AD","2010",,"Value added at basic prices (VAB)",,,"Country uses the 1993 System of National Accounts methodology",,,,,"General trade system",,,"2011. Population figures compiled from administrative registers.",,,"Yes",,,"2018",
"ARB","Arab World","Arab World","Arab World","1A",,"Arab World aggregate. Arab World is composed of members of the League of Arab States.",,,"1A",,,,,,,,,,,,,,,,,,,,,
"ARE","United Arab Emirates","United Arab Emirates","United Arab Emirates","AE","U.A.E. dirham",,"Middle East & North Africa","High income","AE","2010",,"Value added at producer prices (VAP)",,,"Country uses the 2008 System of National Accounts methodology",,,,,"Special trade system","Consolidated central government","Enhanced General Data Dissemination System (e-GDDS)","2020 (expected)","World Health Survey, 2003",,"Yes","2012","1985","2018",
"ARG","Argentina","Argentina","Argentine Republic","AR","Argentine peso","The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. In this country, multiple or dual exchange rate activity exists and must be accounted for appropriately in underlying statistics. An alternative estimate (“alternative conversion factor” - PA.NUS.ATLS) is thus calculated as a weighted average of the different exchange rates in use in the country. Doing so better reflects economic reality and leads to more accurate cross-country comparisons and country classifications by income level. For this country, this applies to the period 1971-2018. Alternative conversion factors are used in the Atlas methodology and elsewhere in World Development Indicators as single-year conversion factors.","Latin America & Caribbean","Upper middle income","AR","2004",,"Value added at basic prices (VAB)","IBRD",,"Country uses the 2008 System of National Accounts methodology",,,"BPM6","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","2020 (expected)","Multiple Indicator Cluster Survey, 2019/20","Integrated household survey (IHS), 2016","Yes","2008","2002","2018",
