dimension_id,pillar,dimension_name,dimension_number,Description
1.1_DUNL,Pillar 1: Data Use,Data use by national legislature,Dimension 1.1,"Based on PARIS21 data use indicator (Chapter 4 of Statistical Capacity Development Outlook) using national
legislature website as source."
1.2_DUNE,Pillar 1: Data Use,Data use by national executive branch,Dimension 1.2,"Based on PARIS21 data use indicator (Chapter 4 of Statistical Capacity Development Outlook) using
voluntary national review plans as a source."
1.3_DUCS,Pillar 1: Data Use,Data use by civil society,Dimension 1.3,Based on PARIS21 data use indicator (Chapter 4 of Statistical Capacity Development Outlook) using main social media platform in use in country as source.
1.4_DUAC,Pillar 1: Data Use,Data use by academia,Dimension 1.4,Total number of downloads of the censuses and surveys produced by that country on a per capita basis according to IHSN and World Bank Microdata library.
1.5_DUIO,Pillar 1: Data Use,Data use by international organizations,Dimension 1.5,"Three measures usefulness or reliability of country produced measures for international organizations. First, on comparability of poverty estimates for the World Bank reporting on international poverty (Source: Povcalnet). Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation (Source: https://childmortality.org/). Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). "
SPI.D2.1.GDDS,Pillar 2: Data Services,Data releases,Dimension 2.1,IMF GDDS compliance indicator.  1 Point. Subscribing to IMF SDDS+ or SDDS standards. 0.5 Points. Subscribing to IMF e-GDDS standards.  0 Points. Otherwise. Source: IMF Dissemination Standards Bulletin Board.
SPI.D2.2.Machine.readable,Pillar 2: Data Services,Online access,Dimension 2.2,This indicator measures the richness and openness of online access.  Source: Open Data Watch Openness score
SPI.D2.3.DSAS,Pillar 2: Data Services,Advisory/ Analytical Services,Dimension 2.3,New indicator of number of non-recurring products on NSO website (ad hoc/experimental rather than regular releases). The indicator is the number of products found.  No established source exists for this indicator.
SPI.D2.4.NADA,Pillar 2: Data Services,Data access services,Dimension 2.4,"NADA microdata cataloging available for surveys produced by NSO.  NADA is an open source microdata cataloging system, compliant with the Data Documentation Initiative (DDI) and Dublin Cores RDF metadata standards.  Source: NSO websites."
SPI.D3.POV,Pillar 3: Data Products,Social statistics,Dimension 3.1,Fraction of Indicators in SDG goals 1-6 with value produced by countries statistical system. Source: UN Global SDG Indicators Database.
SPI.D3.ELEC,Pillar 3: Data Products,Economic statistics,Dimension 3.2,Fraction of Indicators in SDG goals 7-12 with value produced by countries statistical system. Source: UN Global SDG Indicators Database.
SPI.D3.ER.H2O.FWST.ZS,Pillar 3: Data Products,Environmental statistics,Dimension 3.3,Fraction of Indicators in SDG goals 13 & 15 with value produced by countries statistical system.  Source: UN Global SDG Indicators Database.
SPI.D3.DT.TDS.DPPF.XP.ZS,Pillar 3: Data Products,Institutional statistics,Dimension 3.4,Fraction of Indicators in SDG goals 16 & 17 with value produced by countries statistical system.  Source: UN Global SDG Indicators Database.
SPI.D4.1.1.POPU,Pillar 4: Data Sources,Censuses and surveys,Dimension 4.1,"Availability of recent censuses and surveys covering broad areas.  The following
censuses and surveys are considered: Population & Housing census, Agriculture census, Business/establishment census, Household Survey on income/ consumption/ expenditure/ budget/ Integrated Survey, Agriculture survey, Labor Force Survey, Health/Demographic survey, Business/establishment survey. Source: NSO websites, World Bank microdata library, ILO microdata library, IHSN microdata library"
SPI.D4.2.1.SPL,Pillar 4: Data Sources,Administrative data,Dimension 4.2,"Indicator on quality of vital registration data plus score based on density of administrative data available on key World Bank, UNESCO and ILO databases"
SPI.D4.3.GEO.first.admin.level,Pillar 4: Data Sources,Geospatial data,Dimension 4.3,This indicator measures the maturity of a countries geospatial data system by examining whether indicators accessible at sub-national levels.  Source: Open Data Watch availability of key indicators at first administrative level score.
SPI.D4.4.SOPC,Pillar 4: Data Sources,Private/citizen generated data,Dimension 4.4,New indicator based on references to private/citizen generated data in metadata relating to content on NSO website.  No established source for pillar.
SPI.5.1.DILG,Pillar 5: Data Infrastructure,Legislation and governance,Dimension 5.1,"New indicator based on PARIS21 indicators on SDG 17.18.2 (national statistical legislation compliance with UN Fundamental Principles of Official Statistics), existence of National Statistical Council, national statistical strategy generation, national statistical plan. Also include some other legislative aspects that foster good use of statistics e.g. freedom of information, privacy/transparency, good governance (e.g. free and fair elections)."
SPI.D5.2.1.SNAU,Pillar 5: Data Infrastructure,Standards and methods,Dimension 5.2,"Internationally accepted and recommended methodology, classifications and standards provide the basis for national statistical offices (NSOs) on data integration, facilitating data exchange and providing the foundation for the preparation of relevant statistical indicators.  The following methods and standards are considered:  System of national accounts in use, National Accounts base year, Classification of national industry, CPI base year, Classification of household consumption, Classification of status of employment, Central government accounting status, Compilation of government finance statistics, Compilation of monetary and financial statistics, Business process. Source: "
SPI.5.3.DISK,Pillar 5: Data Infrastructure,Skills,Dimension 5.3,New indicator drawing on PARIS21 indicators such as statistical society presence and data literacy.
SPI.5.4.DIPN,Pillar 5: Data Infrastructure,Partnerships,Dimension 5.4,New indicator based on textual analysis of NSS reports/websites for references to partner organizations.  No established source.
SPI.5.5.DIFI,Pillar 5: Data Infrastructure,Finance,Dimension 5.5,Indicator based on PARIS21 SDG indicators (SDG 17.18.3 (national statistical plan that is fully funded and under implementation) and SDG 17.19.1 (value of resources made available to strengthen statistical capacity)). Could also incorporate indicator of NSO budget as a percentage of GDP.
