source_id,source_name,pillar,SPI_indicator_id,spi_indicator_name,spi_indicator_description,spi_indicator_scoring,websites
SPI.D1.5.POV,Availability of Comparable Poverty headcount ratio at $1.90 a day,Pillar 1: Data Use,Dimension 1.5,Data use by international organisations,Comparability data from World Bank's Povcalnet,1 Point. Comparable data lasting at least two years within past 5 years. 0.5 Point. Comparable data lasting at least two years within past 10 years. 0 Points. No comparable data within past 5 years,https://development-data-hub-s3-public.s3.amazonaws.com/ddhfiles/506801/povcalnet_comparability.csv
SPI.D1.5.CHLD.MORT,"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME ",Pillar 1: Data Use,Dimension 1.5,Data use by international organisations,Child Mortality Metadata from UN IGME,1 Point. Two indicators that met UN IGME standards within past 5 years. 0.5 Point. Two indicators that met UN IGME standards within past 10 years. 0 Points. No data that met UN IGME standards within past 10 years,https://childmortality.org/data/
SPI.D1.5.DT.TDS.DPPF.XP.ZS,Quality of Debt service data according to World Bank,Pillar 1: Data Use,Dimension 1.5,Data use by international organisations,Debt Reporting Metadata from World Bank,1 Points. Actual value. 0.67 Points. Preliminary value 0.33 Points. Estimated value. 0 Points. No value,http://api.worldbank.org/v2/sources/2/country/all/metadata
SPI.D1.5.SAFE.MAN.WATER,Safely Managed Drinking Water,Pillar 1: Data Use,Dimension 1.5,Data use by international organisations,Availability of Safely Managed Drinking Water data for use by JMP,"1 Point. At least two estimates, with breakdowns for urban/rural areas, within an 8 year window
0.5 Points. At least two estimates, but not an urban/rural breakdown, within an 8 year window
0 Points. Otherwise",https://washdata.org/data/country/AFG/household/download
SPI.D1.5.LFP,Labor force participation rate by sex and age (%),Pillar 1: Data Use,Dimension 1.5,Data use by international organisations,Labor force participation data for use by ILO,"1 Point. Country has a labor force survey based estimate in past 5 years of labor force participation broken down by total, male, and female & estimated value from ILO is within 10 percentage points of value reported by national government.
0.5 Point. Country has labor force survey or is within 10 points of ILO, but not both
0 Points. Otherwise",https://www.ilo.org/shinyapps/bulkexplorer2/?lang=en&segment=indicator&id=EAP_DWAP_SEX_AGE_RT_A&ref_area=AFG+ALB+DZA+ASM+AND+AGO+AIA+ATG+ARG+ARM+ABW+AUS+AUT+AZE+BHS+BHR+BGD+BRB+BLR+BEL+BLZ+BEN+BMU+BTN+BOL+BIH+BWA+BRA+VGB+BRN+BGR+BFA+BDI+KHM+CMR+CAN+CPV+CYM+CAF+TCD+CHL+CHN+COL+COM+COG+COD+COK+CRI+HRV+CUB+CUW+CYP+CZE+CIV+DNK+DJI+DMA+DOM+ECU+EGY+SLV+GNQ+EST+SWZ+ETH+FRO+FLK+FJI+FIN+FRA+GUF+PYF+GAB+GMB+GEO+DEU+GHA+GIB+GRC+GRL+GRD+GLP+GUM+GTM+GGY+GIN+GNB+GUY+HTI+HND+HKG+HUN+ISL+IND+IDN+IRN+IRQ+IRL+IMN+ISR+ITA+JAM+JPN+JEY+JOR+KAZ+KEN+KIR+KOR+KOS+KWT+KGZ+LAO+LVA+LBN+LSO+LBR+LBY+LIE+LTU+LUX+MAC+MDG+MWI+MYS+MDV+MLI+MLT+MHL+MTQ+MRT+MUS+MEX+FSM+MDA+MCO+MNG+MNE+MSR+MAR+MOZ+MMR+NAM+NRU+NPL+NLD+ANT+NCL+NZL+NIC+NER+NGA+NIU+NFK+MKD+MNP+NOR+PSE+OMN+PAK+PLW+PAN+PNG+PRY+PER+PHL+POL+PRT+PRI+QAT+ROU+RUS+RWA+REU+SHN+KNA+LCA+VCT+WSM+SMR+STP+SAU+SEN+SRB+SYC+SLE+SGP+SVK+SVN+SLB+ZAF+SSD+ESP+LKA+SDN+SUR+SWE+CHE+SYR+TWN+TJK+TZA+THA+TLS+TGO+TON+TTO+TUN+TUR+TKM+TCA+TUV+UGA+UKR+ARE+GBR+USA+VIR+URY+UZB+VUT+VEN+VNM+YEM+ZMB+ZWE&sex=SEX_T&classif1=AGE_5YRBANDS_TOTAL+AGE_5YRBANDS_Y05-09+AGE_5YRBANDS_Y10-14+AGE_5YRBANDS_Y15-19+AGE_5YRBANDS_Y20-24+AGE_5YRBANDS_Y25-29+AGE_5YRBANDS_Y30-34+AGE_5YRBANDS_Y35-39+AGE_5YRBANDS_Y40-44+AGE_5YRBANDS_Y45-49+AGE_5YRBANDS_Y50-54+AGE_5YRBANDS_Y55-59+AGE_5YRBANDS_Y60-64+AGE_5YRBANDS_YGE65+AGE_10YRBANDS_TOTAL+AGE_10YRBANDS_YLT15+AGE_10YRBANDS_Y15-24+AGE_10YRBANDS_Y25-34+AGE_10YRBANDS_Y35-44+AGE_10YRBANDS_Y45-54+AGE_10YRBANDS_Y55-64+AGE_10YRBANDS_YGE65+AGE_AGGREGATE_TOTAL+AGE_AGGREGATE_YLT15+AGE_AGGREGATE_Y15-24+AGE_AGGREGATE_Y25-54+AGE_AGGREGATE_Y55-64+AGE_AGGREGATE_YGE65+AGE_YTHADULT_YGE15+AGE_YTHADULT_Y15-64+AGE_YTHADULT_Y15-24+AGE_YTHADULT_YGE25&timefrom=2010&timeto=2020
SPI.D2.1.GDDS,SDDS/e-GDDS subscription,Pillar 2: Data Services,Dimension 2.1,Data releases,"The Special Data Dissemination Standard (SDDS) and electronic General Data Dissemination Standard (e-GDDS) were established by the International Monetary Fund (IMF) for member countries that have or that might seek access to international capital markets, to guide them in providing their economic and financial data to the public.  Although subscription is voluntary, the subscribing member needs to be committed to observing the standard and provide information about its data and data dissemination practices (metadata).  The metadata are posted on the IMF’s SDDS and e-GDDS websites.",Point. Subscribing to IMF SDDS+ or SDDS standards 0.5 Points. Subscribing to IMF e-GDDS standards. 0 Points. Otherwise,http://api.worldbank.org/v2/country/all/indicator/5.21.01.01.sdds?format=json&date=2004:2015&per_page=5000
SPI.D2.2.Openness.subscore,ODIN Open Data Openness score,Pillar 2: Data Services,Dimension 2.2,Online access,ODW Openness score,"Our source for this indicator is Open Data Watch.  Scores range from 0-1.  For more details, consult the ODIN technical documentation.",https://odin.opendatawatch.com/
SPI.D2.2.Machine.readable,Machine Readability Score,Pillar 2: Data Services,Dimension 2.2,Online access,Machine Readability Score,"Our source for this indicator is Open Data Watch.  Scores range from 0-1.  For more details, consult the ODIN technical documentation.",https://odin.opendatawatch.com/
SPI.D2.2.Non.proprietary,Non-Proprietary format Score,Pillar 2: Data Services,Dimension 2.2,Online access,Non-Proprietary format Score,"Our source for this indicator is Open Data Watch.  Scores range from 0-1.  For more details, consult the ODIN technical documentation.",https://odin.opendatawatch.com/
SPI.D2.2.Download.options,Download Options Score,Pillar 2: Data Services,Dimension 2.2,Online access,Download Options Score,"Our source for this indicator is Open Data Watch.  Scores range from 0-1.  For more details, consult the ODIN technical documentation.",https://odin.opendatawatch.com/
SPI.D2.2.Metadata.available,Metadata Available Score,Pillar 2: Data Services,Dimension 2.2,Online access,Metadata Available Score,"Our source for this indicator is Open Data Watch.  Scores range from 0-1.  For more details, consult the ODIN technical documentation.",https://odin.opendatawatch.com/
SPI.D2.2.Terms.of.use,Terms of Use Score,Pillar 2: Data Services,Dimension 2.2,Online access,Terms of Use Score,"Our source for this indicator is Open Data Watch.  Scores range from 0-1.  For more details, consult the ODIN technical documentation.",https://odin.opendatawatch.com/
SPI.D2.3.DSAS,NSO Website,Pillar 2: Data Services,Dimension 2.3,Advisory/ Analytical Services,New indicator of number of non-recurring products on NSO website (ad hoc/experimental rather than regular releases). The indicator is the number of products found.,No established methodology.,
SPI.D2.4.NADA,NADA metadata,Pillar 2: Data Services,Dimension 2.4,Data access services,NADA/NSO websites.  Statistical systems must be open and transparent about their methods and procedures and provide access to adequate metadata – detailed descriptions of the methods and procedures used to produce the data.,"1 Point. Yes, available. 0 Points. No",manual collection from NSO sites
