Year,Region,Region code,Country,Country code,Data category,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,First administrative level,Second administrative level,Coverage subscore,Machine readability,Non-proprietary,Download options,Metadata availability,Terms of use,Openness subscore,Overall score
2024,Eastern Africa,AFE,Burundi,BDI,Population and vital statistics,50,50,50,50,50,50,50,100,50,50,50,60,55
2024,Eastern Africa,AFE,Burundi,BDI,Education facilities,50,50,50,50,0,40,100,100,50,50,100,80,60
2024,Eastern Africa,AFE,Burundi,BDI,Education outcomes,100,50,50,50,0,50,50,100,50,50,50,60,55
2024,Eastern Africa,AFE,Burundi,BDI,Health facilities,100,50,50,100,100,80,50,100,50,50,50,60,70
2024,Eastern Africa,AFE,Burundi,BDI,Health outcomes,50,50,50,0,0,30,100,100,50,50,100,80,55
2024,Eastern Africa,AFE,Burundi,BDI,Reproductive health,100,50,50,50,0,50,50,100,50,50,50,60,55
2024,Eastern Africa,AFE,Burundi,BDI,Food security and nutrition,100,0,0,0,-,25,100,100,100,100,100,100,66.7
2024,Eastern Africa,AFE,Burundi,BDI,Gender statistics,50,50,50,0,0,30,100,100,50,50,50,70,50
2024,Eastern Africa,AFE,Burundi,BDI,Crime and justice,50,50,50,0,0,30,50,100,50,50,50,60,45
2024,Eastern Africa,AFE,Burundi,BDI,Poverty and income,100,50,0,100,0,50,50,100,50,50,50,60,55
2024,Eastern Africa,AFE,Burundi,BDI,Social statistics subscore,75,45,40,40,16.7,43.9,70,100,55,55,65,69,56.6
2024,Eastern Africa,AFE,Burundi,BDI,National accounts,50,50,50,0,-,37.5,50,100,50,50,50,60,50
2024,Eastern Africa,AFE,Burundi,BDI,Labor,100,50,0,100,0,50,100,100,100,50,100,90,70
2024,Eastern Africa,AFE,Burundi,BDI,Price indexes,100,100,100,0,-,75,100,100,100,50,100,90,83.3
2024,Eastern Africa,AFE,Burundi,BDI,Government finance,100,100,100,0,-,75,100,100,100,50,100,90,83.3
2024,Eastern Africa,AFE,Burundi,BDI,Money and banking,100,50,100,-,-,83.3,100,100,50,50,100,80,81.2
2024,Eastern Africa,AFE,Burundi,BDI,International trade,50,50,50,-,-,50,100,100,50,100,100,90,75
2024,Eastern Africa,AFE,Burundi,BDI,Balance of payments,100,100,100,-,-,100,0,100,50,50,0,40,62.5
2024,Eastern Africa,AFE,Burundi,BDI,Digital Connectivity,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,Eastern Africa,AFE,Burundi,BDI,Economic and financial statistics subscore,85.7,71.4,71.4,25,0,65.4,78.6,100,71.4,57.1,78.6,77.1,72.1
2024,Eastern Africa,AFE,Burundi,BDI,Agriculture and land use,100,50,100,0,0,50,100,100,50,100,100,90,70
2024,Eastern Africa,AFE,Burundi,BDI,Resource use,100,100,50,0,-,62.5,100,100,50,50,100,80,72.2
2024,Eastern Africa,AFE,Burundi,BDI,Energy,50,50,50,-,-,50,100,100,50,100,100,90,75
2024,Eastern Africa,AFE,Burundi,BDI,Pollution,100,50,0,-,-,50,100,100,100,50,100,90,75
2024,Eastern Africa,AFE,Burundi,BDI,Built environment,100,50,0,0,0,30,100,100,50,50,100,80,55
2024,Eastern Africa,AFE,Burundi,BDI,Environment subscore,90,60,40,0,0,47.5,100,100,60,70,100,86,68.9
2024,Eastern Africa,AFE,Burundi,BDI,All categories,83.6,58.8,50.5,25,10.4,51.4,82.9,100,62.1,60.7,81.2,77.4,65.5
2024,Eastern Africa,AFE,Comoros,COM,Population and vital statistics,50,50,50,0,0,30,100,100,50,50,100,80,55
2024,Eastern Africa,AFE,Comoros,COM,Education facilities,0,0,0,0,0,0,0,100,50,50,0,40,20
2024,Eastern Africa,AFE,Comoros,COM,Education outcomes,50,50,50,0,0,30,100,100,50,50,100,80,55
2024,Eastern Africa,AFE,Comoros,COM,Health facilities,50,50,0,0,0,20,0,100,50,50,0,40,30
2024,Eastern Africa,AFE,Comoros,COM,Health outcomes,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Comoros,COM,Reproductive health,50,50,50,0,0,30,100,100,100,50,100,90,60
2024,Eastern Africa,AFE,Comoros,COM,Food security and nutrition,0,0,0,0,-,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Comoros,COM,Gender statistics,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Comoros,COM,Crime and justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Comoros,COM,Poverty and income,100,50,0,100,0,50,100,100,100,50,100,90,70
2024,Eastern Africa,AFE,Comoros,COM,Social statistics subscore,30,25,15,10,0,16.3,40,60,40,30,40,42,29.3
2024,Eastern Africa,AFE,Comoros,COM,National accounts,50,50,50,0,-,37.5,100,100,100,50,100,90,66.7
2024,Eastern Africa,AFE,Comoros,COM,Labor,100,50,0,0,0,30,100,100,100,50,100,90,60
2024,Eastern Africa,AFE,Comoros,COM,Price indexes,50,50,50,0,-,37.5,100,100,100,50,100,90,66.7
2024,Eastern Africa,AFE,Comoros,COM,Government finance,100,100,50,0,-,62.5,0,100,0,50,0,30,44.4
2024,Eastern Africa,AFE,Comoros,COM,Money and banking,100,100,50,-,-,83.3,50,100,50,50,0,50,62.5
2024,Eastern Africa,AFE,Comoros,COM,International trade,100,50,100,-,-,83.3,100,100,100,50,100,90,87.5
2024,Eastern Africa,AFE,Comoros,COM,Balance of payments,100,50,100,-,-,83.3,100,100,50,50,100,80,81.2
2024,Eastern Africa,AFE,Comoros,COM,Digital Connectivity,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,Eastern Africa,AFE,Comoros,COM,Economic and financial statistics subscore,85.7,64.3,57.1,0,0,55.8,78.6,100,71.4,50,71.4,74.3,66.4
2024,Eastern Africa,AFE,Comoros,COM,Agriculture and land use,50,0,0,0,0,10,100,100,100,50,100,90,50
2024,Eastern Africa,AFE,Comoros,COM,Resource use,0,0,0,0,-,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Comoros,COM,Energy,0,0,0,-,-,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Comoros,COM,Pollution,0,0,0,-,-,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Comoros,COM,Built environment,100,0,0,100,100,60,100,100,100,50,100,90,75
2024,Eastern Africa,AFE,Comoros,COM,Environment subscore,30,0,0,33.3,50,17.5,40,40,40,20,40,36,27.8
2024,Eastern Africa,AFE,Comoros,COM,All categories,48.6,29.8,24,13.8,13.9,28.3,52.9,66.7,50.5,33.3,50.5,50.8,40.5
2024,Eastern Africa,AFE,Djibouti,DJI,Population and vital statistics,100,100,100,0,0,60,50,100,50,50,0,50,55
2024,Eastern Africa,AFE,Djibouti,DJI,Education facilities,50,50,50,0,0,30,0,100,0,50,0,30,30
2024,Eastern Africa,AFE,Djibouti,DJI,Education outcomes,50,50,50,0,0,30,0,100,0,50,0,30,30
2024,Eastern Africa,AFE,Djibouti,DJI,Health facilities,50,50,50,50,0,40,0,100,0,50,0,30,35
2024,Eastern Africa,AFE,Djibouti,DJI,Health outcomes,50,50,0,50,0,30,0,100,50,50,0,40,35
2024,Eastern Africa,AFE,Djibouti,DJI,Reproductive health,50,50,0,50,0,30,50,100,50,50,0,50,40
2024,Eastern Africa,AFE,Djibouti,DJI,Food security and nutrition,50,50,0,0,-,25,100,100,100,50,0,70,50
2024,Eastern Africa,AFE,Djibouti,DJI,Gender statistics,50,50,50,50,0,40,100,100,50,50,0,60,50
2024,Eastern Africa,AFE,Djibouti,DJI,Crime and justice,0,0,0,0,0,0,50,100,50,50,0,50,25
2024,Eastern Africa,AFE,Djibouti,DJI,Poverty and income,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Djibouti,DJI,Social statistics subscore,45,45,30,20,0,28.6,35,90,35,45,0,41,34.8
2024,Eastern Africa,AFE,Djibouti,DJI,National accounts,50,50,50,0,-,37.5,0,100,50,50,0,40,38.9
2024,Eastern Africa,AFE,Djibouti,DJI,Labor,100,0,0,0,0,20,100,100,100,50,0,70,45
2024,Eastern Africa,AFE,Djibouti,DJI,Price indexes,50,50,50,0,-,37.5,100,100,100,50,0,70,55.6
2024,Eastern Africa,AFE,Djibouti,DJI,Government finance,100,100,50,0,-,62.5,50,100,50,50,0,50,55.6
2024,Eastern Africa,AFE,Djibouti,DJI,Money and banking,50,50,50,-,-,50,0,100,0,50,0,30,37.5
2024,Eastern Africa,AFE,Djibouti,DJI,International trade,50,50,50,-,-,50,50,100,50,50,0,50,50
2024,Eastern Africa,AFE,Djibouti,DJI,Balance of payments,100,100,50,-,-,83.3,50,100,50,50,0,50,62.5
2024,Eastern Africa,AFE,Djibouti,DJI,Digital Connectivity,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,Eastern Africa,AFE,Djibouti,DJI,Economic and financial statistics subscore,71.4,57.1,42.9,0,0,46.2,50,100,57.1,50,0,51.4,49.2
2024,Eastern Africa,AFE,Djibouti,DJI,Agriculture and land use,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Djibouti,DJI,Resource use,50,50,50,50,-,50,0,100,0,50,0,30,38.9
2024,Eastern Africa,AFE,Djibouti,DJI,Energy,0,0,0,-,-,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Djibouti,DJI,Pollution,0,0,0,-,-,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Djibouti,DJI,Built environment,100,50,0,100,0,50,0,100,0,50,0,30,40
2024,Eastern Africa,AFE,Djibouti,DJI,Environment subscore,30,20,10,50,0,22.5,0,40,0,20,0,12,16.7
2024,Eastern Africa,AFE,Djibouti,DJI,All categories,48.8,40.7,27.6,23,0,31.8,28.3,76.7,30.7,38.3,0,34.8,33.4
2024,Eastern Africa,AFE,Ethiopia,ETH,Population and vital statistics,0,0,0,0,0,0,0,100,50,50,0,40,20
2024,Eastern Africa,AFE,Ethiopia,ETH,Education facilities,50,50,50,0,0,30,50,100,50,50,0,50,40
2024,Eastern Africa,AFE,Ethiopia,ETH,Education outcomes,50,50,50,0,0,30,50,100,50,0,0,40,35
2024,Eastern Africa,AFE,Ethiopia,ETH,Health facilities,100,0,50,50,0,40,100,100,50,0,0,50,45
2024,Eastern Africa,AFE,Ethiopia,ETH,Health outcomes,50,0,0,50,0,20,0,100,50,50,0,40,30
2024,Eastern Africa,AFE,Ethiopia,ETH,Reproductive health,100,50,50,0,0,40,50,100,50,50,0,50,45
2024,Eastern Africa,AFE,Ethiopia,ETH,Food security and nutrition,100,0,0,100,-,50,50,100,50,50,0,50,50
2024,Eastern Africa,AFE,Ethiopia,ETH,Gender statistics,50,50,50,0,0,30,50,100,50,50,0,50,40
2024,Eastern Africa,AFE,Ethiopia,ETH,Crime and justice,100,0,50,50,0,40,100,100,100,0,0,60,50
2024,Eastern Africa,AFE,Ethiopia,ETH,Poverty and income,100,0,0,100,0,40,50,100,50,50,0,50,45
2024,Eastern Africa,AFE,Ethiopia,ETH,Social statistics subscore,70,20,30,35,0,31.6,50,100,55,35,0,48,39.9
2024,Eastern Africa,AFE,Ethiopia,ETH,National accounts,50,50,50,0,-,37.5,0,100,50,50,0,40,38.9
2024,Eastern Africa,AFE,Ethiopia,ETH,Labor,100,50,50,100,100,80,0,100,0,50,0,30,55
2024,Eastern Africa,AFE,Ethiopia,ETH,Price indexes,50,50,50,0,-,37.5,0,100,50,50,0,40,38.9
2024,Eastern Africa,AFE,Ethiopia,ETH,Government finance,100,100,100,0,-,75,0,100,50,50,0,40,55.6
2024,Eastern Africa,AFE,Ethiopia,ETH,Money and banking,100,100,100,-,-,100,0,100,50,50,0,40,62.5
2024,Eastern Africa,AFE,Ethiopia,ETH,International trade,100,50,50,-,-,66.7,50,100,50,50,0,50,56.2
2024,Eastern Africa,AFE,Ethiopia,ETH,Balance of payments,100,100,100,-,-,100,50,100,50,0,0,40,62.5
2024,Eastern Africa,AFE,Ethiopia,ETH,Digital Connectivity,-,-,-,-,-,-,-,-,-,-,-,-,-
2024,Eastern Africa,AFE,Ethiopia,ETH,Economic and financial statistics subscore,85.7,71.4,71.4,25,100,69.2,14.3,100,42.9,42.9,0,40,52.5
2024,Eastern Africa,AFE,Ethiopia,ETH,Agriculture and land use,50,50,50,50,50,50,50,100,50,50,0,50,50
2024,Eastern Africa,AFE,Ethiopia,ETH,Resource use,50,50,50,0,-,37.5,100,100,100,0,0,60,50
2024,Eastern Africa,AFE,Ethiopia,ETH,Energy,50,50,50,-,-,50,100,100,50,0,0,50,50
2024,Eastern Africa,AFE,Ethiopia,ETH,Pollution,0,0,0,-,-,0,0,0,0,0,0,0,0
2024,Eastern Africa,AFE,Ethiopia,ETH,Built environment,100,50,50,0,0,40,50,100,50,50,0,50,45
