Year,Region,Region code,Country,Country Code,Data categories,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,First administrative level,Second administrative level,Coverage subscore,Machine readable,Non-proprietary,Download options,Metadata available,Terms of use,Openness subscore,Overall score
2018,Eastern Africa,AFE,Burundi,BDI,Population & vital statistics,0.5,0,0,0.5,0.5,1.5,0.5,1,0.5,0.5,0,2.5,4
2018,Eastern Africa,AFE,Burundi,BDI,Education facilities,0.5,0.5,0.5,0.5,0,2,0,1,0.5,0.5,0,2,4
2018,Eastern Africa,AFE,Burundi,BDI,Education outcomes,0.5,0.5,0.5,0,0,1.5,0,1,0.5,0.5,0,2,3.5
2018,Eastern Africa,AFE,Burundi,BDI,Health facilities,1,1,1,1,0,4,0,1,0.5,0.5,0,2,6
2018,Eastern Africa,AFE,Burundi,BDI,Health outcomes,0.5,0.5,0.5,0,0,1.5,0.5,1,0.5,0.5,0,2.5,4
2018,Eastern Africa,AFE,Burundi,BDI,Reproductive health,0.5,0.5,0.5,0,0,1.5,0,1,0.5,0.5,0,2,3.5
2018,Eastern Africa,AFE,Burundi,BDI,Gender statistics ,0.5,0.5,0.5,0,0,1.5,0,1,0.5,0.5,0,2,3.5
2018,Eastern Africa,AFE,Burundi,BDI,Crime & justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Burundi,BDI,Poverty & income,0.5,0.5,0.5,0,0,1.5,0,1,0.5,0.5,0,2,3.5
2018,Eastern Africa,AFE,Burundi,BDI,Social statistics subscore,4.5,4,4,2,0.5,15,1,8,4,4,0,17,32
2018,Eastern Africa,AFE,Burundi,BDI,National accounts,0.5,0.5,0.5,0,0,1.5,0,1,0,0.5,0,1.5,3
2018,Eastern Africa,AFE,Burundi,BDI,Labor ,0.5,0,0,0,0,0.5,1,1,1,1,0,4,4.5
2018,Eastern Africa,AFE,Burundi,BDI,Price indexes,1,1,1,0.5,0,3.5,0,1,0,1,0,2,5.5
2018,Eastern Africa,AFE,Burundi,BDI,Government finance,1,1,1,0,0,3,0,1,0.5,0.5,0,2,5
2018,Eastern Africa,AFE,Burundi,BDI,Money & banking,0.5,0.5,0.5,0,0,1.5,0,1,0.5,0.5,0,2,3.5
2018,Eastern Africa,AFE,Burundi,BDI,International trade,1,1,1,0,0,3,0,1,0,0.5,0,1.5,4.5
2018,Eastern Africa,AFE,Burundi,BDI,Balance of payments,1,1,1,0,0,3,0,1,0,0.5,0,1.5,4.5
2018,Eastern Africa,AFE,Burundi,BDI,Economic & financial statistics subscore,5.5,5,5,0.5,0,16,1,7,2,4.5,0,14.5,30.5
2018,Eastern Africa,AFE,Burundi,BDI,Land use,0.5,0.5,0.5,0,0,1.5,0,1,0.5,0.5,0,2,3.5
2018,Eastern Africa,AFE,Burundi,BDI,Resource use,1,1,1,0.5,0,3.5,0,1,0.5,0.5,0,2,5.5
2018,Eastern Africa,AFE,Burundi,BDI,Energy use,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Burundi,BDI,Pollution,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Burundi,BDI,Built environment,1,1,1,0.5,0,3.5,0,1,0.5,1,0,2.5,6
2018,Eastern Africa,AFE,Burundi,BDI,Environment subscore,2.5,2.5,2.5,1,0,8.5,0,3,1.5,2,0,6.5,15
2018,Eastern Africa,AFE,Burundi,BDI,All Categories,12.5,11.5,11.5,3.5,0.5,39.5,2,18,7.5,10.5,0,38,77.5
2018,Eastern Africa,AFE,Djibouti,DJI,Population & vital statistics,0.5,0,0,0.5,0,1,0,1,0.5,0.5,0,2,3
2018,Eastern Africa,AFE,Djibouti,DJI,Education facilities,0.5,0.5,0.5,0,0,1.5,0.5,1,0.5,0.5,0.5,3,4.5
2018,Eastern Africa,AFE,Djibouti,DJI,Education outcomes,0.5,0.5,0.5,0,0,1.5,0.5,1,0.5,0.5,0.5,3,4.5
2018,Eastern Africa,AFE,Djibouti,DJI,Health facilities,0.5,0.5,0.5,0,0,1.5,0,1,0,0.5,0.5,2,3.5
2018,Eastern Africa,AFE,Djibouti,DJI,Health outcomes,0.5,0,0,0,0,0.5,1,1,1,0.5,0,3.5,4
2018,Eastern Africa,AFE,Djibouti,DJI,Reproductive health,0.5,0.5,0.5,0.5,0,2,0.5,1,0.5,0.5,0.5,3,5
2018,Eastern Africa,AFE,Djibouti,DJI,Gender statistics ,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Djibouti,DJI,Crime & justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Djibouti,DJI,Poverty & income,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Djibouti,DJI,Social statistics subscore,3,2,2,1,0,8,2.5,6,3,3,2,16.5,24.5
2018,Eastern Africa,AFE,Djibouti,DJI,National accounts,0.5,0.5,0.5,0,0,1.5,0,1,0,0.5,0.5,2,3.5
2018,Eastern Africa,AFE,Djibouti,DJI,Labor ,1,0,0,0,0,1,0,1,0.5,0.5,0.5,2.5,3.5
2018,Eastern Africa,AFE,Djibouti,DJI,Price indexes,0.5,0.5,0.5,0,0,1.5,0,1,0,0.5,0.5,2,3.5
2018,Eastern Africa,AFE,Djibouti,DJI,Government finance,1,1,1,0,0,3,0,1,0,0.5,0.5,2,5
2018,Eastern Africa,AFE,Djibouti,DJI,Money & banking,0.5,0.5,0.5,0,0,1.5,0,1,0,0,0.5,1.5,3
2018,Eastern Africa,AFE,Djibouti,DJI,International trade,0.5,0.5,0.5,0,0,1.5,0,1,0,0.5,0,1.5,3
2018,Eastern Africa,AFE,Djibouti,DJI,Balance of payments,1,1,1,0,0,3,0,1,0,0.5,0.5,2,5
2018,Eastern Africa,AFE,Djibouti,DJI,Economic & financial statistics subscore,5,4,4,0,0,13,0,7,0.5,3,3,13.5,26.5
2018,Eastern Africa,AFE,Djibouti,DJI,Land use,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Djibouti,DJI,Resource use,0.5,0.5,0.5,0,0,1.5,0,1,0.5,0.5,0.5,2.5,4
2018,Eastern Africa,AFE,Djibouti,DJI,Energy use,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Djibouti,DJI,Pollution,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Djibouti,DJI,Built environment,1,0.5,0,0,0,1.5,0,1,0,0.5,0.5,2,3.5
2018,Eastern Africa,AFE,Djibouti,DJI,Environment subscore,1.5,1,0.5,0,0,3,0,2,0.5,1,1,4.5,7.5
2018,Eastern Africa,AFE,Djibouti,DJI,All Categories,9.5,7,6.5,1,0,24,2.5,15,4,7,6,34.5,58.5
2018,Eastern Africa,AFE,Ethiopia,ETH,Population & vital statistics,0.5,0.5,0,0.5,0,1.5,0,1,0,1,0,2,3.5
2018,Eastern Africa,AFE,Ethiopia,ETH,Education facilities,0.5,0,0.5,0,0,1,0,1,0.5,0.5,0,2,3
2018,Eastern Africa,AFE,Ethiopia,ETH,Education outcomes,0.5,0,0.5,0,0,1,0,1,0.5,1,0,2.5,3.5
2018,Eastern Africa,AFE,Ethiopia,ETH,Health facilities,1,0,0.5,1,0,2.5,0,1,0.5,0.5,0,2,4.5
2018,Eastern Africa,AFE,Ethiopia,ETH,Health outcomes,0.5,0.5,0,0.5,0,1.5,0,1,0.5,1,0,2.5,4
2018,Eastern Africa,AFE,Ethiopia,ETH,Reproductive health,1,0.5,0.5,0.5,0,2.5,0,1,0.5,0.5,0,2,4.5
2018,Eastern Africa,AFE,Ethiopia,ETH,Gender statistics ,0.5,0.5,0,0,0,1,0,1,0.5,1,0,2.5,3.5
2018,Eastern Africa,AFE,Ethiopia,ETH,Crime & justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Ethiopia,ETH,Poverty & income,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Ethiopia,ETH,Social statistics subscore,4.5,2,2,2.5,0,11,0,7,3,5.5,0,15.5,26.5
2018,Eastern Africa,AFE,Ethiopia,ETH,National accounts,0.5,0,0.5,0,0,1,0,1,0.5,0.5,0,2,3
2018,Eastern Africa,AFE,Ethiopia,ETH,Labor ,1,0.5,0,0.5,0,2,0,1,0.5,1,0,2.5,4.5
2018,Eastern Africa,AFE,Ethiopia,ETH,Price indexes,0.5,0.5,0.5,0.5,0,2,0,1,0,0.5,0,1.5,3.5
2018,Eastern Africa,AFE,Ethiopia,ETH,Government finance,1,0.5,0.5,0,0,2,0,1,0.5,0.5,0,2,4
2018,Eastern Africa,AFE,Ethiopia,ETH,Money & banking,1,0.5,0.5,0,0,2,0,1,0.5,0.5,0,2,4
2018,Eastern Africa,AFE,Ethiopia,ETH,International trade,0.5,0.5,0.5,0,0,1.5,0,1,0,0.5,0,1.5,3
2018,Eastern Africa,AFE,Ethiopia,ETH,Balance of payments,1,1,1,0,0,3,0,1,0,0.5,0,1.5,4.5
2018,Eastern Africa,AFE,Ethiopia,ETH,Economic & financial statistics subscore,5.5,3.5,3.5,1,0,13.5,0,7,2,4,0,13,26.5
2018,Eastern Africa,AFE,Ethiopia,ETH,Land use,0.5,0,0.5,0,0,1,0,1,0.5,0.5,0,2,3
2018,Eastern Africa,AFE,Ethiopia,ETH,Resource use,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Ethiopia,ETH,Energy use,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Ethiopia,ETH,Pollution,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Ethiopia,ETH,Built environment,1,0.5,0,0,0,1.5,0,1,0.5,1,0,2.5,4
2018,Eastern Africa,AFE,Ethiopia,ETH,Environment subscore,1.5,0.5,0.5,0,0,2.5,0,2,1,1.5,0,4.5,7
2018,Eastern Africa,AFE,Ethiopia,ETH,All Categories,11.5,6,6,3.5,0,27,0,16,6,11,0,33,60
2018,Eastern Africa,AFE,Kenya,KEN,Population & vital statistics,0.5,0.5,0.5,0.5,0.5,2.5,0,1,0,0.5,0,1.5,4
2018,Eastern Africa,AFE,Kenya,KEN,Education facilities,0.5,0.5,0.5,0,0,1.5,0,1,0,0.5,0,1.5,3
2018,Eastern Africa,AFE,Kenya,KEN,Education outcomes,0.5,0.5,0.5,0,0,1.5,0,1,0.5,0.5,0,2,3.5
2018,Eastern Africa,AFE,Kenya,KEN,Health facilities,1,1,0.5,0.5,0,3,0,1,0.5,0.5,0,2,5
2018,Eastern Africa,AFE,Kenya,KEN,Health outcomes,0.5,0.5,0.5,0.5,0,2,0,1,0,1,0,2,4
2018,Eastern Africa,AFE,Kenya,KEN,Reproductive health,1,0.5,0.5,0,0,2,0,1,0.5,0.5,0,2,4
2018,Eastern Africa,AFE,Kenya,KEN,Gender statistics ,0.5,0.5,0.5,0,0,1.5,0.5,1,0.5,0.5,0,2.5,4
2018,Eastern Africa,AFE,Kenya,KEN,Crime & justice,1,1,1,0.5,0.5,4,0,1,0,0.5,0,1.5,5.5
2018,Eastern Africa,AFE,Kenya,KEN,Poverty & income,0.5,0.5,0,0,0,1,0,1,0.5,0.5,0,2,3
2018,Eastern Africa,AFE,Kenya,KEN,Social statistics subscore,6,5.5,4.5,2,1,19,0.5,9,2.5,5,0,17,36
2018,Eastern Africa,AFE,Kenya,KEN,National accounts,0.5,0.5,0.5,0,0,1.5,0,1,0,0.5,0,1.5,3
2018,Eastern Africa,AFE,Kenya,KEN,Labor ,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Kenya,KEN,Price indexes,0.5,0.5,0.5,0,0,1.5,0,1,0,0.5,0,1.5,3
