Year,Region,Region code,Country,Country Code,Data categories,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,First administrative level,Second administrative level,Coverage subscore,Machine readable,Non-proprietary,Download options,Metadata available,Terms of use,Openness subscore,Overall score
2015,Eastern Africa,AFE,Burundi,BDI,Population & vital statistics,50,50,50,50,50,50,0,0,0,50,0,10,30
2015,Eastern Africa,AFE,Burundi,BDI,Education facilities,50,50,50,50,0,40,0,0,0,50,0,10,25
2015,Eastern Africa,AFE,Burundi,BDI,Education outcomes,50,50,50,50,0,40,0,0,0,50,0,10,25
2015,Eastern Africa,AFE,Burundi,BDI,Health facilities,50,50,50,50,0,40,0,0,0,50,0,10,25
2015,Eastern Africa,AFE,Burundi,BDI,Health outcomes,50,50,50,0,0,30,0,0,0,50,0,10,20
2015,Eastern Africa,AFE,Burundi,BDI,Reproductive health,0,0,0,0,0,0,0,0,0,50,0,10,5
2015,Eastern Africa,AFE,Burundi,BDI,Gender statistics ,50,50,50,0,0,30,0,0,0,50,0,10,20
2015,Eastern Africa,AFE,Burundi,BDI,Poverty & income,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Eastern Africa,AFE,Burundi,BDI,Social statistics subscore,37.5,37.5,37.5,25,6.3,28.8,0,0,0,43.8,0,8.8,18.8
2015,Eastern Africa,AFE,Burundi,BDI,National accounts,50,50,50,0,0,37.5,0,0,0,50,0,10,22.2
2015,Eastern Africa,AFE,Burundi,BDI,Labor ,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Eastern Africa,AFE,Burundi,BDI,Price indexes,50,50,50,50,0,40,0,0,0,50,0,10,25
2015,Eastern Africa,AFE,Burundi,BDI,Government finance,50,50,50,0,0,37.5,0,0,0,50,0,10,22.2
2015,Eastern Africa,AFE,Burundi,BDI,Money & banking,50,50,50,0,0,50,0,0,0,50,0,10,25
2015,Eastern Africa,AFE,Burundi,BDI,International trade,100,100,100,0,0,100,0,0,0,50,0,10,43.8
2015,Eastern Africa,AFE,Burundi,BDI,Balance of payments,50,50,50,0,0,50,0,0,0,50,0,10,25
