Year,Region,Region code,Country,Country Code,Data categories,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,First administrative level,Second administrative level,Coverage subscore,Machine readable,Non-proprietary,Download options,Metadata available,Terms of use,Openness subscore,Overall score
2016,Eastern Africa,AFE,Burundi,BDI,Population & vital statistics,50,50,50,50,50,50,0,100,0,100,0,40,45
2016,Eastern Africa,AFE,Burundi,BDI,Education facilities,50,50,50,50,0,40,0,100,0,100,0,40,40
2016,Eastern Africa,AFE,Burundi,BDI,Education outcomes,50,50,50,50,0,40,0,100,0,100,0,40,40
2016,Eastern Africa,AFE,Burundi,BDI,Health facilities,50,50,50,50,0,40,0,100,0,100,0,40,40
2016,Eastern Africa,AFE,Burundi,BDI,Health outcomes,100,100,100,0,0,60,0,100,0,100,0,40,50
2016,Eastern Africa,AFE,Burundi,BDI,Reproductive health,50,50,50,0,0,30,0,100,0,50,0,30,30
2016,Eastern Africa,AFE,Burundi,BDI,Gender statistics ,50,50,50,0,0,30,0,100,0,100,0,40,35
2016,Eastern Africa,AFE,Burundi,BDI,Poverty & income,50,50,50,0,0,30,0,100,0,100,0,40,35
2016,Eastern Africa,AFE,Burundi,BDI,Social statistics subscore,56.3,56.3,56.3,25,6.3,40,0,100,0,93.8,0,38.8,39.4
2016,Eastern Africa,AFE,Burundi,BDI,National accounts,50,50,50,0,0,37.5,0,100,0,100,0,40,38.9
2016,Eastern Africa,AFE,Burundi,BDI,Labor ,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Eastern Africa,AFE,Burundi,BDI,Price indexes,50,50,50,0,0,30,0,100,0,100,0,40,35
2016,Eastern Africa,AFE,Burundi,BDI,Government finance,100,100,100,0,0,75,0,100,0,100,0,40,55.6
2016,Eastern Africa,AFE,Burundi,BDI,Money & banking,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Eastern Africa,AFE,Burundi,BDI,International trade,50,50,50,0,0,50,0,100,0,100,0,40,43.8
2016,Eastern Africa,AFE,Burundi,BDI,Balance of payments,100,100,100,0,0,100,0,100,0,100,0,40,62.5
2016,Eastern Africa,AFE,Burundi,BDI,Economic & financial statistics subscore,50,50,50,0,0,38.9,0,71.4,0,71.4,0,28.6,33.1
2016,Eastern Africa,AFE,Burundi,BDI,Land use,100,100,100,0,0,60,0,100,0,100,0,40,50
2016,Eastern Africa,AFE,Burundi,BDI,Resource use,100,100,100,50,0,70,0,100,0,100,0,40,55
2016,Eastern Africa,AFE,Burundi,BDI,Energy use,100,100,100,0,0,60,0,100,0,100,0,40,50
2016,Eastern Africa,AFE,Burundi,BDI,Pollution,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Eastern Africa,AFE,Burundi,BDI,Built environment,100,50,50,50,0,50,0,100,0,100,0,40,45
2016,Eastern Africa,AFE,Burundi,BDI,Environment subscore,80,70,70,20,0,48,0,80,0,80,0,32,40
2016,Eastern Africa,AFE,Burundi,BDI,All Categories,62.1,58.8,58.8,17.5,2.7,42.6,0,83.8,0,81.7,0,33.1,37.7
2016,Eastern Africa,AFE,Djibouti,DJI,Population & vital statistics,50,0,0,0,0,10,0,100,0,0,0,20,15
2016,Eastern Africa,AFE,Djibouti,DJI,Education facilities,50,50,50,50,0,40,50,100,50,0,0,40,40
2016,Eastern Africa,AFE,Djibouti,DJI,Education outcomes,50,50,50,50,0,40,50,100,50,0,0,40,40
2016,Eastern Africa,AFE,Djibouti,DJI,Health facilities,100,50,50,0,0,40,50,100,50,0,0,40,40
2016,Eastern Africa,AFE,Djibouti,DJI,Health outcomes,50,50,50,0,0,30,100,100,100,0,0,60,45
2016,Eastern Africa,AFE,Djibouti,DJI,Reproductive health,50,50,0,0,0,20,50,100,50,0,0,40,30
2016,Eastern Africa,AFE,Djibouti,DJI,Gender statistics ,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Eastern Africa,AFE,Djibouti,DJI,Poverty & income,0,0,0,0,0,0,0,0,0,0,0,0,0
