Year,Region,Region code,Country,Country Code,Data categories,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,First administrative level,Second administrative level,Coverage subscore,Machine readable,Non-proprietary,Download options,Metadata available,Terms of use,Openness subscore,Overall score
2020,Eastern Africa,AFE,Burundi,BDI,Population & vital statistics,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Eastern Africa,AFE,Burundi,BDI,Education facilities,50,50,50,0,0,30,0,100,50,50,0,40,35
2020,Eastern Africa,AFE,Burundi,BDI,Education outcomes,50,50,50,0,0,30,0,100,50,50,0,40,35
2020,Eastern Africa,AFE,Burundi,BDI,Health facilities,50,50,50,50,0,40,50,100,50,50,50,60,50
2020,Eastern Africa,AFE,Burundi,BDI,Health outcomes,50,50,50,0,0,30,50,100,50,50,50,60,45
2020,Eastern Africa,AFE,Burundi,BDI,Reproductive health,100,50,50,0,0,40,50,100,50,50,50,60,50
2020,Eastern Africa,AFE,Burundi,BDI,Food security & nutrition,100,50,50,0,0,50,50,100,50,50,50,60,55.6
2020,Eastern Africa,AFE,Burundi,BDI,Gender statistics,50,50,50,0,0,30,100,100,100,100,100,100,65
2020,Eastern Africa,AFE,Burundi,BDI,Crime & justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Eastern Africa,AFE,Burundi,BDI,Poverty & income,50,50,50,0,0,30,0,100,50,50,0,40,35
2020,Eastern Africa,AFE,Burundi,BDI,Social statistics subscore,50,40,40,5,0,27.6,30,80,45,45,30,46,36.9
2020,Eastern Africa,AFE,Burundi,BDI,National accounts,50,50,50,0,0,37.5,0,100,50,50,0,40,38.9
2020,Eastern Africa,AFE,Burundi,BDI,Labor,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Eastern Africa,AFE,Burundi,BDI,Price indexes,100,100,50,0,0,62.5,0,100,50,50,50,50,55.6
2020,Eastern Africa,AFE,Burundi,BDI,Government finance,100,100,100,0,0,75,0,100,50,50,0,40,55.6
2020,Eastern Africa,AFE,Burundi,BDI,Money & banking,50,50,50,0,0,50,0,100,50,50,0,40,43.8
2020,Eastern Africa,AFE,Burundi,BDI,International trade,50,50,50,0,0,50,0,100,0,50,0,30,37.5
2020,Eastern Africa,AFE,Burundi,BDI,Balance of payments,100,100,100,0,0,100,0,100,50,50,0,40,62.5
2020,Eastern Africa,AFE,Burundi,BDI,Economic & financial statistics subscore,64.3,64.3,57.1,0,0,50,0,85.7,35.7,42.9,7.1,34.3,41
2020,Eastern Africa,AFE,Burundi,BDI,Agriculture & Land Use,50,50,50,0,0,30,50,100,50,50,50,60,45
2020,Eastern Africa,AFE,Burundi,BDI,Resource use,100,100,100,50,0,87.5,0,100,50,50,0,40,61.1
2020,Eastern Africa,AFE,Burundi,BDI,Energy,50,50,50,0,0,50,0,100,50,50,0,40,43.8
2020,Eastern Africa,AFE,Burundi,BDI,Pollution,0,0,0,0,0,0,0,0,0,0,0,0,0
