FREQ,REF_AREA,INDICATOR,UNIT_MULT,TIME_FORMAT,TIME_PERIOD,OBS_VALUE
Q,AR,NGDP_XDC,6,P3M,2009-Q1,278076.872
Q,AR,NGDP_XDC,6,P3M,2009-Q2,312866.182
Q,AR,NGDP_XDC,6,P3M,2009-Q3,317433.68625
Q,AR,NGDP_XDC,6,P3M,2009-Q4,339552.5285
Q,AR,NGDP_XDC,6,P3M,2010-Q1,354714.4875
Q,AR,NGDP_XDC,6,P3M,2010-Q2,421516.7385
Q,AR,NGDP_XDC,6,P3M,2010-Q3,428208.63725
Q,AR,NGDP_XDC,6,P3M,2010-Q4,457281.0625
Q,AR,NGDP_XDC,6,P3M,2011-Q1,472206.788
Q,AR,NGDP_XDC,6,P3M,2011-Q2,559280.95875
Q,AR,NGDP_XDC,6,P3M,2011-Q3,562621.816
Q,AR,NGDP_XDC,6,P3M,2011-Q4,584914.54075
Q,AR,NGDP_XDC,6,P3M,2012-Q1,586389.90075
Q,AR,NGDP_XDC,6,P3M,2012-Q2,662774.5115
Q,AR,NGDP_XDC,6,P3M,2012-Q3,676206.8875
Q,AR,NGDP_XDC,6,P3M,2012-Q4,712542.54825
Q,AR,NGDP_XDC,6,P3M,2013-Q1,722245.21475
Q,AR,NGDP_XDC,6,P3M,2013-Q2,846952.728
Q,AR,NGDP_XDC,6,P3M,2013-Q3,859136.6365
Q,AR,NGDP_XDC,6,P3M,2013-Q4,919973.90875
Q,AR,NGDP_XDC,6,P3M,2014-Q1,979412.21525
Q,AR,NGDP_XDC,6,P3M,2014-Q2,1175657.38125
Q,AR,NGDP_XDC,6,P3M,2014-Q3,1171375.77975
Q,AR,NGDP_XDC,6,P3M,2014-Q4,1252641.04925
Q,AR,NGDP_XDC,6,P3M,2015-Q1,1273173.435
Q,AR,NGDP_XDC,6,P3M,2015-Q2,1487869.71375
Q,AR,NGDP_XDC,6,P3M,2015-Q3,1555432.689
Q,AR,NGDP_XDC,6,P3M,2015-Q4,1638035.05775
Q,AR,NGDP_XDC,6,P3M,2016-Q1,1751661.26125
Q,AR,NGDP_XDC,6,P3M,2016-Q2,2103639.1205
Q,AR,NGDP_XDC,6,P3M,2016-Q3,2131907.20625
Q,AR,NGDP_XDC,6,P3M,2016-Q4,2240951.9685
Q,AR,NGDP_XDC,6,P3M,2017-Q1,2301761.99825
Q,AR,NGDP_XDC,6,P3M,2017-Q2,2650617.3275
Q,AR,NGDP_XDC,6,P3M,2017-Q3,2767522.525
Q,AR,NGDP_XDC,6,P3M,2017-Q4,2924876.9475
Q,AR,NGDP_XDC,6,P3M,2018-Q1,3073899.2925
Q,AR,NGDP_XDC,6,P3M,2018-Q2,3560695.3475
Q,AR,NGDP_XDC,6,P3M,2018-Q3,3740234.4875
Q,AR,NGDP_XDC,6,P3M,2018-Q4,4230961.22
Q,AR,NGDP_XDC,6,P3M,2019-Q1,4388883.7625
Q,AR,NGDP_XDC,6,P3M,2019-Q2,5366544.715
Q,AR,NGDP_XDC,6,P3M,2019-Q3,5555522.0375
Q,AR,NGDP_XDC,6,P3M,2019-Q4,6339400.1625
Q,CA,NGDP_XDC,6,P3M,2009-Q1,375058
Q,CA,NGDP_XDC,6,P3M,2009-Q2,382707
Q,CA,NGDP_XDC,6,P3M,2009-Q3,406950
Q,CA,NGDP_XDC,6,P3M,2009-Q4,406619
Q,CA,NGDP_XDC,6,P3M,2010-Q1,391695
Q,CA,NGDP_XDC,6,P3M,2010-Q2,407576
Q,CA,NGDP_XDC,6,P3M,2010-Q3,430730
Q,CA,NGDP_XDC,6,P3M,2010-Q4,436046
Q,CA,NGDP_XDC,6,P3M,2011-Q1,417185
Q,CA,NGDP_XDC,6,P3M,2011-Q2,432633
Q,CA,NGDP_XDC,6,P3M,2011-Q3,461103
Q,CA,NGDP_XDC,6,P3M,2011-Q4,463142
Q,CA,NGDP_XDC,6,P3M,2012-Q1,432782
Q,CA,NGDP_XDC,6,P3M,2012-Q2,446963
Q,CA,NGDP_XDC,6,P3M,2012-Q3,473622
Q,CA,NGDP_XDC,6,P3M,2012-Q4,473835
Q,CA,NGDP_XDC,6,P3M,2013-Q1,443095
Q,CA,NGDP_XDC,6,P3M,2013-Q2,460409
Q,CA,NGDP_XDC,6,P3M,2013-Q3,501012
Q,CA,NGDP_XDC,6,P3M,2013-Q4,497731
Q,CA,NGDP_XDC,6,P3M,2014-Q1,467384
Q,CA,NGDP_XDC,6,P3M,2014-Q2,488986
Q,CA,NGDP_XDC,6,P3M,2014-Q3,524463
Q,CA,NGDP_XDC,6,P3M,2014-Q4,514059
Q,CA,NGDP_XDC,6,P3M,2015-Q1,472416
Q,CA,NGDP_XDC,6,P3M,2015-Q2,487009
Q,CA,NGDP_XDC,6,P3M,2015-Q3,521526
Q,CA,NGDP_XDC,6,P3M,2015-Q4,509488
Q,CA,NGDP_XDC,6,P3M,2016-Q1,475850
Q,CA,NGDP_XDC,6,P3M,2016-Q2,491043
Q,CA,NGDP_XDC,6,P3M,2016-Q3,530929
Q,CA,NGDP_XDC,6,P3M,2016-Q4,530401
Q,CA,NGDP_XDC,6,P3M,2017-Q1,500088
Q,CA,NGDP_XDC,6,P3M,2017-Q2,525035
Q,CA,NGDP_XDC,6,P3M,2017-Q3,560105
Q,CA,NGDP_XDC,6,P3M,2017-Q4,556280
Q,CA,NGDP_XDC,6,P3M,2018-Q1,522234
Q,CA,NGDP_XDC,6,P3M,2018-Q2,545274
Q,CA,NGDP_XDC,6,P3M,2018-Q3,583055
Q,CA,NGDP_XDC,6,P3M,2018-Q4,568498
Q,CA,NGDP_XDC,6,P3M,2019-Q1,535639
Q,CA,NGDP_XDC,6,P3M,2019-Q2,565972
Q,AM,NGDP_XDC,6,P3M,2009-Q1,493759.4
Q,AM,NGDP_XDC,6,P3M,2009-Q2,659326.8
Q,AM,NGDP_XDC,6,P3M,2009-Q3,980348.1
Q,AM,NGDP_XDC,6,P3M,2009-Q4,1008216.7
Q,AM,NGDP_XDC,6,P3M,2010-Q1,544363.5
Q,AM,NGDP_XDC,6,P3M,2010-Q2,735781.2
Q,AM,NGDP_XDC,6,P3M,2010-Q3,1048796.7
Q,AM,NGDP_XDC,6,P3M,2010-Q4,1131261.3
Q,AM,NGDP_XDC,6,P3M,2011-Q1,612136.6
Q,AM,NGDP_XDC,6,P3M,2011-Q2,816107.8
Q,AM,NGDP_XDC,6,P3M,2011-Q3,1146589.9
Q,AM,NGDP_XDC,6,P3M,2011-Q4,1203111.3
Q,AM,NGDP_XDC,6,P3M,2012-Q1,658957.8
Q,AM,NGDP_XDC,6,P3M,2012-Q2,886235.4
Q,AM,NGDP_XDC,6,P3M,2012-Q3,1217522.3
Q,AM,NGDP_XDC,6,P3M,2012-Q4,1238006.5
Q,AM,NGDP_XDC,6,P3M,2013-Q1,784166.2
Q,AM,NGDP_XDC,6,P3M,2013-Q2,978205.1
Q,AM,NGDP_XDC,6,P3M,2013-Q3,1363072.3
Q,AM,NGDP_XDC,6,P3M,2013-Q4,1430194.6
Q,AM,NGDP_XDC,6,P3M,2014-Q1,814938.4
Q,AM,NGDP_XDC,6,P3M,2014-Q2,1030592.9
Q,AM,NGDP_XDC,6,P3M,2014-Q3,1443501.1
Q,AM,NGDP_XDC,6,P3M,2014-Q4,1539593.9
Q,AM,NGDP_XDC,6,P3M,2015-Q1,879565.7
Q,AM,NGDP_XDC,6,P3M,2015-Q2,1105248
Q,AM,NGDP_XDC,6,P3M,2015-Q3,1523902.7
Q,AM,NGDP_XDC,6,P3M,2015-Q4,1534916.8
Q,AM,NGDP_XDC,6,P3M,2016-Q1,893634.2
Q,AM,NGDP_XDC,6,P3M,2016-Q2,1132260.6
Q,AM,NGDP_XDC,6,P3M,2016-Q3,1525628.4
Q,AM,NGDP_XDC,6,P3M,2016-Q4,1515770.3
