country,year,document,language,name,SDG,freq_of_terms,freq_of_numbers
Albania,2018,VNR_Albania2018.pdf,en,VNR_Albania2018.pdf,SDG 1,29,0.4827586206896552
Albania,2018,VNR_Albania2018.pdf,en,VNR_Albania2018.pdf,SDG 10,6,0.6666666666666666
Albania,2018,VNR_Albania2018.pdf,en,VNR_Albania2018.pdf,SDG 11,5,0
Albania,2018,VNR_Albania2018.pdf,en,VNR_Albania2018.pdf,SDG 12,11,0.2727272727272727
Albania,2018,VNR_Albania2018.pdf,en,VNR_Albania2018.pdf,SDG 13,31,0.3225806451612903
Albania,2018,VNR_Albania2018.pdf,en,VNR_Albania2018.pdf,SDG 15,1,1
Albania,2018,VNR_Albania2018.pdf,en,VNR_Albania2018.pdf,SDG 16,60,0.45
Albania,2018,VNR_Albania2018.pdf,en,VNR_Albania2018.pdf,SDG 17,35,0.5142857142857142
Albania,2018,VNR_Albania2018.pdf,en,VNR_Albania2018.pdf,SDG 2,5,0.6
Albania,2018,VNR_Albania2018.pdf,en,VNR_Albania2018.pdf,SDG 3,20,0.65
Albania,2018,VNR_Albania2018.pdf,en,VNR_Albania2018.pdf,SDG 4,49,0.4897959183673469
Albania,2018,VNR_Albania2018.pdf,en,VNR_Albania2018.pdf,SDG 5,29,0.5172413793103449
Albania,2018,VNR_Albania2018.pdf,en,VNR_Albania2018.pdf,SDG 6,10,0.4
Albania,2018,VNR_Albania2018.pdf,en,VNR_Albania2018.pdf,SDG 7,1,1
Albania,2018,VNR_Albania2018.pdf,en,VNR_Albania2018.pdf,SDG 8,52,0.6153846153846154
Albania,2018,VNR_Albania2018.pdf,en,VNR_Albania2018.pdf,SDG 9,105,0.47619047619047616
Algeria,2019,VNR_Algeria2019.pdf,fr,VNR_Algeria2019.pdf,SDG 1,53,0.7358490566037735
Algeria,2019,VNR_Algeria2019.pdf,fr,VNR_Algeria2019.pdf,SDG 10,13,0.5384615384615384
Algeria,2019,VNR_Algeria2019.pdf,fr,VNR_Algeria2019.pdf,SDG 11,18,0.7777777777777778
Algeria,2019,VNR_Algeria2019.pdf,fr,VNR_Algeria2019.pdf,SDG 13,95,0.6736842105263158
Algeria,2019,VNR_Algeria2019.pdf,fr,VNR_Algeria2019.pdf,SDG 14,13,0.6153846153846154
Algeria,2019,VNR_Algeria2019.pdf,fr,VNR_Algeria2019.pdf,SDG 15,17,0.7647058823529411
Algeria,2019,VNR_Algeria2019.pdf,fr,VNR_Algeria2019.pdf,SDG 16,39,0.5384615384615384
Algeria,2019,VNR_Algeria2019.pdf,fr,VNR_Algeria2019.pdf,SDG 17,36,0.6111111111111112
Algeria,2019,VNR_Algeria2019.pdf,fr,VNR_Algeria2019.pdf,SDG 2,17,0.9411764705882353
Algeria,2019,VNR_Algeria2019.pdf,fr,VNR_Algeria2019.pdf,SDG 3,53,0.7547169811320755
Algeria,2019,VNR_Algeria2019.pdf,fr,VNR_Algeria2019.pdf,SDG 4,152,0.6842105263157895
Algeria,2019,VNR_Algeria2019.pdf,fr,VNR_Algeria2019.pdf,SDG 5,2,1
Algeria,2019,VNR_Algeria2019.pdf,fr,VNR_Algeria2019.pdf,SDG 6,1,0
Algeria,2019,VNR_Algeria2019.pdf,fr,VNR_Algeria2019.pdf,SDG 8,71,0.6901408450704225
Algeria,2019,VNR_Algeria2019.pdf,fr,VNR_Algeria2019.pdf,SDG 9,117,0.5299145299145299
Andorra,2018,VNR_Andorra2018.pdf,fr,VNR_Andorra2018.pdf,SDG 1,29,0.7586206896551724
Andorra,2018,VNR_Andorra2018.pdf,fr,VNR_Andorra2018.pdf,SDG 10,9,0.3333333333333333
Andorra,2018,VNR_Andorra2018.pdf,fr,VNR_Andorra2018.pdf,SDG 11,15,0.5333333333333333
Andorra,2018,VNR_Andorra2018.pdf,fr,VNR_Andorra2018.pdf,SDG 13,55,0.36363636363636365
Andorra,2018,VNR_Andorra2018.pdf,fr,VNR_Andorra2018.pdf,SDG 15,5,1
Andorra,2018,VNR_Andorra2018.pdf,fr,VNR_Andorra2018.pdf,SDG 16,10,0.3
Andorra,2018,VNR_Andorra2018.pdf,fr,VNR_Andorra2018.pdf,SDG 17,35,0.45714285714285713
Andorra,2018,VNR_Andorra2018.pdf,fr,VNR_Andorra2018.pdf,SDG 2,1,0
