"country","indicator_date","nada_dates","nada_title"
"Bhutan",2005,"2005","Population and Housing Census of Bhutan 2005"
"Botswana",2011,"2011","Population and Housing Census 2011"
"Brazil",1960,"1960","VII Recenseamento Geral do Brasil. Censo Demográfico de 1960 - IPUMS Subset"
"Cameroon",1976,"1976","Recensement Général de la Population et de l'Habitat 1976"
"Côte d'Ivoire",1998,"1998","Recensement Général de la Population et de l'Habitation 1998"
"Ghana",2010,"2010","Population and Housing Census 2010"
"Guinea-Bissau",2009,"2009","Inquérito Pós-Censitário 2009"
"Mexico",2010,"2010","Censo de Población y Vivienda 2010"
"Micronesia, Fed. Sts.",2010,"2010","Population and Housing Census 2010"
"Mongolia",1989,"1989, 2000","Population and Housing Census 1989 - IPUMS Subset; Population and Housing Census 2000 - IPUMS Subset"
"Mongolia",2000,"1989, 2000","Population and Housing Census 1989 - IPUMS Subset; Population and Housing Census 2000 - IPUMS Subset"
"Nepal",1991,"1991, 2001","National Population Census 1991; National Population Census 2001, Tenth Census"
"Nepal",2001,"1991, 2001","National Population Census 1991; National Population Census 2001, Tenth Census"
"Palau",2005,"2005","Census of Population and Housing 2005"
"Republic of Cabo Verde",2010,"2010","Recenseamento Geral da População e Habitação 2010"
"South Africa",1996,"1996","Population Census 1996"
"St. Lucia",2010,"2010","Population and Housing Census 2010"
"Trinidad and Tobago",2011,"2011","Population and Housing Census 2011"
