"iso3c","indicator_date","input_var","nada_dates"
"AFG",-99,NA,NA
"AGO",2003,"2003, 2011, 2021",NA
"AGO",2011,"2003, 2011, 2021",NA
"AGO",2021,"2003, 2011, 2021",NA
"ALB",-99,"Register based census",NA
"AND",-99,"Register based census",NA
"ARE",-99,"Register based census",NA
"ARG",2020,"2020",NA
"ARM",-99,"Register based census",NA
"ATG",-99,"Register based census",NA
"AUS",-99,"Register based census",NA
"AUT",-99,"Register based census",NA
"AZE",-99,"Register based census",NA
"BDI",-99,NA,NA
"BEL",-99,"Register based census",NA
"BEN",2008,"2008",NA
"BFA",-99,"Register based census",NA
"BGD",-99,"Register based census",NA
"BGR",-99,"Register based census",NA
"BHR",-99,"Register based census",NA
"BHS",-99,"Register based census",NA
"BIH",-99,"Register based census",NA
"BLR",-99,"Register based census",NA
"BLZ",-99,"Register based census",NA
"BOL",-99,"Register based census",NA
"BRA",-99,"Register based census",NA
"BRB",-99,"Register based census",NA
"BRN",-99,"Register based census",NA
"BTN",2017,"2017",NA
"BWA",-99,"Register based census",NA
"CAF",-99,NA,NA
"CAN",-99,"Register based census",NA
"CHE",-99,"Register based census",NA
"CHL",-99,"Register based census",NA
"CHN",2019,"2019",NA
"CIV",-99,"Register based census",NA
"CMR",2009,"2009, 2016",NA
"CMR",2016,"2009, 2016",NA
"COD",-99,NA,NA
"COG",-99,NA,NA
"COL",-99,"Register based census",NA
"COM",-99,NA,NA
"CPV",2018,"2018",NA
"CRI",-99,"Register based census",NA
"CYP",-99,"Register based census",NA
"CZE",-99,"Register based census",NA
"DEU",-99,"Register based census",NA
"DJI",-99,NA,NA
"DMA",-99,NA,NA
"DNK",-99,"Register based census",NA
"DOM",-99,"Register based census",NA
"DZA",2011,"2011",NA
"ECU",-99,"Register based census",NA
"EGY",-99,"Register based census",NA
"ERI",-99,NA,NA
"ESP",-99,"Register based census",NA
"EST",-99,"Register based census",NA
"ETH",-99,NA,NA
"FIN",-99,"Register based census",NA
"FJI",2022,"2022, 2023, 2024",NA
"FJI",2023,"2022, 2023, 2024",NA
"FJI",2024,"2022, 2023, 2024",NA
"FRA",-99,"Register based census",NA
"FSM",-99,NA,NA
"GAB",2021,"2021",NA
"GBR",-99,"Register based census",NA
"GEO",-99,"Register based census",NA
"GHA",2003,"2003, 2013","2003"
"GHA",2013,"2003, 2013",NA
"GIN",-99,NA,NA
"GMB",2014,"2014",NA
"GNB",-99,NA,NA
"GNQ",-99,NA,NA
"GRC",-99,"Register based census",NA
"GRD",-99,NA,NA
"GTM",-99,"Register based census",NA
"GUY",-99,NA,NA
"HND",-99,"Register based census",NA
"HRV",-99,"Register based census",NA
"HTI",-99,NA,NA
"HUN",-99,"Register based census",NA
"IDN",-99,"Register based census",NA
"IND",-99,"Register based census",NA
"IRL",-99,"Register based census",NA
"IRN",-99,"Register based census",NA
"IRQ",-99,NA,NA
"ISL",-99,"Register based census",NA
"ISR",-99,"Register based census",NA
"ITA",-99,"Register based census",NA
"JAM",-99,"Register based census",NA
"JOR",2006,"2006, 2011, 2018",NA
"JOR",2011,"2006, 2011, 2018",NA
"JOR",2018,"2006, 2011, 2018",NA
"JPN",-99,"Register based census",NA
"KAZ",2024,"Register based census, 2024",NA
"KEN",2010,"2010, 2017","2010"
"KEN",2017,"2010, 2017",NA
"KGZ",-99,"Register based census",NA
"KHM",-99,"Register based census",NA
"KIR",-99,NA,NA
"KNA",-99,NA,NA
"KOR",-99,"Register based census",NA
"KWT",-99,"Register based census",NA
"LAO",-99,"Register based census",NA
"LBN",-99,"Register based census",NA
"LBR",2017,"2017, 2023",NA
"LBR",2023,"2017, 2023",NA
"LBY",-99,NA,NA
"LCA",-99,"Register based census",NA
"LKA",1983,NA,"1983, 2003"
"LKA",2003,"2003, 2013","1983, 2003"
"LKA",2013,"2003, 2013",NA
"LSO",-99,"Register based census",NA
"LTU",-99,"Register based census",NA
"LUX",-99,"Register based census",NA
"LVA",-99,"Register based census",NA
"MAR",2001,"2001",NA
"MDA",-99,"Register based census",NA
"MDG",-99,NA,NA
"MDV",-99,"Register based census",NA
"MEX",-99,"Register based census",NA
"MHL",-99,"Register based census",NA
"MKD",-99,"Register based census",NA
"MLI",-99,NA,NA
"MLT",-99,"Register based census",NA
"MMR",-99,"Register based census",NA
"MNE",-99,"Register based census",NA
"MNG",-99,"Register based census",NA
"MOZ",2004,NA,"2004"
"MOZ",2014,"2014",NA
"MRT",-99,NA,NA
"MUS",-99,"Register based census",NA
"MWI",2016,"2016",NA
"MYS",-99,"Register based census",NA
"NAM",2019,"2019",NA
"NER",2022,"2022",NA
"NGA",-99,NA,NA
"NIC",2010,"2010",NA
"NLD",-99,"Register based census",NA
"NOR",-99,"Register based census",NA
"NPL",2001,"2001, 2006, 2018",NA
"NPL",2006,"2001, 2006, 2018",NA
"NPL",2018,"2001, 2006, 2018",NA
"NRU",-99,NA,NA
"NZL",-99,"Register based census",NA
"OMN",-99,"Register based census",NA
"PAK",-99,"Register based census",NA
"PAN",-99,"Register based census",NA
"PER",-99,"Register based census",NA
"PHL",2006,"2006, 2012, 2018",NA
"PHL",2012,"2006, 2012, 2018",NA
"PHL",2018,"2006, 2012, 2018",NA
"PLW",-99,NA,NA
"PNG",-99,NA,NA
"POL",-99,"Register based census",NA
"PRT",-99,"Register based census",NA
"PRY",-99,"Register based census",NA
"PSE",-99,"Register based census",NA
"QAT",-99,"Register based census",NA
"ROU",-99,"Register based census",NA
"RUS",-99,"Register based census",NA
"RWA",-99,"Register based census",NA
"SAU",-99,"Register based census",NA
"SDN",-99,NA,NA
"SEN",2016,"2016",NA
"SGP",-99,"Register based census",NA
"SLB",2024,"2024",NA
"SLE",2022,"2022",NA
"SLV",-99,"Register based census",NA
"SOM",2024,"2024",NA
"SRB",-99,"Register based census",NA
"SSD",-99,NA,NA
"STP",-99,NA,NA
"SUR",-99,"Register based census",NA
"SVK",-99,"Register based census",NA
"SVN",-99,"Register based census",NA
"SWE",-99,"Register based census",NA
"SWZ",2011,"2011",NA
"SYC",-99,NA,NA
"SYR",-99,NA,NA
"TCD",-99,NA,NA
"TGO",2017,"2017",NA
"THA",2007,"2007, 2012",NA
"THA",2012,"2007, 2012",NA
"TJK",-99,"Register based census",NA
"TKM",-99,NA,NA
"TLS",-99,NA,NA
"TON",-99,"Register based census",NA
"TTO",-99,NA,NA
"TUN",-99,"Register based census",NA
"TUR",-99,"Register based census",NA
"TUV",-99,NA,NA
"TZA",-99,"Register based census",NA
"UGA",-99,"Register based census",NA
"UKR",-99,"Register based census",NA
"URY",-99,"Register based census",NA
"USA",-99,"Register based census",NA
"UZB",-99,"Register based census",NA
"VCT",-99,NA,NA
"VEN",-99,NA,NA
"VNM",-99,"Register based census",NA
"VUT",2022,"Register based census, 2022",NA
"WSM",-99,NA,NA
"XKX",-99,"Register based census",NA
"YEM",-99,NA,NA
"ZAF",-99,"Register based census",NA
"ZMB",-99,NA,NA
"ZWE",2013,"2013",NA
