country,indicator_date,ihsn_dates,ihsn_title
Albania,2006,"2006, 2009, 2014, 2015, 2016",Household Budget Survey 2006; Household Budget Survey 2008-2009; Household Budget Survey 2014; Household Budget Survey 2015; Household Budget Survey 2016
Albania,2009,"2006, 2009, 2014, 2015, 2016",Household Budget Survey 2006; Household Budget Survey 2008-2009; Household Budget Survey 2014; Household Budget Survey 2015; Household Budget Survey 2016
Albania,2014,"2006, 2009, 2014, 2015, 2016",Household Budget Survey 2006; Household Budget Survey 2008-2009; Household Budget Survey 2014; Household Budget Survey 2015; Household Budget Survey 2016
Albania,2015,"2006, 2009, 2014, 2015, 2016",Household Budget Survey 2006; Household Budget Survey 2008-2009; Household Budget Survey 2014; Household Budget Survey 2015; Household Budget Survey 2016
Albania,2016,"2006, 2009, 2014, 2015, 2016",Household Budget Survey 2006; Household Budget Survey 2008-2009; Household Budget Survey 2014; Household Budget Survey 2015; Household Budget Survey 2016
Angola,1999,"1999, 2009, 2019","Inquérito aos Agregados Familiares sobre Despesas e Receitas 1999; Inquérito Integrado sobre o Bem-Estar da População 2008-2009, IDR II e MICS III; Inquérito Sobre Despesas, Receitas e Emprego 2018-2019"
Angola,2009,"1999, 2009, 2019","Inquérito aos Agregados Familiares sobre Despesas e Receitas 1999; Inquérito Integrado sobre o Bem-Estar da População 2008-2009, IDR II e MICS III; Inquérito Sobre Despesas, Receitas e Emprego 2018-2019"
Angola,2019,"1999, 2009, 2019","Inquérito aos Agregados Familiares sobre Despesas e Receitas 1999; Inquérito Integrado sobre o Bem-Estar da População 2008-2009, IDR II e MICS III; Inquérito Sobre Despesas, Receitas e Emprego 2018-2019"
Argentina,1991,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012","Encuesta Permanente de Hogares 1991 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1992 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1993 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1994 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1995 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1996 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1997 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1998 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1999 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 2000 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 2001 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 2002 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares Continua 2003 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2004 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2005 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2006 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2007 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2008 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2009 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2010 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2011 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2012 - SEDLAC - Base de Datos Armonizada, Segundo Semestre"
Argentina,1992,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012","Encuesta Permanente de Hogares 1991 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1992 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1993 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1994 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1995 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1996 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1997 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1998 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1999 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 2000 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 2001 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 2002 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares Continua 2003 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2004 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2005 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2006 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2007 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2008 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2009 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2010 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2011 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2012 - SEDLAC - Base de Datos Armonizada, Segundo Semestre"
Argentina,1993,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012","Encuesta Permanente de Hogares 1991 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1992 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1993 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1994 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1995 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1996 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1997 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1998 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 1999 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 2000 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 2001 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares 2002 - SEDLAC - Base de Datos Armonizada; Encuesta Permanente de Hogares Continua 2003 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2004 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2005 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2006 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2007 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2008 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2009 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2010 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2011 - SEDLAC - Base de Datos Armonizada, Segundo Semestre; Encuesta Permanente de Hogares Continua 2012 - SEDLAC - Base de Datos Armonizada, Segundo Semestre"
