"country","indicator_date","nada_dates","nada_title"
"Algeria",2019,"2019","Good Growth Plan, 2014-2019"
"Argentina",2019,"2019","Good Growth Plan, 2014-2019"
"Australia",2016,"2016","Good Growth Plan, 2014-2016"
"Bangladesh",2005,"2005, 2019","Agriculture Sample Survey 2005; Good Growth Plan, 2014-2019"
"Bangladesh",2019,"2005, 2019","Agriculture Sample Survey 2005; Good Growth Plan, 2014-2019"
"Belgium",2017,"2017","Good Growth Plan, 2014-2017"
"Bolivia",2008,"2008","Encuesta Nacional Agropecuaria 2008"
"Brazil",2019,"2019","Good Growth Plan, 2014-2019"
"Burkina Faso",1993,"1993, 2003","Enquête Nationale sur les Statistiques Agricoles 1993; Enquête Nationale sur les Effectifs du Cheptel 2003"
"Burkina Faso",2003,"1993, 2003","Enquête Nationale sur les Statistiques Agricoles 1993; Enquête Nationale sur les Effectifs du Cheptel 2003"
"China",2019,"2019","Good Growth Plan, 2014-2019"
"Colombia",2010,"2010, 2019","Encuesta Nacional Agropecuaria 2010; Good Growth Plan, 2014-2019"
"Colombia",2019,"2010, 2019","Encuesta Nacional Agropecuaria 2010; Good Growth Plan, 2014-2019"
"Costa Rica",2016,"2016","Good Growth Plan, 2014-2016"
"Côte D’ivoire",2019,"2019","Good Growth Plan, 2014-2019"
"Ecuador",0,"0, 2007, 2008, 2009, 2015, 2018, 2019","Annual Agricultural Area and Production Survey 2014; Annual Agricultural Area and Production Survey 2007; Annual Agricultural Area and Production Survey 2008; Annual Agricultural Area and Production Survey 2009; Annual Agricultural Area and Production Survey 2015; Annual Agricultural Area and Production Survey 2018; Good Growth Plan, 2014-2019"
"Ecuador",2007,"0, 2007, 2008, 2009, 2015, 2018, 2019","Annual Agricultural Area and Production Survey 2014; Annual Agricultural Area and Production Survey 2007; Annual Agricultural Area and Production Survey 2008; Annual Agricultural Area and Production Survey 2009; Annual Agricultural Area and Production Survey 2015; Annual Agricultural Area and Production Survey 2018; Good Growth Plan, 2014-2019"
"Ecuador",2008,"0, 2007, 2008, 2009, 2015, 2018, 2019","Annual Agricultural Area and Production Survey 2014; Annual Agricultural Area and Production Survey 2007; Annual Agricultural Area and Production Survey 2008; Annual Agricultural Area and Production Survey 2009; Annual Agricultural Area and Production Survey 2015; Annual Agricultural Area and Production Survey 2018; Good Growth Plan, 2014-2019"
"Ecuador",2009,"0, 2007, 2008, 2009, 2015, 2018, 2019","Annual Agricultural Area and Production Survey 2014; Annual Agricultural Area and Production Survey 2007; Annual Agricultural Area and Production Survey 2008; Annual Agricultural Area and Production Survey 2009; Annual Agricultural Area and Production Survey 2015; Annual Agricultural Area and Production Survey 2018; Good Growth Plan, 2014-2019"
"Ecuador",2015,"0, 2007, 2008, 2009, 2015, 2018, 2019","Annual Agricultural Area and Production Survey 2014; Annual Agricultural Area and Production Survey 2007; Annual Agricultural Area and Production Survey 2008; Annual Agricultural Area and Production Survey 2009; Annual Agricultural Area and Production Survey 2015; Annual Agricultural Area and Production Survey 2018; Good Growth Plan, 2014-2019"
"Ecuador",2018,"0, 2007, 2008, 2009, 2015, 2018, 2019","Annual Agricultural Area and Production Survey 2014; Annual Agricultural Area and Production Survey 2007; Annual Agricultural Area and Production Survey 2008; Annual Agricultural Area and Production Survey 2009; Annual Agricultural Area and Production Survey 2015; Annual Agricultural Area and Production Survey 2018; Good Growth Plan, 2014-2019"
"Ecuador",2019,"0, 2007, 2008, 2009, 2015, 2018, 2019","Annual Agricultural Area and Production Survey 2014; Annual Agricultural Area and Production Survey 2007; Annual Agricultural Area and Production Survey 2008; Annual Agricultural Area and Production Survey 2009; Annual Agricultural Area and Production Survey 2015; Annual Agricultural Area and Production Survey 2018; Good Growth Plan, 2014-2019"
"Egypt",2019,"2019","Good Growth Plan, 2014-2019"
"France",2019,"2019","Good Growth Plan, 2014-2019"
"Gambia, The",2006,"2006","National Agricultural Sample Survey 2005-2006"
"Germany",2015,"2015","Good Growth Plan, 2015"
"Ghana",2013,"2013, 2014","Agricultural Production Survey (Second Round), 2012-2013; Good Growth Plan, 2014"
"Ghana",2014,"2013, 2014","Agricultural Production Survey (Second Round), 2012-2013; Good Growth Plan, 2014"
"Guatemala",2019,"2019","Good Growth Plan, 2014-2019"
