"iso3c","date","goal","target","code","code1","description1","ind_value","ind_metadata","ind_quality"
"ABW",2004,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"ABW",2005,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"ABW",2006,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"ABW",2007,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"ABW",2008,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"ABW",2009,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"ABW",2010,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"ABW",2011,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"ABW",2012,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"ABW",2013,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"ABW",2014,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"ABW",2015,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,0
"ABW",2016,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,0
"ABW",2017,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,0
"ABW",2018,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,0
"ABW",2019,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,0
"ABW",2020,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",1,"C",1
"ABW",2021,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,0
"ABW",2022,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,0
"ABW",2023,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"AFG",2004,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"AFG",2005,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"AFG",2006,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"AFG",2007,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"AFG",2008,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"AFG",2009,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"AFG",2010,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"AFG",2011,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"AFG",2012,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"AFG",2013,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"AFG",2014,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,NA
"AFG",2015,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,0
"AFG",2016,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,0
"AFG",2017,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,0
"AFG",2018,"17","17.19","17.19.2","SG_REG_CENSUSN","Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO)",NA,NA,0
