"country","indicator_date","nada_dates","nada_title"
"Afghanistan",2008,"2008","Enterprise Survey 2008"
"Albania",2008,"2008, 2013, 2019","Enterprise Survey 2009; Enterprise Survey 2013; Enterprise Survey 2019"
"Albania",2013,"2008, 2013, 2019","Enterprise Survey 2009; Enterprise Survey 2013; Enterprise Survey 2019"
"Albania",2019,"2008, 2013, 2019","Enterprise Survey 2009; Enterprise Survey 2013; Enterprise Survey 2019"
"Albania, Algeria, American Samoa...and 176 more",2020,"2020","Future of Business Survey 2020"
"Angola",2010,"2010, 2024","Enterprise Survey 2010; World Bank Enterprise Survey 2024"
"Angola",2024,"2010, 2024","Enterprise Survey 2010; World Bank Enterprise Survey 2024"
"Antigua and Barbuda",2011,"2011","Enterprise Survey 2010"
"Argentina",2006,"2006, 2010, 2017","Enterprise Survey 2006; Enterprise Survey 2010; Enterprise Survey 2017"
"Argentina",2010,"2006, 2010, 2017","Enterprise Survey 2006; Enterprise Survey 2010; Enterprise Survey 2017"
"Argentina",2017,"2006, 2010, 2017","Enterprise Survey 2006; Enterprise Survey 2010; Enterprise Survey 2017"
"Argentina, Bolivia, Ecuador, Peru, Paraguay, Uruguay",2017,"2017","Mapping the Landscape of Transactions: The Governance of Business Relations in Latin America 2017-2018"
"Armenia",2002,"2002, 2008, 2012, 2024","Enterprise Survey 2002; Enterprise Survey 2009; Enterprise Survey 2013; World Bank Enterprise Survey 2024"
"Armenia",2008,"2002, 2008, 2012, 2024","Enterprise Survey 2002; Enterprise Survey 2009; Enterprise Survey 2013; World Bank Enterprise Survey 2024"
"Armenia",2012,"2002, 2008, 2012, 2024","Enterprise Survey 2002; Enterprise Survey 2009; Enterprise Survey 2013; World Bank Enterprise Survey 2024"
"Armenia",2024,"2002, 2008, 2012, 2024","Enterprise Survey 2002; Enterprise Survey 2009; Enterprise Survey 2013; World Bank Enterprise Survey 2024"
"Azerbaijan",2013,"2013, 2024","Enterprise Survey 2013; World Bank Enterprise Survey 2024"
"Azerbaijan",2024,"2013, 2024","Enterprise Survey 2013; World Bank Enterprise Survey 2024"
"Bahrain",2024,"2024","World Bank Enterprise Survey 2024"
"Bangladesh",2013,"2013, 2022","Enterprise Survey 2013; World Bank Enterprise Survey 2022"
"Bangladesh",2022,"2013, 2022","Enterprise Survey 2013; World Bank Enterprise Survey 2022"
"Barbados",2011,"2011, 2023","Enterprise Survey 2010; World Bank Enterprise Survey 2023"
"Barbados",2023,"2011, 2023","Enterprise Survey 2010; World Bank Enterprise Survey 2023"
"Belarus",2002,"2002, 2008, 2012, 2018","Enterprise Survey 2002; Enterprise Survey 2008; Enterprise Survey 2013; Enterprise Survey 2018"
"Belarus",2008,"2002, 2008, 2012, 2018","Enterprise Survey 2002; Enterprise Survey 2008; Enterprise Survey 2013; Enterprise Survey 2018"
"Belarus",2012,"2002, 2008, 2012, 2018","Enterprise Survey 2002; Enterprise Survey 2008; Enterprise Survey 2013; Enterprise Survey 2018"
"Belarus",2018,"2002, 2008, 2012, 2018","Enterprise Survey 2002; Enterprise Survey 2008; Enterprise Survey 2013; Enterprise Survey 2018"
"Belgium",2024,"2024","World Bank Enterprise Survey 2024"
"Belize",2011,"2011","Enterprise Survey 2010"
"Benin",2004,"2004, 2009, 2016, 2024","Enterprise Survey 2004-2009-2016, Panel Data; Enterprise Survey 2009; Enterprise Survey 2016; World Bank Enterprise Survey 2024"
"Benin",2009,"2004, 2009, 2016, 2024","Enterprise Survey 2004-2009-2016, Panel Data; Enterprise Survey 2009; Enterprise Survey 2016; World Bank Enterprise Survey 2024"
"Benin",2016,"2004, 2009, 2016, 2024","Enterprise Survey 2004-2009-2016, Panel Data; Enterprise Survey 2009; Enterprise Survey 2016; World Bank Enterprise Survey 2024"
"Benin",2024,"2004, 2009, 2016, 2024","Enterprise Survey 2004-2009-2016, Panel Data; Enterprise Survey 2009; Enterprise Survey 2016; World Bank Enterprise Survey 2024"
"Bhutan",2009,"2009, 2024","Enterprise Survey 2009; World Bank Enterprise Survey 2024"
"Bhutan",2024,"2009, 2024","Enterprise Survey 2009; World Bank Enterprise Survey 2024"
"Bolivia",2006,"2006, 2010, 2017, 2018","Enterprise Survey 2006; Enterprise Survey 2010; Enterprise Survey 2017; Encuesta a la Industria Manufacturera, Comercio y Servicios 2017-2018, Empresas Grandes y Medianas"
"Bolivia",2010,"2006, 2010, 2017, 2018","Enterprise Survey 2006; Enterprise Survey 2010; Enterprise Survey 2017; Encuesta a la Industria Manufacturera, Comercio y Servicios 2017-2018, Empresas Grandes y Medianas"
"Bolivia",2017,"2006, 2010, 2017, 2018","Enterprise Survey 2006; Enterprise Survey 2010; Enterprise Survey 2017; Encuesta a la Industria Manufacturera, Comercio y Servicios 2017-2018, Empresas Grandes y Medianas"
"Bolivia",2018,"2006, 2010, 2017, 2018","Enterprise Survey 2006; Enterprise Survey 2010; Enterprise Survey 2017; Encuesta a la Industria Manufacturera, Comercio y Servicios 2017-2018, Empresas Grandes y Medianas"
"Bosnia and Herzegovina",2008,"2008, 2012, 2023","Enterprise Survey 2009; Enterprise Survey 2013; World Bank Enterprise Survey 2023"
"Bosnia and Herzegovina",2012,"2008, 2012, 2023","Enterprise Survey 2009; Enterprise Survey 2013; World Bank Enterprise Survey 2023"
"Bosnia and Herzegovina",2023,"2008, 2012, 2023","Enterprise Survey 2009; Enterprise Survey 2013; World Bank Enterprise Survey 2023"
"Botswana",2010,"2010, 2023","Enterprise Survey 2010; World Bank Enterprise Survey 2023"
"Botswana",2023,"2010, 2023","Enterprise Survey 2010; World Bank Enterprise Survey 2023"
"Brazil",2008,"2008","Enterprise Survey 2009"
"Bulgaria",2002,"2002, 2008, 2012, 2019, 2023","Enterprise Survey 2002; Enterprise Survey 2009; Enterprise Survey 2013; Enterprise Survey 2019; World Bank Enterprise Survey 2023"
"Bulgaria",2008,"2002, 2008, 2012, 2019, 2023","Enterprise Survey 2002; Enterprise Survey 2009; Enterprise Survey 2013; Enterprise Survey 2019; World Bank Enterprise Survey 2023"
"Bulgaria",2012,"2002, 2008, 2012, 2019, 2023","Enterprise Survey 2002; Enterprise Survey 2009; Enterprise Survey 2013; Enterprise Survey 2019; World Bank Enterprise Survey 2023"
"Bulgaria",2019,"2002, 2008, 2012, 2019, 2023","Enterprise Survey 2002; Enterprise Survey 2009; Enterprise Survey 2013; Enterprise Survey 2019; World Bank Enterprise Survey 2023"
"Bulgaria",2023,"2002, 2008, 2012, 2019, 2023","Enterprise Survey 2002; Enterprise Survey 2009; Enterprise Survey 2013; Enterprise Survey 2019; World Bank Enterprise Survey 2023"
"Burkina Faso",2008,"2008, 2024","Enterprise Survey 2009; World Bank Enterprise Survey 2024"
"Burkina Faso",2024,"2008, 2024","Enterprise Survey 2009; World Bank Enterprise Survey 2024"
"Burundi",2014,"2014","Enterprise Survey 2014"
"Cambodia",2012,"2012, 2023","Enterprise Survey 2012; World Bank Enterprise Survey 2023"
"Cambodia",2023,"2012, 2023","Enterprise Survey 2012; World Bank Enterprise Survey 2023"
"Cameroon",2009,"2009, 2016, 2024","Enterprise Survey 2009; Enterprise Survey 2016; World Bank Enterprise Survey 2024"
"Cameroon",2016,"2009, 2016, 2024","Enterprise Survey 2009; Enterprise Survey 2016; World Bank Enterprise Survey 2024"
"Cameroon",2024,"2009, 2016, 2024","Enterprise Survey 2009; Enterprise Survey 2016; World Bank Enterprise Survey 2024"
"Central African Republic",2011,"2011, 2023","Enterprise Survey 2011; Enterprise Survey of Micro Firms 2023"
"Central African Republic",2023,"2011, 2023","Enterprise Survey 2011; Enterprise Survey of Micro Firms 2023"
"Chile",2006,"2006, 2010","Enterprise Survey 2006; Enterprise Survey 2010"
"Chile",2010,"2006, 2010","Enterprise Survey 2006; Enterprise Survey 2010"
"China",2024,"2024","World Bank Enterprise Survey 2024"
"Colombia",2006,"2006, 2008, 2009, 2010, 2011, 2017, 2023","Enterprise Survey 2006; Encuesta Anual de Comercio 2008; Encuesta Ambiental Industrial 2009-2010; Encuesta Ambiental Industrial 2010-2011; Encuesta Ambiental Industrial 2011-2012; Enterprise Survey 2017; World Bank Enterprise Survey 2023"
"Colombia",2008,"2006, 2008, 2009, 2010, 2011, 2017, 2023","Enterprise Survey 2006; Encuesta Anual de Comercio 2008; Encuesta Ambiental Industrial 2009-2010; Encuesta Ambiental Industrial 2010-2011; Encuesta Ambiental Industrial 2011-2012; Enterprise Survey 2017; World Bank Enterprise Survey 2023"
"Colombia",2009,"2006, 2008, 2009, 2010, 2011, 2017, 2023","Enterprise Survey 2006; Encuesta Anual de Comercio 2008; Encuesta Ambiental Industrial 2009-2010; Encuesta Ambiental Industrial 2010-2011; Encuesta Ambiental Industrial 2011-2012; Enterprise Survey 2017; World Bank Enterprise Survey 2023"
"Colombia",2010,"2006, 2008, 2009, 2010, 2011, 2017, 2023","Enterprise Survey 2006; Encuesta Anual de Comercio 2008; Encuesta Ambiental Industrial 2009-2010; Encuesta Ambiental Industrial 2010-2011; Encuesta Ambiental Industrial 2011-2012; Enterprise Survey 2017; World Bank Enterprise Survey 2023"
"Colombia",2011,"2006, 2008, 2009, 2010, 2011, 2017, 2023","Enterprise Survey 2006; Encuesta Anual de Comercio 2008; Encuesta Ambiental Industrial 2009-2010; Encuesta Ambiental Industrial 2010-2011; Encuesta Ambiental Industrial 2011-2012; Enterprise Survey 2017; World Bank Enterprise Survey 2023"
"Colombia",2017,"2006, 2008, 2009, 2010, 2011, 2017, 2023","Enterprise Survey 2006; Encuesta Anual de Comercio 2008; Encuesta Ambiental Industrial 2009-2010; Encuesta Ambiental Industrial 2010-2011; Encuesta Ambiental Industrial 2011-2012; Enterprise Survey 2017; World Bank Enterprise Survey 2023"
"Colombia",2023,"2006, 2008, 2009, 2010, 2011, 2017, 2023","Enterprise Survey 2006; Encuesta Anual de Comercio 2008; Encuesta Ambiental Industrial 2009-2010; Encuesta Ambiental Industrial 2010-2011; Encuesta Ambiental Industrial 2011-2012; Enterprise Survey 2017; World Bank Enterprise Survey 2023"
