"country","indicator_date","nada_dates","nada_title"
"Algeria",2014,"2014","Good Growth Plan, 2014-2019"
"Argentina",2014,"2014, 2018","Good Growth Plan, 2014-2019; Pastoralists-driven Data Management System in Argentina, 2018-2019."
"Argentina",2018,"2014, 2018","Good Growth Plan, 2014-2019; Pastoralists-driven Data Management System in Argentina, 2018-2019."
"Australia",2014,"2014","Good Growth Plan, 2014-2016"
"Bangladesh",2014,"2014","Good Growth Plan, 2014-2019"
"Belgium",2014,"2014","Good Growth Plan, 2014-2017"
"Brazil",2014,"2014","Good Growth Plan, 2014-2019"
"Chad",2018,"2018","Pastoralists-driven Data Management System in Chad, 2018-2019."
"China",2014,"2014","Good Growth Plan, 2014-2019"
"Colombia",2014,"2014","Good Growth Plan, 2014-2019"
"Costa Rica",2014,"2014","Good Growth Plan, 2014-2016"
"Côte D’ivoire",2014,"2014","Good Growth Plan, 2014-2019"
"Ecuador",0,"0, 2007, 2008, 2009, 2014, 2015, 2018","Annual Agricultural Area and Production Survey 2014; Annual Agricultural Area and Production Survey 2007; Annual Agricultural Area and Production Survey 2008; Annual Agricultural Area and Production Survey 2009; Good Growth Plan, 2014-2019; Annual Agricultural Area and Production Survey 2015; Annual Agricultural Area and Production Survey 2018"
"Ecuador",2007,"0, 2007, 2008, 2009, 2014, 2015, 2018","Annual Agricultural Area and Production Survey 2014; Annual Agricultural Area and Production Survey 2007; Annual Agricultural Area and Production Survey 2008; Annual Agricultural Area and Production Survey 2009; Good Growth Plan, 2014-2019; Annual Agricultural Area and Production Survey 2015; Annual Agricultural Area and Production Survey 2018"
"Ecuador",2008,"0, 2007, 2008, 2009, 2014, 2015, 2018","Annual Agricultural Area and Production Survey 2014; Annual Agricultural Area and Production Survey 2007; Annual Agricultural Area and Production Survey 2008; Annual Agricultural Area and Production Survey 2009; Good Growth Plan, 2014-2019; Annual Agricultural Area and Production Survey 2015; Annual Agricultural Area and Production Survey 2018"
"Ecuador",2009,"0, 2007, 2008, 2009, 2014, 2015, 2018","Annual Agricultural Area and Production Survey 2014; Annual Agricultural Area and Production Survey 2007; Annual Agricultural Area and Production Survey 2008; Annual Agricultural Area and Production Survey 2009; Good Growth Plan, 2014-2019; Annual Agricultural Area and Production Survey 2015; Annual Agricultural Area and Production Survey 2018"
"Ecuador",2014,"0, 2007, 2008, 2009, 2014, 2015, 2018","Annual Agricultural Area and Production Survey 2014; Annual Agricultural Area and Production Survey 2007; Annual Agricultural Area and Production Survey 2008; Annual Agricultural Area and Production Survey 2009; Good Growth Plan, 2014-2019; Annual Agricultural Area and Production Survey 2015; Annual Agricultural Area and Production Survey 2018"
"Ecuador",2015,"0, 2007, 2008, 2009, 2014, 2015, 2018","Annual Agricultural Area and Production Survey 2014; Annual Agricultural Area and Production Survey 2007; Annual Agricultural Area and Production Survey 2008; Annual Agricultural Area and Production Survey 2009; Good Growth Plan, 2014-2019; Annual Agricultural Area and Production Survey 2015; Annual Agricultural Area and Production Survey 2018"
"Ecuador",2018,"0, 2007, 2008, 2009, 2014, 2015, 2018","Annual Agricultural Area and Production Survey 2014; Annual Agricultural Area and Production Survey 2007; Annual Agricultural Area and Production Survey 2008; Annual Agricultural Area and Production Survey 2009; Good Growth Plan, 2014-2019; Annual Agricultural Area and Production Survey 2015; Annual Agricultural Area and Production Survey 2018"
"Egypt",2014,"2014","Good Growth Plan, 2014-2019"
"France",2014,"2014","Good Growth Plan, 2014-2019"
"Germany",2015,"2015","Good Growth Plan, 2015"
"Ghana",2012,"2012, 2014","Agricultural Production Survey (Second Round), 2012-2013; Good Growth Plan, 2014"
"Ghana",2014,"2012, 2014","Agricultural Production Survey (Second Round), 2012-2013; Good Growth Plan, 2014"
"Guatemala",2014,"2014","Good Growth Plan, 2014-2019"
"Honduras",2014,"2014","Good Growth Plan, 2014-2017"
"Hungary",2014,"2014","Good Growth Plan, 2014-2019"
"India",2014,"2014","Good Growth Plan, 2014-2019"
"Indonesia",2014,"2014","Good Growth Plan, 2014-2019"
"Italy",2014,"2014","Good Growth Plan, 2014-2019"
"Japan",2014,"2014","Good Growth Plan, 2014-2019"
"Jordan",2014,"2014","Good Growth Plan, 2014-2015"
"Kenya",2014,"2014","Good Growth Plan, 2014-2019"
"Malaysia",2014,"2014","Good Growth Plan, 2014-2019"
"Mexico",2012,"2012, 2014, 2017","National Agricultural Survey 2012; Good Growth Plan, 2014-2019; National Agricultural Survey 2017"
"Mexico",2014,"2012, 2014, 2017","National Agricultural Survey 2012; Good Growth Plan, 2014-2019; National Agricultural Survey 2017"
"Mexico",2017,"2012, 2014, 2017","National Agricultural Survey 2012; Good Growth Plan, 2014-2019; National Agricultural Survey 2017"
"Mongolia",2018,"2018","Pastoralists-driven Data Management System in Mongolia, 2018-2019."
"Morocco",2014,"2014","Good Growth Plan, 2014-2019"
"Nepal",0,"0","Fishery Survey 2015"
"Netherlands",2014,"2014","Good Growth Plan, 2014-2019"
"Nigeria",2006,"2006, 2007, 2018","National Survey of Agricultural Export Commodities  2006; Private Farmer Livestock-Poultry 2006; Good Growth Plan, 2018-2019"
"Nigeria",2007,"2006, 2007, 2018","National Survey of Agricultural Export Commodities  2006; Private Farmer Livestock-Poultry 2006; Good Growth Plan, 2018-2019"
"Nigeria",2018,"2006, 2007, 2018","National Survey of Agricultural Export Commodities  2006; Private Farmer Livestock-Poultry 2006; Good Growth Plan, 2018-2019"
"Pakistan",2014,"2014","Good Growth Plan, 2014-2018"
"Paraguay",2014,"2014","Good Growth Plan, 2014-2019"
"Peru",2014,"2014, 2015, 2016, 2017","Good Growth Plan, 2014-2019; National Agricultural Survey 2015; National Agricultural Survey 2016; National Agricultural Survey 2017"
"Peru",2015,"2014, 2015, 2016, 2017","Good Growth Plan, 2014-2019; National Agricultural Survey 2015; National Agricultural Survey 2016; National Agricultural Survey 2017"
"Peru",2016,"2014, 2015, 2016, 2017","Good Growth Plan, 2014-2019; National Agricultural Survey 2015; National Agricultural Survey 2016; National Agricultural Survey 2017"
"Peru",2017,"2014, 2015, 2016, 2017","Good Growth Plan, 2014-2019; National Agricultural Survey 2015; National Agricultural Survey 2016; National Agricultural Survey 2017"
"Philippines",2005,"2005, 2006, 2007, 2008, 2009, 2010, 2014, 2015, 2016, 2017","Costs and Returns Survey of Palay Production by Seed Type and Class 2005; Costs and Returns Survey of Garlic Production 2006; Quarterly Aquaculture Survey 2007; Crops Production Survey 2008; Monthly Palay and Corn Situation Reporting System 2009; Monthly Palay and Corn Situation Reporting System 2010; Survey on Costs and Returns of Cassava Production 2014; Quarterly Municipal Fisheries Survey 2015; Backyard Livestock and Poultry Survey 2010-2016; Crops Production Survey 2017"
