Indicator,Country,Year,Data Value
Use of statistics index,Afghanistan,2019,no data
Use of statistics index,Africa,2019,no data
Use of statistics index,Albania,2019,no data
Use of statistics index,Algeria,2019,no data
Use of statistics index,American Samoa,2019,no data
Use of statistics index,Americas,2019,no data
Use of statistics index,Andorra,2019,no data
Use of statistics index,Angola,2019,no data
Use of statistics index,Anguilla,2019,no data
Use of statistics index,Antigua and Barbuda,2019,no data
Use of statistics index,Argentina,2019,no data
Use of statistics index,Armenia,2019,no data
Use of statistics index,Aruba,2019,no data
Use of statistics index,Asia,2019,24.760036
Use of statistics index,Australia,2019,no data
Use of statistics index,Australia and New Zealand,2019,no data
Use of statistics index,Austria,2019,no data
Use of statistics index,Azerbaijan,2019,no data
Use of statistics index,Bahamas,2019,no data
Use of statistics index,Bahrain,2019,no data
Use of statistics index,Bangladesh,2019,no data
Use of statistics index,Barbados,2019,no data
Use of statistics index,Belarus,2019,no data
Use of statistics index,Belgium,2019,no data
Use of statistics index,Belize,2019,no data
Use of statistics index,Benin,2019,27.55792806
Use of statistics index,Bermuda,2019,no data
Use of statistics index,Bhutan,2019,no data
Use of statistics index,Bolivia (Plurinational State of),2019,no data
Use of statistics index,"Bonaire, Sint Eustatius and Saba",2019,no data
Use of statistics index,Bosnia and Herzegovina,2019,no data
Use of statistics index,Botswana,2019,no data
Use of statistics index,Bouvet Island,2019,no data
Use of statistics index,Brazil,2019,no data
Use of statistics index,British Indian Ocean Territory,2019,no data
Use of statistics index,British Virgin Islands,2019,no data
Use of statistics index,Brunei Darussalam,2019,no data
Use of statistics index,Bulgaria,2019,no data
Use of statistics index,Burkina Faso,2019,39.21763079
Use of statistics index,Burundi,2019,15.4401853
Use of statistics index,Cabo Verde,2019,no data
Use of statistics index,Cambodia,2019,26.77577626
Use of statistics index,Cameroon,2019,17.3221254
Use of statistics index,Canada,2019,7.413770685
Use of statistics index,Cayman Islands,2019,no data
Use of statistics index,Central African Republic,2019,10.07847244
Use of statistics index,Central Asia,2019,22.781654
Use of statistics index,Chad,2019,no data
Use of statistics index,Chile,2019,no data
Use of statistics index,China,2019,no data
Use of statistics index,"China, Hong Kong Special Administrative Region",2019,28.3686493
Use of statistics index,"China, Macao Special Administrative Region",2019,no data
Use of statistics index,Kosovo,2019,no data
Use of statistics index,Christmas Island,2019,no data
Use of statistics index,Cocos (Keeling) Islands,2019,no data
Use of statistics index,Colombia,2019,no data
Use of statistics index,Comoros,2019,21.91523593
Use of statistics index,Congo,2019,16.21725698
Use of statistics index,Cook Islands,2019,no data
Use of statistics index,Costa Rica,2019,no data
Use of statistics index,Croatia,2019,no data
Use of statistics index,Cuba,2019,no data
Use of statistics index,Curaçao,2019,no data
Use of statistics index,Cyprus,2019,no data
Use of statistics index,Czechia,2019,no data
Use of statistics index,Côte d’Ivoire,2019,19.72727222
Use of statistics index,Democratic People's Republic of Korea,2019,no data
Use of statistics index,Democratic Republic of the Congo,2019,18.76000413
Use of statistics index,Denmark,2019,no data
Use of statistics index,Djibouti,2019,63.05832165
Use of statistics index,Dominica,2019,no data
Use of statistics index,Dominican Republic,2019,no data
Use of statistics index,Eastern Asia,2019,no data
Use of statistics index,Eastern Europe,2019,9.9034761
Use of statistics index,Ecuador,2019,no data
Use of statistics index,Egypt,2019,39.67048873
Use of statistics index,El Salvador,2019,no data
Use of statistics index,Equatorial Guinea,2019,no data
Use of statistics index,Eritrea,2019,no data
Use of statistics index,Estonia,2019,no data
Use of statistics index,Eswatini,2019,13.95915149
Use of statistics index,Ethiopia,2019,no data
Use of statistics index,Europe,2019,20.29732
Use of statistics index,FRAGILE,2019,no data
Use of statistics index,Falkland Islands (Malvinas),2019,no data
Use of statistics index,Faroe Islands,2019,no data
Use of statistics index,Fiji,2019,no data
Use of statistics index,Finland,2019,no data
Use of statistics index,France,2019,no data
Use of statistics index,French Guiana,2019,no data
Use of statistics index,French Polynesia,2019,no data
Use of statistics index,French Southern Territories,2019,no data
Use of statistics index,Gabon,2019,no data
Use of statistics index,Gambia,2019,16.71961653
Use of statistics index,Georgia,2019,33.66086414
Use of statistics index,Germany,2019,10.62553119
Use of statistics index,Ghana,2019,44.79407069
Use of statistics index,Gibraltar,2019,no data
Use of statistics index,Greece,2019,no data
Use of statistics index,Greenland,2019,no data
Use of statistics index,Grenada,2019,no data
Use of statistics index,Guadeloupe,2019,no data
Use of statistics index,Guam,2019,no data
Use of statistics index,Guatemala,2019,no data
Use of statistics index,Guernsey,2019,no data
Use of statistics index,Guinea,2019,18.38652189
Use of statistics index,Guinea-Bissau,2019,27.27607379
Use of statistics index,Guyana,2019,no data
Use of statistics index,Haiti,2019,33.88029066
Use of statistics index,Heard Island and McDonald Islands,2019,no data
Use of statistics index,High Income,2019,no data
Use of statistics index,Holy See,2019,no data
Use of statistics index,Honduras,2019,no data
Use of statistics index,Hungary,2019,no data
Use of statistics index,Iceland,2019,no data
Use of statistics index,India,2019,no data
Use of statistics index,Indonesia,2019,12.13700564
Use of statistics index,Iran (Islamic Republic of),2019,no data
Use of statistics index,Iraq,2019,18.77980084
Use of statistics index,Ireland,2019,33.69972629
Use of statistics index,Isle of Man,2019,no data
Use of statistics index,Israel,2019,no data
Use of statistics index,Italy,2019,no data
Use of statistics index,Jamaica,2019,no data
Use of statistics index,Japan,2019,no data
Use of statistics index,Jersey,2019,no data
Use of statistics index,Jordan,2019,23.1417163
Use of statistics index,Kazakhstan,2019,no data
Use of statistics index,Kenya,2019,no data
Use of statistics index,Kiribati,2019,no data
Use of statistics index,Kosovo,2019,no data
Use of statistics index,Kuwait,2019,27.97079924
Use of statistics index,Kyrgyzstan,2019,20.14127914
Use of statistics index,LANDLOCKED,2019,no data
Use of statistics index,LDC,2019,no data
Use of statistics index,Lao People's Democratic Republic,2019,31.61240781
Use of statistics index,Latin America and the Caribbean,2019,29.558347
Use of statistics index,Latvia,2019,no data
Use of statistics index,Lebanon,2019,no data
Use of statistics index,Lesotho,2019,31.30041222
Use of statistics index,Liberia,2019,no data
