Indicator,Country,Year,Data Value
UN FPOS compliance,Afghanistan,2018,no data
UN FPOS compliance,Africa,2018,no data
UN FPOS compliance,Albania,2018,no data
UN FPOS compliance,Algeria,2018,no data
UN FPOS compliance,American Samoa,2018,no data
UN FPOS compliance,Americas,2018,no data
UN FPOS compliance,Andorra,2018,no data
UN FPOS compliance,Angola,2018,no data
UN FPOS compliance,Anguilla,2018,no data
UN FPOS compliance,Antigua and Barbuda,2018,no data
UN FPOS compliance,Argentina,2018,no data
UN FPOS compliance,Armenia,2018,no data
UN FPOS compliance,Aruba,2018,no data
UN FPOS compliance,Asia,2018,0.739130437
UN FPOS compliance,Australia,2018,no data
UN FPOS compliance,Australia and New Zealand,2018,no data
UN FPOS compliance,Austria,2018,no data
UN FPOS compliance,Azerbaijan,2018,no data
UN FPOS compliance,Bahamas,2018,no data
UN FPOS compliance,Bahrain,2018,no data
UN FPOS compliance,Bangladesh,2018,no data
UN FPOS compliance,Barbados,2018,no data
UN FPOS compliance,Belarus,2018,1
UN FPOS compliance,Belgium,2018,no data
UN FPOS compliance,Belize,2018,no data
UN FPOS compliance,Benin,2018,no data
UN FPOS compliance,Bermuda,2018,no data
UN FPOS compliance,Bhutan,2018,no data
UN FPOS compliance,Bolivia (Plurinational State of),2018,no data
UN FPOS compliance,"Bonaire, Sint Eustatius and Saba",2018,no data
UN FPOS compliance,Bosnia and Herzegovina,2018,no data
UN FPOS compliance,Botswana,2018,no data
UN FPOS compliance,Bouvet Island,2018,no data
UN FPOS compliance,Brazil,2018,no data
UN FPOS compliance,British Indian Ocean Territory,2018,no data
UN FPOS compliance,British Virgin Islands,2018,no data
UN FPOS compliance,Brunei Darussalam,2018,no data
UN FPOS compliance,Bulgaria,2018,1
UN FPOS compliance,Burkina Faso,2018,no data
UN FPOS compliance,Burundi,2018,0
UN FPOS compliance,Cabo Verde,2018,no data
UN FPOS compliance,Cambodia,2018,1
UN FPOS compliance,Cameroon,2018,no data
UN FPOS compliance,Canada,2018,1
UN FPOS compliance,Cayman Islands,2018,0
UN FPOS compliance,Central African Republic,2018,no data
