#,Code,Country,Business Process (GSBPM),DCS data,Links,sldth
1,AFG,Afghanistan,,0,,
2,AGO,Angola,,0,https://documents1.worldbank.org/curated/en/953151648602131070/pdf/Angola-Strengthening-Statistical-Capacity-Project.pdf,
3,ALB,Albania,Yes,1,,
4,AND,Andorra,,0,,
5,ARE,United Arab Emirates,Yes,1,https://scad.gov.ae/documents/20122/264737/6-+Statistical+Data+Quality+Framework.pdf/604afe84-145a-852e-edee-f18e36630497?t=1653999917609,
6,ARG,Argentina,Yes,1,,
7,ARM,Armenia,Yes,1,https://armstat.am/en/?nid=373,
8,ATG,Antigua and Barbuda,,0,,
9,AUS,Australia,Yes,1,,
10,AUT,Austria,Yes,1,https://www.statistik.at/en/about-us/responsibilities-and-principles/standards/the-statistical-production-process-gsbpm,
11,AZE,Azerbaijan,Yes,1,https://www.stat.gov.az/menu/2/quality/en/00_2_en.pdf,
12,BDI,Burundi,,0,,
13,BEL,Belgium,Yes,1,,
14,BEN,Benin,,0,,
15,BFA,Burkina Faso,,0,,
16,BGD,Bangladesh,,0,,
17,BGR,Bulgaria,,0,,
18,BHR,Bahrain,,0,,
19,BHS,"Bahamas, The",,0,,
20,BIH,Bosnia and Herzegovina,,0,,
21,BLR,Belarus,Yes,1,,
22,BLZ,Belize,,0,,
23,BOL,Bolivia,,0,,
24,BRA,Brazil,Yes,1,https://biblioteca.ibge.gov.br/visualizacao/livros/liv102105.pdf,
25,BRB,Barbados,,0,,
26,BRN,Brunei Darussalam,,0,,
27,BTN,Bhutan,,0,,
28,BWA,Botswana,,0,,
29,CAF,Central African Republic,,0,,
30,CAN,Canada,Yes,1,https://www150.statcan.gc.ca/n1/pub/12-539-x/2009001/tbl/tbl01-eng.htm,
31,CHE,Switzerland,,0,,
32,CHL,Chile,Yes,1,,
33,CHN,China,Yes,1,,
34,CIV,Côte d'Ivoire,,0,,
35,CMR,Cameroon,Yes,1,https://unstats.un.org/unsd/statcom/51st-session/side-events/documents/20200304-2L-Cameroun.pdf,
36,COD,"Congo, Dem. Rep.",,0,,
37,COG,"Congo, Rep.",,0,,
38,COL,Colombia,Yes,1,,
39,COM,Comoros,,0,,
40,CPV,Cabo Verde,,0,,
41,CRI,Costa Rica,Yes,1,,
42,CYP,Cyprus,Yes,1,,
43,CZE,Czech Republic,Yes,1,,
44,DEU,Germany,Yes,1,,
45,DJI,Djibouti,,0,,
46,DMA,Dominica,,0,,
47,DNK,Denmark,Yes,1,https://www.dst.dk/Site/Dst/SingleFiles/GetArchiveFile.aspx?fi=508261183665&fo=0&ext=jordan2022,
48,DOM,Dominican Republic,,0,,
49,DZA,Algeria,,0,,
50,ECU,Ecuador,,0,,
51,EGY,"Egypt, Arab Rep.",Yes,1,,
52,ERI,Eritrea,,0,,
53,ESP,Spain,Yes,1,https://www.ine.es/q2016/docs/q2016Final00124.pdf,
54,EST,Estonia,Yes,1,,
55,ETH,Ethiopia,,0,,
56,FIN,Finland,Yes,1,,
57,FJI,Fiji,,0,,
58,FRA,France,Yes,1,https://www.insee.fr/en/information/6050996?sommaire=6049874,
59,FSM,"Micronesia, Fed. Sts.",,0,,
60,GAB,Gabon,,0,,
61,GBR,United Kingdom,Yes,1,,
62,GEO,Georgia,Yes,1,,
63,GHA,Ghana,,0,,
64,GIN,Guinea,,0,,
65,GMB,"Gambia, The",,0,,
66,GNB,Guinea-Bissau,,0,,
67,GNQ,Equatorial Guinea,,0,,
68,GRC,Greece,Yes,1,,
69,GRD,Grenada,,0,,
70,GTM,Guatemala,,0,,
71,GUY,Guyana,,0,,
72,HND,Honduras,,0,,
73,HRV,Croatia,Yes,1,,
74,HTI,Haiti,,0,,
75,HUN,Hungary,Yes,1,,
76,IDN,Indonesia,Yes,1,https://www.unescap.org/sites/default/files/APS2020/13_Statistical_Business_Process_for_Big_Data_Usage_Indonesia.pdf,
77,IND,India,Yes,1,https://www.mospi.gov.in/sites/default/files/National_Metadata_Standard_6122023.pdf; https://www.mospi.gov.in/sites/default/files/main_menu/parliament_matters/Vision_2024_of_MoSPI.pdf,
78,IRL,Ireland,Yes,1,,
79,IRN,"Iran, Islamic Rep.",,0,,
80,IRQ,Iraq,,0,,
81,ISL,Iceland,Yes,1,,
82,ISR,Israel,Yes,1,,
