Year,Region,Region code,Country,Country Code,Data categories,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,First administrative level,Second administrative level,Coverage subscore,Machine readable,Non-proprietary,Download options,Metadata available,Terms of use,Openness subscore,Overall score
2018,Eastern Africa,AFE,Burundi,BDI,Population & vital statistics,50,0,0,50,50,30,50,100,50,50,0,50,40
2018,Eastern Africa,AFE,Burundi,BDI,Education facilities,50,50,50,50,0,40,0,100,50,50,0,40,40
2018,Eastern Africa,AFE,Burundi,BDI,Education outcomes,50,50,50,0,0,30,0,100,50,50,0,40,35
2018,Eastern Africa,AFE,Burundi,BDI,Health facilities,100,100,100,100,0,80,0,100,50,50,0,40,60
2018,Eastern Africa,AFE,Burundi,BDI,Health outcomes,50,50,50,0,0,30,50,100,50,50,0,50,40
2018,Eastern Africa,AFE,Burundi,BDI,Reproductive health,50,50,50,0,0,30,0,100,50,50,0,40,35
2018,Eastern Africa,AFE,Burundi,BDI,Gender statistics ,50,50,50,0,0,30,0,100,50,50,0,40,35
2018,Eastern Africa,AFE,Burundi,BDI,Crime & justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Burundi,BDI,Poverty & income,50,50,50,0,0,30,0,100,50,50,0,40,35
2018,Eastern Africa,AFE,Burundi,BDI,Social statistics subscore,50,44.4,44.4,22.2,5.6,33.3,11.1,88.9,44.4,44.4,0,37.8,35.6
2018,Eastern Africa,AFE,Burundi,BDI,National accounts,50,50,50,0,0,37.5,0,100,0,50,0,30,33.3
2018,Eastern Africa,AFE,Burundi,BDI,Labor ,50,0,0,0,0,10,100,100,100,100,0,80,45
2018,Eastern Africa,AFE,Burundi,BDI,Price indexes,100,100,100,50,0,87.5,0,100,0,100,0,40,61.1
2018,Eastern Africa,AFE,Burundi,BDI,Government finance,100,100,100,0,0,75,0,100,50,50,0,40,55.6
2018,Eastern Africa,AFE,Burundi,BDI,Money & banking,50,50,50,0,0,50,0,100,50,50,0,40,43.8
2018,Eastern Africa,AFE,Burundi,BDI,International trade,100,100,100,0,0,100,0,100,0,50,0,30,56.3
2018,Eastern Africa,AFE,Burundi,BDI,Balance of payments,100,100,100,0,0,100,0,100,0,50,0,30,56.3
2018,Eastern Africa,AFE,Burundi,BDI,Economic & financial statistics subscore,78.6,71.4,71.4,12.5,0,61.5,14.3,100,28.6,64.3,0,41.4,50
2018,Eastern Africa,AFE,Burundi,BDI,Land use,50,50,50,0,0,30,0,100,50,50,0,40,35
2018,Eastern Africa,AFE,Burundi,BDI,Resource use,100,100,100,50,0,87.5,0,100,50,50,0,40,61.1
2018,Eastern Africa,AFE,Burundi,BDI,Energy use,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Burundi,BDI,Pollution,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Eastern Africa,AFE,Burundi,BDI,Built environment,100,100,100,50,0,70,0,100,50,100,0,50,60
2018,Eastern Africa,AFE,Burundi,BDI,Environment subscore,50,50,50,20,0,38.6,0,60,30,40,0,26,31.9
2018,Eastern Africa,AFE,Burundi,BDI,All Categories,59.5,55.3,55.3,19.2,3.6,43.1,8.5,83,34.3,49.6,0,35.1,38.8
2018,Eastern Africa,AFE,Djibouti,DJI,Population & vital statistics,50,0,0,50,0,20,0,100,50,50,0,40,30
2018,Eastern Africa,AFE,Djibouti,DJI,Education facilities,50,50,50,0,0,30,50,100,50,50,50,60,45
2018,Eastern Africa,AFE,Djibouti,DJI,Education outcomes,50,50,50,0,0,30,50,100,50,50,50,60,45
2018,Eastern Africa,AFE,Djibouti,DJI,Health facilities,50,50,50,0,0,30,0,100,0,50,50,40,35
2018,Eastern Africa,AFE,Djibouti,DJI,Health outcomes,50,0,0,0,0,10,100,100,100,50,0,70,40
