Year,Region,Region code,Country,Country Code,Data categories,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,First administrative level,Second administrative level,Coverage subscore,Machine readable,Nonproprietary,Download options,Metadata available,Terms of use,Openness subscore,Overall score
2023,Eastern Africa,AFE,Burundi,BDI,Population & vital statistics,0,0,0,0,0,0,0,100,0,50,0,30,15
2023,Eastern Africa,AFE,Burundi,BDI,Education facilities,50,50,50,0,0,30,0,100,50,50,0,40,35
2023,Eastern Africa,AFE,Burundi,BDI,Education outcomes,50,50,50,50,0,40,0,100,0,50,0,30,35
2023,Eastern Africa,AFE,Burundi,BDI,Health facilities,50,50,50,50,0,40,50,100,50,50,0,50,45
2023,Eastern Africa,AFE,Burundi,BDI,Health outcomes,50,50,50,0,0,30,50,100,50,50,0,50,40
2023,Eastern Africa,AFE,Burundi,BDI,Reproductive health,100,50,50,0,0,40,50,100,50,50,0,50,45
2023,Eastern Africa,AFE,Burundi,BDI,Food security & nutrition,100,50,50,0,,50,50,100,50,50,0,50,50
2023,Eastern Africa,AFE,Burundi,BDI,Gender statistics,50,50,50,0,0,30,100,100,100,100,0,80,55
2023,Eastern Africa,AFE,Burundi,BDI,Crime & justice,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Burundi,BDI,Poverty & income,100,50,0,100,0,50,0,100,50,50,0,40,45
2023,Eastern Africa,AFE,Burundi,BDI,Social statistics subscore,55,40,35,20,0,30.6,30,90,40,50,0,42,36.4
2023,Eastern Africa,AFE,Burundi,BDI,National accounts,50,50,50,0,,37.5,0,100,50,50,0,40,38.9
2023,Eastern Africa,AFE,Burundi,BDI,Labor,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,Eastern Africa,AFE,Burundi,BDI,Price indexes,100,100,100,50,,87.5,50,100,0,50,50,50,66.7
2023,Eastern Africa,AFE,Burundi,BDI,Government finance,100,100,100,0,,75,0,100,50,50,0,40,55.6
2023,Eastern Africa,AFE,Burundi,BDI,Money & banking,50,50,50,,,50,0,100,50,50,0,40,43.8
2023,Eastern Africa,AFE,Burundi,BDI,International trade,50,50,50,,,50,0,100,50,50,0,40,43.8
2023,Eastern Africa,AFE,Burundi,BDI,Balance of payments,100,100,100,,,100,0,100,50,50,0,40,62.5
2023,Eastern Africa,AFE,Burundi,BDI,Economic & financial statistics subscore,64.3,64.3,64.3,12.5,0,53.8,7.1,85.7,35.7,42.9,7.1,35.7,43.4
2023,Eastern Africa,AFE,Burundi,BDI,Agriculture and land use,100,100,100,50,0,70,50,100,50,50,0,50,60
2023,Eastern Africa,AFE,Burundi,BDI,Resource use,100,100,100,0,,75,0,100,50,50,0,40,55.6
