"country","source_id","value","descript","spi_indicator_description","spi_indicator_scoring","Pillar","color","max","Score"
"Norway","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Sweden","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Canada","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Denmark","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Spain","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"New Zealand","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Korea, Rep.","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Poland","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Slovenia","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
"Romania","SPI.DIM1.5.INDEX",1,"Dimension 1.5: Data use by international organizations","Five measures of usefulness or reliability of country produced measures for international organizations have been included. First, on comparability of poverty estimates for the World Bank reporting on international poverty using Povcalnet. Second on usable surveys for statistics on child mortality for the UN Inter-agency Group for Child Mortality Estimation. Third on accuracy of debt reporting as classified by the World Bank (Source: World Bank WDI metadata). Fourth, on availability of safely managed drinking water data for use by WHO/UNICEF Joint Monitoring Programme. Fifth, on labor force participation data for use by ILO. While these data sources provide only a partial coverage of data used by international organizations, they do provide an indication of the performance of the national statistical system.","Unweighted average of indicators in this dimension.  Scores range from 0-1, with a score of 1 representing the best possible score.","Pillar 1: Data Use","#457B9D",1,100
