"country","iso3c","date","SPI.INDEX.PIL1","SPI.INDEX.PIL2","SPI.INDEX.PIL3","SPI.INDEX.PIL4","SPI.INDEX.PIL5","SPI.INDEX","SPI.DIM1.5.INDEX","SPI.DIM2.1.INDEX","SPI.DIM2.2.INDEX","SPI.DIM2.4.INDEX","SPI.DIM3.1.INDEX","SPI.DIM3.2.INDEX","SPI.DIM3.3.INDEX","SPI.DIM3.4.INDEX","SPI.DIM4.1.CEN.INDEX","SPI.DIM4.1.SVY.INDEX","SPI.DIM4.2.INDEX","SPI.DIM4.3.INDEX","SPI.DIM5.1.INDEX","SPI.DIM5.2.INDEX","SPI.DIM5.5.INDEX","SPI.D1.5.POV","SPI.D1.5.CHLD.MORT","SPI.D1.5.DT.TDS.DPPF.XP.ZS","SPI.D1.5.SAFE.MAN.WATER","SPI.D1.5.LFP","SPI.D2.1.GDDS","SPI.D2.2.Machine.readable","SPI.D2.2.Non.proprietary","SPI.D2.2.Download.options","SPI.D2.2.Metadata.available","SPI.D2.2.Terms.of.use","SPI.D2.2.Openness.subscore","SPI.D2.4.NADA","SPI.D3.1.POV","SPI.D3.2.HNGR","SPI.D3.3.HLTH","SPI.D3.4.EDUC","SPI.D3.5.GEND","SPI.D3.6.WTRS","SPI.D3.7.ENRG","SPI.D3.8.WORK","SPI.D3.9.INDY","SPI.D3.10.NEQL","SPI.D3.11.CITY","SPI.D3.12.CNSP","SPI.D3.15.LAND","SPI.D3.16.INST","SPI.D3.17.PTNS","SPI.D3.13.CLMT","SPI.D3.NA","SPI.D4.1.1.POPU","SPI.D4.1.2.AGRI","SPI.D4.1.3.BIZZ","SPI.D4.1.4.HOUS","SPI.D4.1.5.AGSVY","SPI.D4.1.6.LABR","SPI.D4.1.7.HLTH","SPI.D4.1.8.BZSVY","SPI.D4.2.3.CRVS","SPI.D4.3.GEO.first.admin.level","SPI.D5.1.DILG","SPI.D5.2.1.SNAU","SPI.D5.2.2.NABY","SPI.D5.2.3.CNIN","SPI.D5.2.4.CPIBY","SPI.D5.2.5.HOUS","SPI.D5.2.6.EMPL","SPI.D5.2.7.CGOV","SPI.D5.2.8.FINA","SPI.D5.2.9.MONY","SPI.D5.2.10.GSBP","SPI.D5.5.DIFI","income","region","weights","population"
"Norway","NOR",2024,100,98.56666666666665,84.00000000000001,79.81666666666666,100,92.47666666666667,1,1,0.957,1,0.9,0.8305,0.6665,0.862,0.6666666666666666,1,1,0.526,1,1,1,1,1,1,1,1,1,1,1,0.967,0.8170000000000001,1,0.957,1,0.8,0.8,0.8,1,1,1,0.833,1,0.9,0.75,0.5,1,0.833,0.857,0.867,0.5,0,1,1,0,1,1,1,1,1,1,0.526,1,1,1,1,1,1,1,1,1,1,1,1,"High income","Europe & Central Asia",1,5572272
"Sweden","SWE",2024,100,95.39999999999999,89.18124999999999,80.39166666666667,90,90.99458333333334,1,1,0.862,1,0.8378333333333333,0.9096666666666666,0.9585,0.9335,0.6666666666666666,0.934,1,0.615,1,0.9,1,1,1,1,1,1,1,0.933,0.967,0.867,0.662,0.883,0.862,1,1,0.7,0.72,1,0.75,0.857,0.833,1,1,0.875,0.75,1,0.917,1,0.867,1,0,1,1,0,1,1,1,0.67,1,1,0.615,1,1,1,1,1,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,10569709
"Canada","CAN",2024,100,93.29999999999998,87.21874999999999,82.94166666666666,90,90.69208333333333,1,1,0.799,1,0.84,0.893,0.9165,0.862,0.6666666666666666,1,1,0.6509999999999999,1,0.9,1,1,1,1,1,1,1,0.867,1,0.8,0.843,0.483,0.799,1,1,0.8,0.8,0.833,0.75,0.857,0.833,1,0.9,0.875,0.75,1,0.833,0.857,0.867,1,0,1,1,0,1,1,1,1,1,1,0.6509999999999999,1,1,1,1,0,1,1,1,1,1,1,1,"High income","North America",1,41288599
"Denmark","DNK",2024,100,97.83333333333333,87.74375,81.34166666666667,85,90.38374999999999,1,1,0.935,1,0.8928333333333334,0.868,0.875,0.862,0.6666666666666666,0.934,1,0.653,1,0.85,1,1,1,1,1,1,1,0.933,1,0.867,0.91,0.967,0.935,1,1,0.7,0.8,1,1,0.857,0.833,1,1,0.625,0.75,1,0.75,0.857,0.867,1,0,1,1,0,1,1,1,0.67,1,1,0.653,1,1,1,1,0.5,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,5976992
"Spain","ESP",2024,100,92.33333333333333,89.68125,83.76666666666667,85,90.15625,1,1,0.77,1,0.8511666666666666,0.9096666666666666,0.9585,0.9335,0.6666666666666666,1,1,0.684,1,0.85,1,1,1,1,1,1,1,0.917,1,0.7120000000000001,0.769,0.452,0.77,1,1,0.7,0.8,1,0.75,0.857,0.833,1,1,0.875,0.75,1,0.917,1,0.867,1,0,1,1,0,1,1,1,1,1,1,0.684,1,1,1,1,0.5,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,48807137
"New Zealand","NZL",2024,100,94.89999999999998,83.11874999999999,72.34166666666665,100,90.07208333333332,1,1,0.847,1,0.7178333333333333,0.868,0.9585,0.9335,0.6666666666666666,1,1,0.227,1,1,1,1,1,1,1,1,1,0.933,1,0.71,0.614,0.976,0.847,1,0.8,0.7,0.76,0.833,0.5,0.714,0.833,1,1,0.625,0.75,1,0.917,1,0.867,1,0,1,1,0,1,1,1,1,1,1,0.227,1,1,1,1,1,1,1,1,1,1,1,1,"High income","East Asia & Pacific",1,5338500
"Korea, Rep.","KOR",2024,100,96.09999999999998,87.71250000000002,70.69166666666666,95,89.90083333333334,1,1,0.883,1,0.8978333333333334,0.8721666666666666,0.9165,0.7905,0.6666666666666666,1,1,0.161,1,0.95,1,1,1,1,1,1,1,1,1,0.917,0.5,1,0.883,1,1,0.9,0.88,1,0.75,0.857,0.833,0.875,0.9,0.875,0.75,1,0.833,0.714,0.867,1,0,1,1,0,1,1,1,1,1,1,0.161,1,1,1,1,0.5,1,1,1,1,1,1,1,"High income","East Asia & Pacific",1,51751065
"Poland","POL",2024,100,99,82.20625000000001,85.99166666666666,80,89.43958333333335,1,1,0.97,1,0.8411666666666666,0.8513333333333333,0.7085,0.7905,0.6666666666666666,1,1,0.773,1,0.8,1,1,1,1,1,1,1,1,1,0.96,0.912,0.976,0.97,1,0.8,0.8,0.84,1,0.75,0.857,0.833,1,0.9,0.875,0.5,1,0.917,0.714,0.867,0.5,0,1,1,0,1,1,1,1,1,1,0.773,1,1,1,1,0,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,36554707
"Slovenia","SVN",2024,100,98.53333333333332,88.02499999999999,75.54166666666666,85,89.42000000000002,1,1,0.956,1,0.8278333333333333,0.8888333333333334,0.9585,0.9335,0.6666666666666666,0.934,1,0.421,1,0.85,1,1,1,1,1,1,1,0.967,1,0.91,0.919,0.983,0.956,1,1,0.6,0.76,1,0.75,0.857,0.833,1,1,0.75,0.75,1,0.917,1,0.867,1,0,1,1,0,1,1,1,0.67,1,1,0.421,1,1,1,1,0.5,1,1,1,1,0,1,1,"High income","Europe & Central Asia",1,2126324
"Romania","ROU",2024,100,94.69999999999999,83.35000000000001,78.84166666666665,90,89.37833333333333,1,1,0.841,1,0.77,0.8721666666666666,0.875,0.8665,0.6666666666666666,0.868,1,0.619,1,0.9,1,1,1,1,1,1,1,0.95,1,0.95,0.8290000000000001,0.476,0.841,1,1,0.5,0.68,0.833,0.75,0.857,0.833,0.875,0.9,0.875,0.75,1,0.75,1,0.733,1,0,1,1,0,1,0.67,1,0.67,1,1,0.619,1,1,1,1,1,0,1,1,1,1,1,1,"High income","Europe & Central Asia",1,19069340
"Japan","JPN",2024,100,91.83333333333333,84.75625,75.04166666666667,95,89.32625,1,1,0.755,1,0.8228333333333333,0.8305,0.9585,0.862,0.6666666666666666,0.934,1,0.401,1,0.95,1,1,1,1,1,1,1,0.867,0.95,0.514,0.517,0.929,0.755,1,1,0.8,0.84,0.833,0.75,0.714,0.833,0.875,0.9,0.625,0.75,1,0.917,0.857,0.867,1,0,1,1,0,1,1,1,0.67,1,1,0.401,1,1,1,1,0.5,1,1,1,1,1,1,1,"High income","East Asia & Pacific",1,123975371
