country,region,income,fragile_conflict,iso3c,date,SPI.INDEX.PIL1,SPI.INDEX.PIL2,SPI.INDEX.PIL3,SPI.INDEX.PIL4,SPI.INDEX.PIL5,SPI.INDEX,SPI.INDEX.quintile,SPI.INDEX.PIL1.quintile,SPI.INDEX.PIL2.quintile,SPI.INDEX.PIL3.quintile,SPI.INDEX.PIL4.quintile,SPI.INDEX.PIL5.quintile,population,iso2c,NY.GDP.PCAP.PP.KD,unit,obs_status,footnote,last_updated
Norway,Europe & Central Asia,High income,Other,NOR,2024,100,98.56666666666663,84.00000000000001,88.14999999999999,100,94.14333333333332,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,5572272,NO,91108.2369704645,NA,NA,NA,2025-10-07
Sweden,Europe & Central Asia,High income,Other,SWE,2024,100,95.4,89.18124999999999,88.72500000000001,90,92.66125,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,10569709,SE,63258.9079924002,NA,NA,NA,2025-10-07
Canada,North America,High income,Other,CAN,2024,100,93.29999999999998,87.21874999999999,91.275,90,92.35875,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,41288599,CA,56691.9070100503,NA,NA,NA,2025-10-07
Denmark,Europe & Central Asia,High income,Other,DNK,2024,100,97.83333333333331,87.74375,89.67500000000001,85,92.05041666666666,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,5976992,DK,73709.0018358619,NA,NA,NA,2025-10-07
Spain,Europe & Central Asia,High income,Other,ESP,2024,100,92.33333333333331,89.68125,92.1,85,91.82291666666669,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,48807137,ES,48373.0455699185,NA,NA,NA,2025-10-07
New Zealand,East Asia & Pacific,High income,Other,NZL,2024,100,94.89999999999998,83.11874999999999,80.675,100,91.73875,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,5338500,NZ,48162.8610868634,NA,NA,NA,2025-10-07
"Korea, Rep.",East Asia & Pacific,High income,Other,KOR,2024,100,96.09999999999998,87.71250000000002,79.025,95,91.5675,Top Quintile,Top Quintile,Top Quintile,Top Quintile,4th Quintile,Top Quintile,51751065,KR,NA,NA,NA,NA,2025-10-07
Poland,Europe & Central Asia,High income,Other,POL,2024,100,99,82.20625000000001,94.325,80,91.10625000000002,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,4th Quintile,36554707,PL,45112.5993993196,NA,NA,NA,2025-10-07
Slovenia,Europe & Central Asia,High income,Other,SVN,2024,100,98.53333333333332,88.02499999999999,83.875,85,91.08666666666667,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,2126324,SI,48495.889687081,NA,NA,NA,2025-10-07
Romania,Europe & Central Asia,High income,Other,ROU,2024,100,94.7,83.35000000000001,87.175,90,91.04500000000002,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,19069340,RO,40610.7541380693,NA,NA,NA,2025-10-07
Japan,East Asia & Pacific,High income,Other,JPN,2024,100,91.83333333333331,84.75625,83.375,95,90.99291666666667,Top Quintile,Top Quintile,4th Quintile,Top Quintile,Top Quintile,Top Quintile,123975371,JP,46097.4299773012,NA,NA,NA,2025-10-07
Costa Rica,Latin America & Caribbean,High income,Other,CRI,2024,100,88.96666666666665,89.78125,81.175,95,90.98458333333332,Top Quintile,Top Quintile,4th Quintile,Top Quintile,Top Quintile,Top Quintile,5129910,CR,26973.4361581028,NA,NA,NA,2025-10-07
Mexico,Latin America & Caribbean,Upper middle income,Other,MEX,2024,100,93.23333333333332,92.21875,89.3,80,90.95041666666668,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,4th Quintile,130861007,MX,22033.2744496619,NA,NA,NA,2025-10-07
Italy,Europe & Central Asia,High income,Other,ITA,2024,100,92.7,88.80624999999999,88.14999999999999,85,90.93125,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,58986023,IT,53115.1350996573,NA,NA,NA,2025-10-07
Portugal,Europe & Central Asia,High income,Other,PRT,2024,100,97.63333333333333,90.30625,85.6,80,90.70791666666666,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,4th Quintile,10701636,PT,41883.8514202164,NA,NA,NA,2025-10-07
Finland,Europe & Central Asia,High income,Other,FIN,2024,100,98.2,81.55624999999999,87.1,85,90.37125000000002,Top Quintile,Top Quintile,Top Quintile,4th Quintile,Top Quintile,Top Quintile,5637214,FI,55628.6815127631,NA,NA,NA,2025-10-07
Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,Other,ISR,2024,100,94.2,78.14375,84.125,95,90.29375,Top Quintile,Top Quintile,Top Quintile,4th Quintile,Top Quintile,Top Quintile,9974400,IL,47338.8424624205,NA,NA,NA,2025-10-07
United States,North America,High income,Other,USA,2024,100,95,88.36875,86.925,80,90.05875,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,4th Quintile,340110988,US,75491.6084348903,NA,NA,NA,2025-10-07
Germany,Europe & Central Asia,High income,Other,DEU,2024,100,95.33333333333331,83.84375,86.1,85,90.05541666666667,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,83510950,DE,62829.7960031194,NA,NA,NA,2025-10-07
Chile,Latin America & Caribbean,High income,Other,CHL,2024,100,88.23333333333332,82.3875,81.27499999999999,95,89.37916666666665,Top Quintile,Top Quintile,4th Quintile,Top Quintile,Top Quintile,Top Quintile,19764771,CL,30182.7871224714,NA,NA,NA,2025-10-07
Lithuania,Europe & Central Asia,High income,Other,LTU,2024,100,92,89.30624999999999,80.5,85,89.36125,Top Quintile,Top Quintile,4th Quintile,Top Quintile,Top Quintile,Top Quintile,2888055,LT,47169.0084190287,NA,NA,NA,2025-10-07
Austria,Europe & Central Asia,High income,Other,AUT,2024,100,92.43333333333332,89.05624999999999,80.25,85,89.34791666666668,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,9178482,AT,63314.4627876454,NA,NA,NA,2025-10-07
Australia,East Asia & Pacific,High income,Other,AUS,2024,80,95.16666666666669,85.23749999999998,84.45,100,88.97083333333333,Top Quintile,3rd Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,27204809,AU,60082.005786975,NA,NA,NA,2025-10-07
Estonia,Europe & Central Asia,High income,Other,EST,2024,100,96.29999999999998,83.43750000000001,84.2,80,88.78750000000001,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,4th Quintile,1371986,EE,41546.1201868122,NA,NA,NA,2025-10-07
Switzerland,Europe & Central Asia,High income,Other,CHE,2024,100,87.9,86.4625,84.2,85,88.7125,Top Quintile,Top Quintile,4th Quintile,Top Quintile,Top Quintile,Top Quintile,9034102,CH,82026.4087304591,NA,NA,NA,2025-10-07
United Kingdom,Europe & Central Asia,High income,Other,GBR,2024,100,92.6,86.6625,77.625,85,88.3775,Top Quintile,Top Quintile,Top Quintile,Top Quintile,4th Quintile,Top Quintile,69226000,GB,52517.9848574945,NA,NA,NA,2025-10-07
France,Europe & Central Asia,High income,Other,FRA,2024,100,90.16666666666666,88.80624999999999,77.875,85,88.36958333333335,Top Quintile,Top Quintile,4th Quintile,Top Quintile,4th Quintile,Top Quintile,68516699,FR,54464.9816695754,NA,NA,NA,2025-10-07
Singapore,East Asia & Pacific,High income,Other,SGP,2024,100,98.4,67.31875000000001,95.875,80,88.31875,Top Quintile,Top Quintile,Top Quintile,2nd Quintile,Top Quintile,4th Quintile,6036860,SG,132569.525225795,NA,NA,NA,2025-10-07
Ireland,Europe & Central Asia,High income,Other,IRL,2024,100,97.13333333333333,80.93125,78.525,85,88.31791666666668,Top Quintile,Top Quintile,Top Quintile,4th Quintile,4th Quintile,Top Quintile,5380257,IE,115337.166701374,NA,NA,NA,2025-10-07
Latvia,Europe & Central Asia,High income,Other,LVA,2024,100,96.8,81.80625000000002,76.8,85,88.08125000000001,Top Quintile,Top Quintile,Top Quintile,4th Quintile,4th Quintile,Top Quintile,1862441,LV,38936.0453870454,NA,NA,NA,2025-10-07
Hungary,Europe & Central Asia,High income,Other,HUN,2024,90,95.53333333333332,89.7,84.125,80,87.87166666666667,Top Quintile,Top Quintile,Top Quintile,Top Quintile,Top Quintile,4th Quintile,9562314,HU,40702.1535135968,NA,NA,NA,2025-10-07
