country,iso3c,date,SPI.INDEX.PIL4,SPI.INDEX.PIL5
Norway,NOR,2019,80.66666667,100
Italy,ITA,2019,81.825,100
Austria,AUT,2019,79.75,100
Poland,POL,2019,79.71666667,100
Slovenia,SVN,2019,71.44166667,100
United States,USA,2019,87.5,100
Spain,ESP,2019,77.86666667,100
Sweden,SWE,2019,72.51666667,100
Finland,FIN,2019,72.21666667,100
"Korea, Rep.",KOR,2019,82.4,90
Australia,AUS,2019,74.46666667,100
Netherlands,NLD,2019,69.91666667,100
Mexico,MEX,2019,80.28333333,75
Germany,DEU,2019,74.91666667,95
Canada,CAN,2019,84.11666667,100
Ireland,IRL,2019,66.34166667,100
Switzerland,CHE,2019,80.85833333,90
France,FRA,2019,66.64166667,100
Denmark,DNK,2019,73.86666667,100
Estonia,EST,2019,68.94166667,100
Japan,JPN,2019,80,95
Slovak Republic,SVK,2019,73.09166667,100
Portugal,PRT,2019,65.79166667,100
Greece,GRC,2019,70.76666667,100
New Zealand,NZL,2019,63.16666667,100
Czech Republic,CZE,2019,75.61666667,95
Lithuania,LTU,2019,71.86666667,100
Hungary,HUN,2019,68.26666667,100
Turkey,TUR,2019,53.10833333,100
Latvia,LVA,2019,68.04166667,100
United Kingdom,GBR,2019,64.94166667,90
Chile,CHL,2019,59.525,95
Belgium,BEL,2019,65.91666667,100
Bulgaria,BGR,2019,70.84166667,90
Armenia,ARM,2019,59.94166667,85
Cyprus,CYP,2019,73.30833333,85
Georgia,GEO,2019,60.11666667,80
Costa Rica,CRI,2019,66.46666667,70
Moldova,MDA,2019,58.81666667,90
Kyrgyz Republic,KGZ,2019,53.05833333,85
Kazakhstan,KAZ,2019,62.35,70
Luxembourg,LUX,2019,59.29166667,100
Russian Federation,RUS,2019,65.36666667,90
Israel,ISR,2019,46.48333333,100
Iceland,ISL,2019,61.66666667,100
Romania,ROU,2019,73.64166667,80
Belarus,BLR,2019,53.55833333,85
Brazil,BRA,2019,62.375,75
Mongolia,MNG,2019,63.94166667,60
Thailand,THA,2019,57.85,70
Mauritius,MUS,2019,66.375,70
Serbia,SRB,2019,63.16666667,80
Philippines,PHL,2019,80.175,35
Albania,ALB,2019,59.44166667,75
Singapore,SGP,2019,53.33333333,80
Malta,MLT,2019,68.59166667,75
"Egypt, Arab Rep.",EGY,2019,60.91666667,60
Colombia,COL,2019,46.44166667,55
South Africa,ZAF,2019,65.2,65
Ecuador,ECU,2019,55.59166667,45
Sri Lanka,LKA,2019,66.425,45
Ukraine,UKR,2019,49.01666667,100
Indonesia,IDN,2019,43.79166667,55
North Macedonia,MKD,2019,55.98333333,65
Malaysia,MYS,2019,68.2,50
West Bank and Gaza,PSE,2019,69.9,60
India,IND,2019,68.875,55
Peru,PER,2019,51.13333333,40
El Salvador,SLV,2019,44.93333333,60
Croatia,HRV,2019,63.86666667,90
Azerbaijan,AZE,2019,55.09166667,80
Uganda,UGA,2019,33.86666667,65
Rwanda,RWA,2019,49.40833333,45
Montenegro,MNE,2019,58.71666667,55
Uruguay,URY,2019,64.23333333,20
Vietnam,VNM,2019,75.725,35
Argentina,ARG,2019,58.925,35
Kuwait,KWT,2019,63.125,40
Tunisia,TUN,2019,49.80833333,30
Dominican Republic,DOM,2019,34.14166667,60
Myanmar,MMR,2019,42.94166667,35
Senegal,SEN,2019,39.91666667,50
Saudi Arabia,SAU,2019,78.975,50
Qatar,QAT,2019,60.76666667,45
Bolivia,BOL,2019,54.36666667,20
Jordan,JOR,2019,47.925,30
Ghana,GHA,2019,33.6,50
Zimbabwe,ZWE,2019,43.09166667,45
Bosnia and Herzegovina,BIH,2019,47.38333333,60
Honduras,HND,2019,46.65833333,40
Paraguay,PRY,2019,40.78333333,55
Guatemala,GTM,2019,54.13333333,35
Togo,TGO,2019,41.025,45
Pakistan,PAK,2019,39.11666667,30
United Arab Emirates,ARE,2019,54.24166667,65
Panama,PAN,2019,59.91666667,30
Morocco,MAR,2019,28.525,50
Zambia,ZMB,2019,36.80833333,40
Belize,BLZ,2019,65.74166667,30
Oman,OMN,2019,64.225,40
China,CHN,2019,36.61666667,65
Tanzania,TZA,2019,39.275,45
Bangladesh,BGD,2019,44.775,25
Fiji,FJI,2019,50.56666667,45
Botswana,BWA,2019,54.79166667,40
Samoa,WSM,2019,36.31666667,45
Niger,NER,2019,37.275,35
"Iran, Islamic Rep.",IRN,2019,57.01666667,35
Malawi,MWI,2019,34.675,30
Mozambique,MOZ,2019,36.175,40
Cambodia,KHM,2019,46.375,45
