iso3c,iso2c,country,capital,long,lat,regionID,region_iso2c,region,adminID,admin_iso2c,admin,incomeID,income_iso2c,income,lendingID,lending_iso2c,lending,date,AGRI.SURVEYS,AGRI.SURVEYS_source
BHR,BH,Bahrain,Manama,50.5354,26.1921,MEA,ZQ,Middle East & North Africa,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,2019,NA,NA
BRB,BB,Barbados,Bridgetown,-59.6105,13.0935,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,2019,NA,NA
CZE,CZ,Czech Republic,Prague,14.4205,50.0878,ECS,Z7,Europe & Central Asia,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,2019,"2003, 2005, 2007, 2013, 2016",https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Glossary:Farm_structure_survey_(FSS)
GRC,GR,Greece,Athens,23.7166,37.9792,ECS,Z7,Europe & Central Asia,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,2019,"2001,2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010 ,2011, 2012, 2013, 2014, 2015, 2016, 2017,2018",https://www.statistics.gr/en/statistics/agr
HUN,HU,Hungary,Budapest,19.0408,47.4984,ECS,Z7,Europe & Central Asia,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,2019,"2003, 2005, 2007, 2013, 2016",http://www.ksh.hu/agricultural_census_fss_2010
LTU,LT,Lithuania,Vilnius,25.2799,54.6896,ECS,Z7,Europe & Central Asia,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,2019,"2005, 2007, 2013, 2016",https://www.stat.gov.lt/web/lsd/paieska?q=farm%20structure%20survey
LVA,LV,Latvia,Riga,24.1048,56.9465,ECS,Z7,Europe & Central Asia,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,2019,"2003, 2005, 2007, 2013, 2016",https://www.csb.gov.lv/lv/statistika/statistikas-temas/lauksaimnieciba/lauksaimniecibas-skaitisana/struktura
OMN,OM,Oman,Muscat,58.5874,23.6105,MEA,ZQ,Middle East & North Africa,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,2019,NA,NA
SAU,SA,Saudi Arabia,Riyadh,46.6977,24.6748,MEA,ZQ,Middle East & North Africa,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,2019,"2017, 2018",https://www.stats.gov.sa/ar/1060-0
SVK,SK,Slovak Republic,Bratislava,17.1073,48.1484,ECS,Z7,Europe & Central Asia,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,2019,"2003, 2005, 2007, 2013, 2016",https://slovak.statistics.sk/wps/myportal/ext/searchCenter/!ut/p/z1/pZVJd6JAEMe_ylw4ki72dm6gEYlEZY1ymddiJzKyGEAd8-mnyTJJ8AXy3jQXeP3719JUVaMILVGUk2PyQOqkyEnKvleR-mto6hNZswGwbSpg6ZPAHTiSNB_J6K4LAF1CEdt2NAsbhqCDOQkwWDMDTHNgC1NLedXDF0uHPn2IIhTFeb2vt2hVrCuy5WnOQVWzDGI-LvKa5jUHNc3OHGxoVjyU5D4hPOGrIk5ImrOXhq3qZEc4yMkuJZszvy9JTDk47MhTcSQ1TWnjZx8nG7TCshZjVYl5ZbDBvDyQVH6twoCXMF5jcUMlaaC-5vUvcDBsCaybqTebDMei7LXywkYogqXNXGHqOKY-h7b-MyC4ckuvaMDOxQsAQg886NErZqf_xnynfuGKXfrGfFt_EWCjD-3F63_VfIFts_0QO9Kt_-a_A-iqC_nC_yXQ4R_PxYv4p8MhAxR_pIQzaWEL36vrDgdd-qnWEz8DuvSO0KN3hM_5z11hDA7AdDbFvqVqQjv-SyD6j7nQAFF32981_dYzWfpsvAC64zieHYZghuIYLEkwYRYEYN6-WXhP8po1qSMKgeiDDwYo3RbAUHsA_w3omgPPwNhbiPpANocjd84s-EMRe7Yqgqn2ACC0XbR62dC6gedebgGXxd4JXMtoAuim77TZXZL8fnyMdDawm7n8p0bLryd2lR6e1mxmg8An-X1RZiTOz3xFy2NScRDTPE92H3biLd8oErpuAnlIi_XL7bWt6_1PDjg4nU5XyTq7iouMg7SoD8xKRUkZb1H0eKDlGS3HpMx-VHV5iOtDSX9Uh_JIz982khYxYdfEstqhFSt-7b2ucODKoGs3hrFQR9IcVOSh1QStwsCYlQ7aZ0GQYemcfFj8zr1-fians_Rk0zueOH8B8ud5Rw!!/dz/d5/L2dBISEvZ0FBIS9nQSEh/#Z7_VLP8BB1A08UR40A7JBBP6D3O06
