Indicator,Country,Year,Data Value
Statistical plan fully funded,Afghanistan,2018,no data
Statistical plan fully funded,Africa,2018,no data
Statistical plan fully funded,Albania,2018,no data
Statistical plan fully funded,Algeria,2018,no data
Statistical plan fully funded,American Samoa,2018,no data
Statistical plan fully funded,Americas,2018,no data
Statistical plan fully funded,Andorra,2018,no data
Statistical plan fully funded,Angola,2018,no data
Statistical plan fully funded,Anguilla,2018,no data
Statistical plan fully funded,Antigua and Barbuda,2018,no data
Statistical plan fully funded,Argentina,2018,no data
Statistical plan fully funded,Armenia,2018,no data
Statistical plan fully funded,Aruba,2018,no data
Statistical plan fully funded,Asia,2018,0.7
Statistical plan fully funded,Australia,2018,no data
Statistical plan fully funded,Australia and New Zealand,2018,no data
Statistical plan fully funded,Austria,2018,no data
Statistical plan fully funded,Azerbaijan,2018,no data
Statistical plan fully funded,Bahamas,2018,no data
Statistical plan fully funded,Bahrain,2018,no data
Statistical plan fully funded,Bangladesh,2018,no data
Statistical plan fully funded,Barbados,2018,no data
Statistical plan fully funded,Belarus,2018,1
Statistical plan fully funded,Belgium,2018,no data
Statistical plan fully funded,Belize,2018,no data
Statistical plan fully funded,Benin,2018,0
Statistical plan fully funded,Bermuda,2018,no data
Statistical plan fully funded,Bhutan,2018,no data
Statistical plan fully funded,Bolivia (Plurinational State of),2018,no data
Statistical plan fully funded,"Bonaire, Sint Eustatius and Saba",2018,no data
Statistical plan fully funded,Bosnia and Herzegovina,2018,no data
Statistical plan fully funded,Botswana,2018,no data
Statistical plan fully funded,Bouvet Island,2018,no data
Statistical plan fully funded,Brazil,2018,no data
Statistical plan fully funded,British Indian Ocean Territory,2018,no data
Statistical plan fully funded,British Virgin Islands,2018,no data
Statistical plan fully funded,Brunei Darussalam,2018,no data
Statistical plan fully funded,Bulgaria,2018,1
Statistical plan fully funded,Burkina Faso,2018,no data
Statistical plan fully funded,Burundi,2018,0
Statistical plan fully funded,Cabo Verde,2018,no data
Statistical plan fully funded,Cambodia,2018,0
Statistical plan fully funded,Cameroon,2018,no data
Statistical plan fully funded,Canada,2018,1
Statistical plan fully funded,Cayman Islands,2018,1
Statistical plan fully funded,Central African Republic,2018,0
Statistical plan fully funded,Central Asia,2018,0.75
Statistical plan fully funded,Chad,2018,0
Statistical plan fully funded,Chile,2018,0
Statistical plan fully funded,China,2018,1
Statistical plan fully funded,"China, Hong Kong Special Administrative Region",2018,1
Statistical plan fully funded,"China, Macao Special Administrative Region",2018,1
Statistical plan fully funded,Kosovo,2018,no data
Statistical plan fully funded,Christmas Island,2018,no data
Statistical plan fully funded,Cocos (Keeling) Islands,2018,no data
Statistical plan fully funded,Colombia,2018,0
Statistical plan fully funded,Comoros,2018,0
Statistical plan fully funded,Congo,2018,0
Statistical plan fully funded,Cook Islands,2018,no data
Statistical plan fully funded,Costa Rica,2018,0
Statistical plan fully funded,Croatia,2018,1
Statistical plan fully funded,Cuba,2018,no data
Statistical plan fully funded,Curaçao,2018,1
Statistical plan fully funded,Cyprus,2018,1
Statistical plan fully funded,Czechia,2018,1
Statistical plan fully funded,Côte d’Ivoire,2018,0
Statistical plan fully funded,Democratic People's Republic of Korea,2018,no data
Statistical plan fully funded,Democratic Republic of the Congo,2018,0
Statistical plan fully funded,Denmark,2018,1
Statistical plan fully funded,Djibouti,2018,0
Statistical plan fully funded,Dominica,2018,no data
Statistical plan fully funded,Dominican Republic,2018,0
Statistical plan fully funded,Eastern Asia,2018,no data
Statistical plan fully funded,Eastern Europe,2018,0.9
Statistical plan fully funded,Ecuador,2018,1
Statistical plan fully funded,Egypt,2018,0
Statistical plan fully funded,El Salvador,2018,0
Statistical plan fully funded,Equatorial Guinea,2018,1
Statistical plan fully funded,Eritrea,2018,no data
Statistical plan fully funded,Estonia,2018,1
Statistical plan fully funded,Eswatini,2018,no data
Statistical plan fully funded,Ethiopia,2018,no data
Statistical plan fully funded,Europe,2018,0.88888889
Statistical plan fully funded,FRAGILE,2018,no data
Statistical plan fully funded,Falkland Islands (Malvinas),2018,no data
Statistical plan fully funded,Faroe Islands,2018,1
Statistical plan fully funded,Fiji,2018,no data
Statistical plan fully funded,Finland,2018,1
Statistical plan fully funded,France,2018,1
Statistical plan fully funded,French Guiana,2018,1
Statistical plan fully funded,French Polynesia,2018,no data
Statistical plan fully funded,French Southern Territories,2018,no data
Statistical plan fully funded,Gabon,2018,1
Statistical plan fully funded,Gambia,2018,no data
Statistical plan fully funded,Georgia,2018,1
Statistical plan fully funded,Germany,2018,1
Statistical plan fully funded,Ghana,2018,no data
Statistical plan fully funded,Gibraltar,2018,no data
Statistical plan fully funded,Greece,2018,1
Statistical plan fully funded,Greenland,2018,no data
Statistical plan fully funded,Grenada,2018,no data
Statistical plan fully funded,Guadeloupe,2018,1
Statistical plan fully funded,Guam,2018,no data
Statistical plan fully funded,Guatemala,2018,no data
Statistical plan fully funded,Guernsey,2018,no data
Statistical plan fully funded,Guinea,2018,0
Statistical plan fully funded,Guinea-Bissau,2018,no data
Statistical plan fully funded,Guyana,2018,no data
Statistical plan fully funded,Haiti,2018,no data
Statistical plan fully funded,Heard Island and McDonald Islands,2018,no data
Statistical plan fully funded,High Income,2018,no data
Statistical plan fully funded,Holy See,2018,no data
Statistical plan fully funded,Honduras,2018,no data
Statistical plan fully funded,Hungary,2018,1
Statistical plan fully funded,Iceland,2018,0
Statistical plan fully funded,India,2018,0
Statistical plan fully funded,Indonesia,2018,no data
Statistical plan fully funded,Iran (Islamic Republic of),2018,1
Statistical plan fully funded,Iraq,2018,0
