SDG_IND,Indicator,LOCATION2017,Country,TIME,Time,Value,Flag Codes,Flags
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),ALB,Albania,2018,2018,1,NA,NA
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),AGO,Angola,2018,2018,NA,n,Magnitude nil or negligible
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),AIA,Anguilla,2018,2018,1,NA,NA
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),ARG,Argentina,2018,2018,1,NA,NA
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),AUS,Australia,2018,2018,1,NA,NA
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),BHS,Bahamas,2018,2018,1,NA,NA
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),BHR,Bahrain,2018,2018,1,NA,NA
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),BGD,Bangladesh,2018,2018,1,NA,NA
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),BLZ,Belize,2018,2018,NA,n,Magnitude nil or negligible
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),BOL,Bolivia (Plurinational State of),2018,2018,NA,n,Magnitude nil or negligible
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),BRA,Brazil,2018,2018,1,NA,NA
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),BFA,Burkina Faso,2018,2018,1,NA,NA
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),BDI,Burundi,2018,2018,1,NA,NA
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),KHM,Cambodia,2018,2018,NA,n,Magnitude nil or negligible
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),CPV,Cabo Verde,2018,2018,1,NA,NA
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),TCD,Chad,2018,2018,1,NA,NA
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),CHL,Chile,2018,2018,1,NA,NA
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),COL,Colombia,2018,2018,1,NA,NA
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),COG,Congo,2018,2018,1,NA,NA
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),COK,Cook Islands,2018,2018,1,NA,NA
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),CRI,Costa Rica,2018,2018,1,NA,NA
ADMI_GRADE2OR3PRIM_READ,Administration of a nationally representative learning assessment in Grade 2 or 3 in reading (number),CUB,Cuba,2018,2018,NA,n,Magnitude nil or negligible
