iso3c,date,source,reported_value
ABW,2011,LFS - Labour Force Survey,63.8
ABW,2010,PC - Population and Housing Census,63.91
ABW,2007,LFS - Labour Force Survey,66.2
ABW,2000,PC - Population and Housing Census,63.5
ABW,1991,PC - Population and Housing Census,61.67
ABW,1981,PC - Population and Housing Census,56.84
ABW,1972,PC - Population and Housing Census,51.02
ABW,1960,PC - Population and Housing Census,51.74
AFG,2021,LFS - Labour Force Survey,49.73
AFG,2020,LFS - Labour Force Survey,41.579
AFG,2017,HIES - Households Living Conditions Survey,47.305
AFG,2014,HIES - Households Living Conditions Survey,51.725
AFG,2012,HIES - Households Living Conditions Survey,46.956
AFG,2008,HIES - Households Living Conditions Survey,63.266
AFG,1979,PC - Population Census,49.9
AFG,1978,OE - Official Estimates,24.6
AGO,2022,LFS - Employment Survey,75.38
AGO,2021,LFS - Employment Survey,76.475
AGO,2019,LFS - Employment Survey,75.235
AGO,2014,PC - Population Census,43.556
AGO,2011,LFS - Employment Survey,86.61
AGO,2010,LFS - Employment Survey,77.26
AGO,2009,HIES - Core Welfare Indicators Questionnaire,67.017
AGO,2004,HIES - Core Welfare Indicators Questionnaire,68.253
AGO,1960,PC - Population Census,48.82
AIA,2001,PC - Population Census,73.52
AIA,1999,LFS - Labour Force Survey,73.26
AIA,1992,PC - Population Census,71.37
ALB,2023,LFS - Labour Force Survey,63.882
ALB,2022,LFS - Labour Force Survey,62.161
ALB,2021,LFS - Labour Force Survey,59.684
ALB,2020,LFS - Labour Force Survey,59.367
ALB,2019,LFS - Labour Force Survey,60.306
ALB,2018,LFS - Labour Force Survey,59.296
ALB,2017,LFS - Labour Force Survey,58.057
ALB,2016,LFS - Labour Force Survey,57.314
ALB,2015,LFS - Labour Force Survey,55.497
ALB,2014,LFS - Labour Force Survey,53.42
ALB,2013,LFS - Labour Force Survey,52.418
ALB,2012,LFS - Labour Force Survey,56.995
ALB,2011,LFS - Labour Force Survey,59.938
ALB,2010,LFS - Labour Force Survey,55.202
ALB,2009,LFS - Labour Force Survey,54.993
ALB,2008,LFS - Labour Force Survey,53.192
ALB,2007,LFS - Labour Force Survey,48.728
ALB,2006,LFS - Labour Force Survey,34.45
ALB,2005,LFS - Labour Force Survey,34.5
ALB,2004,LFS - Labour Force Survey,34.79
ALB,2003,LFS - Labour Force Survey,35
ALB,2002,LFS - Labour Force Survey,59.61
ALB,2000,LFS - Labour Force Survey,55.6
ALB,1999,LFS - Labour Force Survey,57.2
ALB,1998,LFS - Labour Force Survey,58.4
ALB,1997,LFS - Labour Force Survey,58.4
ALB,1996,OE - Official Estimates,38.81
ALB,1995,OE - Official Estimates,40.29
ALB,1993,OE - Official Estimates,42.51
ALB,1992,OE - Official Estimates,46.69
ALB,1991,OE - Official Estimates,47.36
ALB,1990,OE - Official Estimates,48.07
ALB,1989,OE - Official Estimates,48.32
ALB,1960,PC - Population Census,44.93
AND,2008,LFS - Labour Force Survey,56.69
AND,2007,LFS - Labour Force Survey,59.46
AND,2006,PC - Population Census,61.45
NA,2011,LFS - Labour Force Survey,57.88
NA,2009,LFS - Labour Force Survey,56.34
NA,2008,LFS - Labour Force Survey,58.08
NA,2007,LFS - Labour Force Survey,61.6
NA,2006,LFS - Labour Force Survey,57.92
NA,2005,LFS - Labour Force Survey,59.42
NA,2004,LFS - Labour Force Survey,59.68
NA,2000,LFS - Labour Force Survey,59.2
NA,1998,LFS - Labour Force Survey,58.96
NA,1997,LFS - Labour Force Survey,59.59
NA,1996,LFS - Labour Force Survey,59.63
NA,1995,LFS - Labour Force Survey,56.85
NA,1994,LFS - Labour Force Survey,42.72
NA,1993,LFS - Labour Force Survey,41.83
NA,1992,LFS - Labour Force Survey,41.25
NA,1991,LFS - Labour Force Survey,41.15
NA,1990,LFS - Labour Force Survey,39.4
NA,1987,OE - Official Estimates,37.85
NA,1986,OE - Official Estimates,54.87
NA,1985,OE - Official Estimates,56.48
NA,1984,OE - Official Estimates,56.66
NA,1983,OE - Official Estimates,57.79
NA,1982,OE - Official Estimates,53.01
