ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Aruba,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2011,63.8,,,,
Aruba,Labour force participation rate by sex and age (%),PC - Population and Housing Census,Sex: Total,Age (5-year bands): Total,2010,63.91,,,,Data reference period: September | Age coverage - minimum age: 14 years old
Afghanistan,Labour force participation rate by sex and age (%),HIES - Living Conditions Survey,Sex: Total,Age (5-year bands): Total,2012,46.96,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Labour force participation rate by sex and age (%),HIES - Living Conditions Survey,Sex: Total,Age (5-year bands): Total,2014,51.73,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Labour force participation rate by sex and age (%),HIES - Living Conditions Survey,Sex: Total,Age (5-year bands): Total,2017,47.31,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2020,41.58,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,Labour force participation rate by sex and age (%),HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Total,Age (5-year bands): Total,2011,77.32,,,,Repository: ILO-STATISTICS - Micro data processing
Angola,Labour force participation rate by sex and age (%),PC - Recensements de Population,Sex: Total,Age (5-year bands): Total,2014,43.56,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2010,55.2,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2011,59.94,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2012,56.99,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2013,52.42,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2014,53.42,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2015,55.5,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2016,57.31,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2017,58.06,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2018,59.3,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2019,60.31,,,,Repository: ILO-STATISTICS - Micro data processing
Netherlands Antilles,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2011,57.88,,,,Data reference period: October | Geographical coverage: Main city or metropolitan area | Population coverage: Excluding institutional population
United Arab Emirates,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2016,80.57,,,,Age coverage - maximum age: 65 years old
United Arab Emirates,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2017,80.77,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2018,79.2,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2019,80.11,,,,Repository: ILO-STATISTICS - Micro data processing
Argentina,Labour force participation rate by sex and age (%),LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,Age (5-year bands): Total,2010,60.19,,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Labour force participation rate by sex and age (%),LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,Age (5-year bands): Total,2011,60.65,,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Labour force participation rate by sex and age (%),LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,Age (5-year bands): Total,2012,60.36,,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Labour force participation rate by sex and age (%),LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,Age (5-year bands): Total,2013,59.96,,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Labour force participation rate by sex and age (%),LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,Age (5-year bands): Total,2014,59.44,,,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Labour force participation rate by sex and age (%),LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,Age (5-year bands): Total,2017,58.81,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Labour force participation rate by sex and age (%),LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,Age (5-year bands): Total,2018,59.6,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Labour force participation rate by sex and age (%),LFS - Encuesta Permanente de Hogares (Urbano),Sex: Total,Age (5-year bands): Total,2019,60.29,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Armenia,Labour force participation rate by sex and age (%),LFS - Household Labour Force Survey,Sex: Total,Age (5-year bands): Total,2010,61.2,,,,Population coverage: Excluding both institutional population and armed forces and/or conscripts | Age coverage - maximum age: 75 years old
Armenia,Labour force participation rate by sex and age (%),LFS - Household Labour Force Survey,Sex: Total,Age (5-year bands): Total,2014,63.02,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Labour force participation rate by sex and age (%),LFS - Household Labour Force Survey,Sex: Total,Age (5-year bands): Total,2015,62.29,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Labour force participation rate by sex and age (%),LFS - Household Labour Force Survey,Sex: Total,Age (5-year bands): Total,2016,60.72,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Labour force participation rate by sex and age (%),LFS - Household Labour Force Survey,Sex: Total,Age (5-year bands): Total,2017,60.82,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Labour force participation rate by sex and age (%),LFS - Household Labour Force Survey,Sex: Total,Age (5-year bands): Total,2018,58.65,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - maximum age: 75 years old
Armenia,Labour force participation rate by sex and age (%),LFS - Household Labour Force Survey,Sex: Total,Age (5-year bands): Total,2019,59.67,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Labour force participation rate by sex and age (%),HIES - Households' Integrated Living Conditions Survey,Sex: Total,Age (5-year bands): Total,2011,59.39,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Labour force participation rate by sex and age (%),HIES - Households' Integrated Living Conditions Survey,Sex: Total,Age (5-year bands): Total,2012,54.11,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Armenia,Labour force participation rate by sex and age (%),HIES - Households' Integrated Living Conditions Survey,Sex: Total,Age (5-year bands): Total,2013,59.42,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - maximum age: 75 years old
Australia,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2010,65.39,,,,
Australia,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2011,65.42,,,,
Australia,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2012,65.15,,,,
Australia,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2013,64.94,,,,
Australia,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2014,64.7,,,,
Australia,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2015,65,,,,
Australia,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2016,64.87,,,,
Australia,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2017,65.17,,,,
Australia,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2018,65.63,,,,
Australia,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2019,65.95,,,,
Australia,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2020,65.04,,,,
Austria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2010,60.4,,,,Repository: Eurostat special tabulation
Austria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2011,60.49,,,,Repository: Eurostat special tabulation
Austria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2012,60.76,,,,Repository: Eurostat special tabulation
Austria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2013,60.92,,,,Repository: Eurostat special tabulation
Austria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2014,60.69,,,,Repository: Eurostat special tabulation
Austria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2015,60.72,,,,Repository: Eurostat special tabulation
Austria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2016,61.21,,,,Repository: Eurostat special tabulation
Austria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2017,61.22,,,,Repository: Eurostat special tabulation
Austria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2018,61.37,,,,Repository: Eurostat special tabulation
Austria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2019,61.36,,,,Repository: Eurostat special tabulation
Austria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2020,60.77,,,,Repository: Eurostat special tabulation
Azerbaijan,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2010,64.8,,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2011,64.4,,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2012,64.5,,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2013,64.7,,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2014,65.1,,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2015,65.4,,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2016,66,,,,Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2017,66.2,,,,Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2018,66.3,,,,Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2019,66.5,,,,Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Burundi,Labour force participation rate by sex and age (%),HIES - Enquête sur les Conditions de Vie des Ménages,Sex: Total,Age (5-year bands): Total,2014,78.94,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 10 years old
Belgium,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2010,54.07,,,,Repository: Eurostat special tabulation
Belgium,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2011,53.2,,,,Repository: Eurostat special tabulation
Belgium,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2012,53.25,,,,Repository: Eurostat special tabulation
Belgium,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2013,53.56,,,,Repository: Eurostat special tabulation
Belgium,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2014,53.51,,,,Repository: Eurostat special tabulation
Belgium,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2015,53.31,,,,Repository: Eurostat special tabulation
Belgium,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2016,53.11,,,,Repository: Eurostat special tabulation
Belgium,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2017,53.84,Break in series,,Break in series: Methodology revised,Repository: Eurostat special tabulation
Belgium,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2018,54.19,,,,Repository: Eurostat special tabulation
Belgium,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2019,54.39,,,,Repository: Eurostat special tabulation
Belgium,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2020,53.83,,,,Repository: Eurostat special tabulation
Benin,Labour force participation rate by sex and age (%),HIES - Enquête de Suivi de l'Enquête Modulaire et Intégrée sur les Conditions de Vie des Ménages,Sex: Total,Age (5-year bands): Total,2010,75.31,,,,Age coverage - maximum age: 64 years old
Benin,Labour force participation rate by sex and age (%),HIES - Enquête de Suivi de l'Enquête Modulaire et Intégrée sur les Conditions de Vie des Ménages,Sex: Total,Age (5-year bands): Total,2011,71.88,,,,Repository: ILO-STATISTICS - Micro data processing
Burkina Faso,Labour force participation rate by sex and age (%),HIES - Enquête Multisectorielle Continue,Sex: Total,Age (5-year bands): Total,2014,65.62,,,,Repository: ILO-STATISTICS - Micro data processing
Burkina Faso,Labour force participation rate by sex and age (%),LFS - Enquête Régionale Intégrée sur l'Emploi et le Secteur Informel,Sex: Total,Age (5-year bands): Total,2018,44.89,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 75 years old
Bangladesh,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2010,58.58,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2013,57.18,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Bangladesh,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2016,56.09,,,,Population coverage: Excluding both institutional population and armed forces and/or conscripts
Bangladesh,Labour force participation rate by sex and age (%),LFS - Labour Force Survey,Sex: Total,Age (5-year bands): Total,2017,58.33,,,,Repository: ILO-STATISTICS - Micro data processing
Bulgaria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2010,53.39,Break in series,,Break in series: Methodology revised,Repository: Eurostat special tabulation
Bulgaria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2011,52.51,Break in series,,Break in series: Methodology revised,Repository: Eurostat special tabulation
Bulgaria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2012,53.08,,,,Repository: Eurostat special tabulation
Bulgaria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2013,53.9,,,,Repository: Eurostat special tabulation
Bulgaria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2014,54.14,,,,Repository: Eurostat special tabulation
Bulgaria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2015,54.07,,,,Repository: Eurostat special tabulation
Bulgaria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2016,53.33,,,,Repository: Eurostat special tabulation
Bulgaria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2017,55.35,,,,Repository: Eurostat special tabulation
Bulgaria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2018,55.32,,,,Repository: Eurostat special tabulation
Bulgaria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2019,56.58,,,,Repository: Eurostat special tabulation
Bulgaria,Labour force participation rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Total,Age (5-year bands): Total,2020,55.55,,,,Repository: Eurostat special tabulation
