iso3c,iso2c,country,capital,long,lat,regionID,region_iso2c,region,adminID,admin_iso2c,admin,incomeID,income_iso2c,income,lendingID,lending_iso2c,lending,hyperlink,source,type,year,geo,data_available,data_quality,data_value,max_value
ABW,AW,Aruba,Oranjestad,-70.0167,12.5167,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,https://washdata.org/data/country/ABW/household/download,CEN00,Census,2000,National,1,1,70.97156856301942,72.19286980449571
ABW,AW,Aruba,Oranjestad,-70.0167,12.5167,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,https://washdata.org/data/country/ABW/household/download,CEN00,Census,2000,Rural,0,1,NA,-99
ABW,AW,Aruba,Oranjestad,-70.0167,12.5167,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,https://washdata.org/data/country/ABW/household/download,CEN00,Census,2000,Urban,0,1,NA,-99
ABW,AW,Aruba,Oranjestad,-70.0167,12.5167,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,https://washdata.org/data/country/ABW/household/download,CEN10,Census,2010,National,1,1,72.19286980449571,72.19286980449571
ABW,AW,Aruba,Oranjestad,-70.0167,12.5167,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,https://washdata.org/data/country/ABW/household/download,CEN10,Census,2010,Rural,0,1,NA,-99
ABW,AW,Aruba,Oranjestad,-70.0167,12.5167,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,https://washdata.org/data/country/ABW/household/download,CEN10,Census,2010,Urban,0,1,NA,-99
ABW,AW,Aruba,Oranjestad,-70.0167,12.5167,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,https://washdata.org/data/country/ABW/household/download,CEN90,Census,1990,National,1,0,NA,72.19286980449571
ABW,AW,Aruba,Oranjestad,-70.0167,12.5167,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,https://washdata.org/data/country/ABW/household/download,CEN90,Census,1990,Rural,0,1,NA,-99
ABW,AW,Aruba,Oranjestad,-70.0167,12.5167,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,https://washdata.org/data/country/ABW/household/download,CEN90,Census,1990,Urban,0,1,NA,-99
ABW,AW,Aruba,Oranjestad,-70.0167,12.5167,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,https://washdata.org/data/country/ABW/household/download,REG15,Admin,2015,National,1,0,NA,72.19286980449571
ABW,AW,Aruba,Oranjestad,-70.0167,12.5167,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,https://washdata.org/data/country/ABW/household/download,REG15,Admin,2015,Rural,1,1,NA,-99
ABW,AW,Aruba,Oranjestad,-70.0167,12.5167,LCN,ZJ,Latin America & Caribbean ,NA,NA,NA,HIC,XD,High income,LNX,XX,Not classified,https://washdata.org/data/country/ABW/household/download,REG15,Admin,2015,Urban,1,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,ALCS14,Survey,2014,National,1,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,ALCS14,Survey,2014,Rural,1,1,34.82338220781052,50.95
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,ALCS14,Survey,2014,Urban,1,1,62.675,73.47500000000001
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,ALCS17,Survey,2017,National,1,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,ALCS17,Survey,2017,Rural,1,1,41.81,50.95
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,ALCS17,Survey,2017,Urban,1,1,61.39,73.47500000000001
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,DHS15,Survey,2015,National,1,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,DHS15,Survey,2015,Rural,1,1,44.5,50.95
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,DHS15,Survey,2015,Urban,1,1,59.76,73.47500000000001
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MICS00,Survey,2000,National,0,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MICS00,Survey,2000,Rural,1,0,NA,50.95
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MICS00,Survey,2000,Urban,0,0,NA,73.47500000000001
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MICS03,Survey,2003,National,0,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MICS03,Survey,2003,Rural,1,1,20.7,50.95
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MICS03,Survey,2003,Urban,1,1,30.5,73.47500000000001
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MICS11,Survey,2011,National,1,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MICS11,Survey,2011,Rural,1,1,50.95,50.95
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MICS11,Survey,2011,Urban,1,1,73.47500000000001,73.47500000000001
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MICS97,Survey,1997,National,0,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MICS97,Survey,1997,Rural,1,0,NA,50.95
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MICS97,Survey,1997,Urban,1,0,NA,73.47500000000001
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MIS09,Survey,2009,National,1,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MIS09,Survey,2009,Rural,1,0,NA,50.95
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MIS09,Survey,2009,Urban,1,0,NA,73.47500000000001
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MIS11,Survey,2011,National,1,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MIS11,Survey,2011,Rural,1,0,NA,50.95
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MIS11,Survey,2011,Urban,1,0,NA,73.47500000000001
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MIS14,Survey,2014,National,1,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MIS14,Survey,2014,Rural,1,0,NA,50.95
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MIS14,Survey,2014,Urban,1,0,NA,73.47500000000001
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MS10,Survey,2010,National,1,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MS10,Survey,2010,Rural,1,0,NA,50.95
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,MS10,Survey,2010,Urban,1,0,NA,73.47500000000001
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,NNS13,Survey,2013,National,1,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,NNS13,Survey,2013,Rural,0,0,NA,50.95
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,NNS13,Survey,2013,Urban,0,0,NA,73.47500000000001
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,NRVA03,Survey,2003,National,0,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,NRVA03,Survey,2003,Rural,1,1,27.233961734597763,50.95
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,NRVA03,Survey,2003,Urban,0,0,NA,73.47500000000001
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,NRVA08,Survey,2008,National,1,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,NRVA08,Survey,2008,Rural,1,1,39.12,50.95
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,NRVA08,Survey,2008,Urban,1,1,54.660000000000004,73.47500000000001
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,NRVA12,Survey,2012,National,1,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,NRVA12,Survey,2012,Rural,1,1,37.788000000000004,50.95
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,NRVA12,Survey,2012,Urban,1,1,57.388,73.47500000000001
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,NRVS05,Survey,2005,National,1,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,NRVS05,Survey,2005,Rural,1,1,18.117912729209603,50.95
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,NRVS05,Survey,2005,Urban,1,1,29.165416903403603,73.47500000000001
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,SAP13,Survey,2013,National,1,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,SAP13,Survey,2013,Rural,1,0,NA,50.95
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,SAP13,Survey,2013,Urban,1,0,NA,73.47500000000001
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,SAP14,Survey,2014,National,1,1,NA,-99
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,SAP14,Survey,2014,Rural,1,0,NA,50.95
AFG,AF,Afghanistan,Kabul,69.1761,34.5228,SAS,8S,South Asia,SAS,8S,South Asia,LIC,XM,Low income,IDX,XI,IDA,https://washdata.org/data/country/AFG/household/download,SAP14,Survey,2014,Urban,1,0,NA,73.47500000000001
AGO,AO,Angola,Luanda,13.242,-8.81155,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,https://washdata.org/data/country/AGO/household/download,CEN14,Census,2014,National,1,1,NA,-99
AGO,AO,Angola,Luanda,13.242,-8.81155,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,https://washdata.org/data/country/AGO/household/download,CEN14,Census,2014,Rural,1,1,41.690592551577765,42.3191825
AGO,AO,Angola,Luanda,13.242,-8.81155,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,https://washdata.org/data/country/AGO/household/download,CEN14,Census,2014,Urban,1,1,34.47287641787301,56.52738166666667
AGO,AO,Angola,Luanda,13.242,-8.81155,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,https://washdata.org/data/country/AGO/household/download,IBEP09,Survey,2009,National,1,1,NA,-99
AGO,AO,Angola,Luanda,13.242,-8.81155,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,https://washdata.org/data/country/AGO/household/download,IBEP09,Survey,2009,Rural,1,1,35.583518224499095,42.3191825
AGO,AO,Angola,Luanda,13.242,-8.81155,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,https://washdata.org/data/country/AGO/household/download,IBEP09,Survey,2009,Urban,1,1,48.222463747222434,56.52738166666667
AGO,AO,Angola,Luanda,13.242,-8.81155,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,https://washdata.org/data/country/AGO/household/download,IIMS16,Survey,2016,National,1,1,NA,-99
AGO,AO,Angola,Luanda,13.242,-8.81155,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,https://washdata.org/data/country/AGO/household/download,IIMS16,Survey,2016,Rural,1,1,40.37479,42.3191825
AGO,AO,Angola,Luanda,13.242,-8.81155,SSF,ZG,Sub-Saharan Africa ,SSA,ZF,Sub-Saharan Africa (excluding high income),LMC,XN,Lower middle income,IBD,XF,IBRD,https://washdata.org/data/country/AGO/household/download,IIMS16,Survey,2016,Urban,1,1,56.52738166666667,56.52738166666667
