ref_area,indicator,source,sex,classif1,time,obs_value,obs_status
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2010,46.717,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2010,38.387,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2010,51.573,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2011,46.826,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2011,38.603,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2011,51.694,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2012,46.96,R
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2012,38.864,R
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2012,51.832,R
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2013,47.03,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2013,38.987,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2013,51.943,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2014,47.1,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2014,39.102,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2014,52.044,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2015,47.17,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2015,39.204,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2015,52.128,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2016,47.24,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2016,39.287,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2016,52.185,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2017,47.31,R
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2017,39.366,R
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2017,52.235,R
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2018,47.376,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2018,39.455,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2018,52.263,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2019,47.44,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2019,39.537,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2019,52.282,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2020,41.58,R
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2020,34.063,R
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2020,46.144,R
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2021,41.391,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2021,33.741,
AFG,EAP_2WAP_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2021,45.982,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2010,77.26,R
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2010,57.201,R
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2010,89.138,R
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2011,77.32,R
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2011,57.514,R
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2011,88.979,R
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2012,77.331,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2012,57.577,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2012,88.882,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2013,77.332,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2013,57.562,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2013,88.817,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2014,77.327,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2014,57.499,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2014,88.778,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2015,77.313,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2015,57.366,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2015,88.782,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2016,77.301,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2016,57.234,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2016,88.803,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2017,77.281,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2017,57.062,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2017,88.843,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2018,77.251,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2018,56.825,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2018,88.92,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2019,77.213,
AGO,EAP_2WAP_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2019,56.544,
