ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
ABW,EAP_DWAP_SEX_AGE_RT,BA:829,SEX_T,AGE_YTHADULT_YGE15,2011,63.8,,,,
ABW,EAP_DWAP_SEX_AGE_RT,BA:829,SEX_T,AGE_AGGREGATE_TOTAL,2011,63.8,,,,
ABW,EAP_DWAP_SEX_AGE_RT,BA:829,SEX_T,AGE_10YRBANDS_TOTAL,2011,63.8,,,,
ABW,EAP_DWAP_SEX_AGE_RT,BA:829,SEX_T,AGE_5YRBANDS_TOTAL,2011,63.8,,,,
ABW,EAP_DWAP_SEX_AGE_RT,BA:829,SEX_T,AGE_5YRBANDS_Y15-19,2011,36,,C6:1451_C6:1690,,
ABW,EAP_DWAP_SEX_AGE_RT,BA:829,SEX_T,AGE_5YRBANDS_Y25-29,2011,85.5,,C6:1501_C6:1670,,
ABW,EAP_DWAP_SEX_AGE_RT,BA:829,SEX_T,AGE_5YRBANDS_Y35-39,2011,89.3,,C6:1502,,
ABW,EAP_DWAP_SEX_AGE_RT,BA:829,SEX_T,AGE_5YRBANDS_Y45-49,2011,84.7,,C6:1503,,
ABW,EAP_DWAP_SEX_AGE_RT,BA:829,SEX_T,AGE_5YRBANDS_Y55-59,2011,60,,C6:1504,,
ABW,EAP_DWAP_SEX_AGE_RT,BA:829,SEX_T,AGE_5YRBANDS_YGE65,2011,7.4,,,,
ABW,EAP_DWAP_SEX_AGE_RT,AA:22,SEX_T,AGE_YTHADULT_YGE15,2010,63.91,,C6:1059,,S3:20
ABW,EAP_DWAP_SEX_AGE_RT,AA:22,SEX_T,AGE_AGGREGATE_TOTAL,2010,63.91,,,,S3:20_T2:83
ABW,EAP_DWAP_SEX_AGE_RT,AA:22,SEX_T,AGE_10YRBANDS_TOTAL,2010,63.91,,,,S3:20_T2:83
ABW,EAP_DWAP_SEX_AGE_RT,AA:22,SEX_T,AGE_5YRBANDS_TOTAL,2010,63.91,,,,S3:20_T2:83
ABW,EAP_DWAP_SEX_AGE_RT,AA:22,SEX_T,AGE_5YRBANDS_Y10-14,2010,0.55,,,,S3:20_T2:83
ABW,EAP_DWAP_SEX_AGE_RT,AA:22,SEX_T,AGE_5YRBANDS_Y15-19,2010,15.56,,C6:1059,,S3:20_T2:83
ABW,EAP_DWAP_SEX_AGE_RT,AA:22,SEX_T,AGE_5YRBANDS_Y20-24,2010,67.19,,,,S3:20_T2:83
ABW,EAP_DWAP_SEX_AGE_RT,AA:22,SEX_T,AGE_5YRBANDS_Y25-29,2010,86.47,,,,S3:20_T2:83
ABW,EAP_DWAP_SEX_AGE_RT,AA:22,SEX_T,AGE_5YRBANDS_Y30-34,2010,88.33,,,,S3:20_T2:83
ABW,EAP_DWAP_SEX_AGE_RT,AA:22,SEX_T,AGE_5YRBANDS_Y35-39,2010,89.24,,,,S3:20_T2:83
ABW,EAP_DWAP_SEX_AGE_RT,AA:22,SEX_T,AGE_5YRBANDS_Y40-44,2010,89.23,,,,S3:20_T2:83
ABW,EAP_DWAP_SEX_AGE_RT,AA:22,SEX_T,AGE_5YRBANDS_Y45-49,2010,87.09,,,,S3:20_T2:83
ABW,EAP_DWAP_SEX_AGE_RT,AA:22,SEX_T,AGE_5YRBANDS_Y50-54,2010,82.39,,,,S3:20_T2:83
ABW,EAP_DWAP_SEX_AGE_RT,AA:22,SEX_T,AGE_5YRBANDS_Y55-59,2010,72.55,,,,S3:20_T2:83
ABW,EAP_DWAP_SEX_AGE_RT,AA:22,SEX_T,AGE_5YRBANDS_Y60-64,2010,39.85,,,,S3:20_T2:83
ABW,EAP_DWAP_SEX_AGE_RT,AA:22,SEX_T,AGE_5YRBANDS_YGE65,2010,20.83,,C6:2262,,S3:20_T2:83
AFG,EAP_DWAP_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_YGE15,2012,46.96,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_Y15-64,2012,48.14,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_Y15-24,2012,38.77,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_YGE25,2012,51.7,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_RT,BB:6361,SEX_T,AGE_AGGREGATE_TOTAL,2012,46.96,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_RT,BB:6361,SEX_T,AGE_AGGREGATE_Y15-24,2012,38.77,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_RT,BB:6361,SEX_T,AGE_AGGREGATE_Y25-54,2012,55.86,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_RT,BB:6361,SEX_T,AGE_AGGREGATE_Y55-64,2012,40.21,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_RT,BB:6361,SEX_T,AGE_AGGREGATE_YGE65,2012,23.28,,,,R1:3513
AFG,EAP_DWAP_SEX_AGE_RT,BB:6361,SEX_T,AGE_10YRBANDS_TOTAL,2012,46.96,,,,R1:3513
