Country Code,"Series Code","YR2004","YR2005","YR2006","YR2007","YR2008","YR2009","YR2010","YR2011","YR2012","YR2013","YR2014","YR2015","YR2016","YR2017","YR2018","YR2019","YR2020"
AFG,"5.51.01.09.water","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
AFG,"3.01.04.01.agcen","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
AFG,"2.04.01.01.excncpt","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1"
AFG,"5.51.01.02.malnut","0.33333","0.33333","0.33333","0.33333","0.66667","0.66667","0.66667","0.33333","0.33333","0.33333","0.33333","0.33333","0.33333","0.33333","0.33333","0.33333","0.66667"
AFG,"5.51.01.03.mortal","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
AFG,"2.01.03.01.prcpbase","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
AFG,"5.04.01.01.exdebt","0","0","0","0","1","0","1","1","1","1","1","1","1","1","1","1","1"
AFG,"5.51.01.07.gender","0.33333","0.33333","0.66667","0.66667","0.66667","1","1","1","1","1","1","1","1","1","0.66667","0.66667","1"
AFG,"3.02.01.02.fscov","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1"
AFG,"5.13.01.01.hlthsurv","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
AFG,"5.51.01.05.hiv","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
AFG,"5.51.01.04.immun","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
AFG,"5.04.01.02.impexp","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
AFG,"5.51.01.01.poverty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
AFG,"5.01.01.01.indust","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
AFG,"5.51.01.06.matern","0.33333","0.33333","0.33333","0.66667","0.66667","0.66667","1","1","1","1","1","1","1","1","1","1","1"
AFG,"IQ.SCI.MTHD","0","20","20","20","40","30","40","40","40","50","50","40","40","40","40","40","50"
AFG,"2.01.01.02.nabase","0","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","1"
AFG,"5.13.01.01.who","0","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0"
AFG,"IQ.SCI.OVRL","24.4444444444444","31.1111111111111","32.2222222222222","34.4444444444444","45.5555555555556","46.6666666666667","52.2222222222222","51.1111111111111","50","53.3333333333333","54.4444444444444","51.1111","51.1111","51.1111","50","50","57.7778"
AFG,"5.51.01.10.gdp","0.33333","0.33333","0.33333","0.33333","0.33333","0.33333","0.66667","0.66667","0.66667","0.66667","1","1","1","1","1","1","1"
AFG,"IQ.SCI.PRDC","53.33333","53.33333","56.66667","63.33333","66.66667","70","76.66667","73.33333","70","70","73.3333333333333","73.3333","73.3333","73.3333","70","70","83.3334"
AFG,"3.11.01.01.popcen","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
AFG,"5.14.01.01.povsurv","0","0","0","0","0.5","1","1","1","1","1","1","1","1","1","1","1","1"
AFG,"5.51.01.08.primcomp","0","0","0","0.33333","0.33333","0.33333","0.33333","0.33333","0","0","0","0","0","0","0","0","0.66667"
AFG,"IQ.SCI.SRCE","20","20","20","20","30","40","40","40","40","40","40","40","40","40","40","40","40"
AFG,"5.21.01.01.sdds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
AFG,"5.12.01.01.unesco","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1"
AFG,"3.11.01.03.popreg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
ALB,"5.51.01.09.water","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
ALB,"3.01.04.01.agcen","1","1","1","1","1","1","0","0","0","0","1","1","1","1","1","1","1"
ALB,"2.04.01.01.excncpt","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
ALB,"5.51.01.02.malnut","0.66667","0.66667","0.66667","0.66667","0.66667","1","1","1","1","0.66667","0.66667","0.66667","0.66667","0.66667","0.66667","0.33333","0.66667"
ALB,"5.51.01.03.mortal","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
ALB,"2.01.03.01.prcpbase","1","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","1"
ALB,"5.04.01.01.exdebt","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
ALB,"5.51.01.07.gender","0.66667","0.66667","0.33333","0.33333","0","0","0","0","0","0","0","0","1","1","1","1","1"
ALB,"3.02.01.02.fscov","1","1","1","1","1","1","1","1","1","0","0","0","1","1","1","0","1"
ALB,"5.13.01.01.hlthsurv","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0.5","0.5"
ALB,"5.51.01.05.hiv","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1"
ALB,"5.51.01.04.immun","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
ALB,"5.04.01.02.impexp","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
ALB,"5.51.01.01.poverty","0.33333","0.33333","0.66667","0.66667","1","1","1","1","1","1","1","1","1","1","1","0.66667","1"
