,Unnamed: 0.1,Unnamed: 0,#,Code,Country,2020,2021,2022,2023,2024
0,0,0,1,AFG,Afghanistan,na,,,,No Data
1,1,1,2,ALB,Albania,rev4,rev4,rev4,rev4,rev4
2,2,2,3,DZA,Algeria,rev3,rev3,rev3,rev3,rev3
3,3,3,4,AND,Andorra,na,,,,No Data
4,4,4,5,AGO,Angola,rev4,rev4,rev4,rev4,rev4
5,5,5,6,ATG,Antigua and Barbuda,rev3,rev3,rev3,rev3,rev3
6,6,6,7,ARG,Argentina,rev3,rev3,rev3,rev3,rev3
7,7,7,8,ARM,Armenia,nace rev2,nace rev2,nace rev2,nace rev2,nace rev2
8,8,8,9,AUS,Australia,rev4,rev4,rev4,rev4,rev4
9,9,9,10,AUT,Austria,rev4,rev4,rev4,rev4,rev4
10,10,10,11,AZE,Azerbaijan,rev4,rev4,rev4,rev4,rev4
11,11,11,12,BHS,"Bahamas, The",rev4,rev4,rev4,rev4,rev4
12,12,12,13,BHR,Bahrain,rev3,rev3,rev3,rev3,rev3
13,13,13,14,BGD,Bangladesh,rev4,rev4,rev4,rev4,rev4
14,14,14,15,BRB,Barbados,rev3,rev3,rev3,rev4,rev4
15,15,15,16,BLR,Belarus,rev4,rev4,rev4,rev4,rev4
16,16,16,17,BEL,Belgium,rev4,rev4,rev4,rev4,Not Found
17,17,17,18,BLZ,Belize,Rev3,Rev3,Rev3,Rev3,Rev3
18,18,18,19,BEN,Benin,Rev3,Rev3,Rev3,rev4,rev4
19,19,19,20,BTN,Bhutan,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2
20,20,20,21,BOL,Bolivia,rev3,rev3,rev3,rev4,rev4
21,21,21,22,BIH,Bosnia and Herzegovina,rev4,rev4,rev4,rev4,rev4
22,22,22,23,BWA,Botswana,rev4,rev4,rev4,rev4,rev4
23,23,23,24,BRA,Brazil,rev4,rev4,rev4,rev4,rev4
24,24,24,25,BRN,Brunei Darussalam,rev3,rev3,rev3,rev3,rev3
25,25,25,26,BGR,Bulgaria,rev4,rev4,rev4,rev4,rev4
