"iso3c","date","National.accounts.base.year","NABY","NABY_dates"
"ABW",2016,"2000","2000","2000"
"ABW",2017,"2000","2000","2000"
"ABW",2018,"2000","2000","2000"
"ABW",2019,"2000","2000","2000"
"ABW",2020,"2000","2000","2000"
"ABW",2021,"2000","2000","2000"
"ABW",2022,"2013","2013","2013"
"ADO",2016,"2000","2000","2000"
"AFG",2016,"2002/03","2002/03","2003"
"AFG",2017,"2002/03","2002/03","2003"
"AFG",2018,"2002/03","2002/03","2003"
"AFG",2019,"2002/03","2002/03","2003"
"AFG",2020,"2016","2016","2016"
"AFG",2021,"2016","2016","2016"
"AFG",2022,"2016","2016","2016"
"AGO",2016,"2002","2002","2002"
"AGO",2017,"2002","2002","2002"
"AGO",2018,"2002","2002","2002"
"AGO",2019,"2002","2002","2002"
"AGO",2020,"2002","2002","2002"
"AGO",2021,"2002","2002","2002"
"AGO",2022,"2002","2002","2002"
"ALB",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ALB",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ALB",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ALB",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ALB",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ALB",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ALB",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AND",2017,"2000","2000","2000"
"AND",2018,"2000","2000","2000"
"AND",2019,"2000","2000","2000"
"AND",2020,"2010","2010","2010"
"AND",2021,"2010","2010","2010"
"AND",2022,"2010","2010","2010"
"ARE",2016,"2007","2007","2007"
"ARE",2017,"2010","2010","2010"
"ARE",2018,"2010","2010","2010"
"ARE",2019,"2010","2010","2010"
"ARE",2020,"2010","2010","2010"
"ARE",2021,"2010","2010","2010"
"ARE",2022,"2010","2010","2010"
"ARG",2016,"2004","2004","2004"
"ARG",2017,"2004","2004","2004"
"ARG",2018,"2004","2004","2004"
"ARG",2019,"2004","2004","2004"
"ARG",2020,"2004","2004","2004"
"ARG",2021,"2004","2004","2004"
"ARG",2022,"2004","2004","2004"
"ARM",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ARM",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ARM",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ARM",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ARM",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ARM",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ARM",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ASM",2016,NA,NA,NA
"ASM",2017,NA,NA,NA
"ASM",2018,"2009","2009","2009"
"ASM",2019,"2009","2009","2009"
"ASM",2020,"2009","2009","2009"
"ASM",2021,"2012","2012","2012"
"ASM",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"ATG",2016,"2006","2006","2006"
"ATG",2017,"2006","2006","2006"
"ATG",2018,"2006","2006","2006"
"ATG",2019,"2006","2006","2006"
"ATG",2020,"2006","2006","2006"
"ATG",2021,"2006","2006","2006"
"ATG",2022,"2006","2006","2006"
"AUS",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AUS",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AUS",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AUS",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AUS",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AUS",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AUS",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AUT",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AUT",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AUT",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AUT",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AUT",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AUT",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AUT",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AZE",2016,"2000","2000","2000"
"AZE",2017,"2000","2000","2000"
"AZE",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AZE",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AZE",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AZE",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"AZE",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BDI",2016,"2005","2005","2005"
"BDI",2017,"2005","2005","2005"
"BDI",2018,"2005","2005","2005"
"BDI",2019,"2005","2005","2005"
"BDI",2020,"2005","2005","2005"
"BDI",2021,"2005","2005","2005"
"BDI",2022,"2005","2005","2005"
"BEL",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BEL",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BEL",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BEL",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BEL",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BEL",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BEL",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BEN",2016,"2007","2007","2007"
"BEN",2017,"2007","2007","2007"
"BEN",2018,"2007","2007","2007"
"BEN",2019,"2007","2007","2007"
"BEN",2020,"2015","2015","2015"
"BEN",2021,"2015","2015","2015"
"BEN",2022,"2015","2015","2015"
"BFA",2016,"1999","1999","1999"
"BFA",2017,"1999","1999","1999"
"BFA",2018,"1999","1999","1999"
"BFA",2019,"1999","1999","1999"
"BFA",2020,"2015","2015","2015"
"BFA",2021,"2015","2015","2015"
"BFA",2022,"2015","2015","2015"
"BGD",2016,"2005/06","2005/06","2006"
"BGD",2017,"2005/06","2005/06","2006"
"BGD",2018,"2005/06","2005/06","2006"
"BGD",2019,"2005/06","2005/06","2006"
"BGD",2020,"2005/06","2005/06","2006"
"BGD",2021,"2005/06","2005/06","2006"
"BGD",2022,"2016","2016","2016"
"BGR",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BGR",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BGR",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BGR",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BGR",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BGR",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BGR",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BHR",2016,"2010","2010","2010"
"BHR",2017,"2010","2010","2010"
"BHR",2018,"2010","2010","2010"
"BHR",2019,"2010","2010","2010"
"BHR",2020,"2010","2010","2010"
"BHR",2021,"2010","2010","2010"
"BHR",2022,"2010","2010","2010"
"BHS",2016,"2006","2006","2006"
"BHS",2017,"2006","2006","2006"
"BHS",2018,"2012","2012","2012"
"BHS",2019,"2012","2012","2012"
"BHS",2020,"2012","2012","2012"
"BHS",2021,"2012","2012","2012"
"BHS",2022,"2012","2012","2012"
"BIH",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BIH",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BIH",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BIH",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BIH",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BIH",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BIH",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BLR",2016,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BLR",2017,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BLR",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BLR",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BLR",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BLR",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BLR",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BLZ",2016,"2000","2000","2000"
"BLZ",2017,"2000","2000","2000"
"BLZ",2018,"2000","2000","2000"
"BLZ",2019,"2000","2000","2000"
"BLZ",2020,"2000","2000","2000"
"BLZ",2021,"2000","2000","2000"
"BLZ",2022,"2000","2000","2000"
"BMU",2016,"2006","2006","2006"
"BMU",2017,"2006","2006","2006"
"BMU",2018,"2006","2006","2006"
"BMU",2019,"2006","2006","2006"
"BMU",2020,"2006","2006","2006"
"BMU",2021,"2006","2006","2006"
"BMU",2022,"2013","2013","2013"
"BOL",2016,"1990","1990","1990"
"BOL",2017,"1990","1990","1990"
"BOL",2018,"1990","1990","1990"
"BOL",2019,"1990","1990","1990"
"BOL",2020,"1990","1990","1990"
"BOL",2021,"1990","1990","1990"
"BOL",2022,"1990","1990","1990"
"BRA",2016,"1995","1995","1995"
"BRA",2017,"1995","1995","1995"
"BRA",2018,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BRA",2019,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BRA",2020,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BRA",2021,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BRA",2022,"Original chained constant price data are rescaled.","Original chained constant price data are rescaled.",NA
"BRB",2016,"1974","1974","1974"
"BRB",2017,"1974","1974","1974"
"BRB",2018,"1974","1974","1974"
"BRB",2019,"2010","2010","2010"
"BRB",2020,"2010","2010","2010"
"BRB",2021,"2010","2010","2010"
"BRB",2022,"2010","2010","2010"
"BRN",2016,"2000","2000","2000"
"BRN",2017,"2010","2010","2010"
"BRN",2018,"2010","2010","2010"
"BRN",2019,"2010","2010","2010"
"BRN",2020,"2010","2010","2010"
"BRN",2021,"2010","2010","2010"
"BRN",2022,"2010","2010","2010"
"BTN",2016,"2000","2000","2000"
"BTN",2017,"2000","2000","2000"
"BTN",2018,"2000","2000","2000"
"BTN",2019,"2000","2000","2000"
"BTN",2020,"2000","2000","2000"
"BTN",2021,"2000","2000","2000"
"BTN",2022,"2000","2000","2000"
"BWA",2016,"2006","2006","2006"
"BWA",2017,"2006","2006","2006"
"BWA",2018,"2006","2006","2006"
"BWA",2019,"2006","2006","2006"
"BWA",2020,"2006","2006","2006"
"BWA",2021,"2006","2006","2006"
