,Unnamed: 0,#,Code,Country,2020,2021,2022,2023,IMF_checker_CNIN
0,0,1,AFG,Afghanistan,na,,,,No Data
1,1,2,ALB,Albania,rev4,rev4,rev4,rev4,nace
2,2,3,DZA,Algeria,rev3,rev3,rev3,rev3,Not Found
3,3,4,AND,Andorra,na,,,,No Data
4,4,5,AGO,Angola,rev4,rev4,rev4,rev4,No Data
5,5,6,ATG,Antigua and Barbuda,rev3,rev3,rev3,rev3,No Data
6,6,7,ARG,Argentina,rev3,rev3,rev3,rev3,Not Found
7,7,8,ARM,Armenia,nace rev2,nace rev2,nace rev2,nace rev2,nace
8,8,9,AUS,Australia,rev4,rev4,rev4,rev4,Not Found
9,9,10,AUT,Austria,rev4,rev4,rev4,rev4,nace
10,10,11,AZE,Azerbaijan,rev4,rev4,rev4,rev4,nace
11,11,12,BHS,"Bahamas, The",rev4,rev4,rev4,rev4,No Data
12,12,13,BHR,Bahrain,rev3,rev3,rev3,rev3,No Data
13,13,14,BGD,Bangladesh,rev4,rev4,rev4,rev4,Not Found
14,14,15,BRB,Barbados,rev3,rev3,rev3,rev4,rev4
15,15,16,BLR,Belarus,rev4,rev4,rev4,rev4,nace
16,16,17,BEL,Belgium,rev4,rev4,rev4,rev4,Not Found
17,17,18,BLZ,Belize,Rev3,Rev3,Rev3,Rev3,No Data
18,18,19,BEN,Benin,Rev3,Rev3,Rev3,Rev3,Not Found
19,19,20,BTN,Bhutan,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,No Data
20,20,21,BOL,Bolivia,rev3,rev3,rev3,rev4,Not Found
21,21,22,BIH,Bosnia and Herzegovina,rev4,rev4,rev4,rev4,nace
22,22,23,BWA,Botswana,rev4,rev4,rev4,rev4,rev4
23,23,24,BRA,Brazil,rev4,rev4,rev4,rev4,rev4
24,24,25,BRN,Brunei Darussalam,rev3,rev3,rev3,rev3,Not Found
25,25,26,BGR,Bulgaria,rev4,rev4,rev4,rev4,nace
26,26,27,BFA,Burkina Faso,rev4,rev4,rev4,rev4,Not Found
27,27,28,BDI,Burundi,rev3,rev3,rev3,rev3,No Data
28,28,29,CPV,Cabo Verde,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,No Data
29,29,30,KHM,Cambodia,rev3,rev3,rev3,rev3,No Data
30,30,31,CMR,Cameroon,rev4,rev4,rev4,rev4,Not Found
31,31,32,CAN,Canada,rev4,rev4,rev4,rev4,Not Found
32,32,33,CAF,Central African Republic,rev3,rev3,rev3,rev3,Not Found
33,33,34,TCD,Chad,,,,,Not Found
34,34,35,CHL,Chile,rev4,rev4,rev4,rev4,Not Found
35,35,36,CHN,China,rev4,rev4,rev4,rev4,Not Found
36,36,37,COL,Colombia,rev4,rev4,rev4,rev4,Not Found
37,37,38,COM,Comoros,,,,,Not Found
38,38,39,COD,"Congo, Dem. Rep.",rev3,rev3,rev3,rev3,Not Found
39,39,40,COG,"Congo, Rep.",ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,Not Found
40,40,41,CRI,Costa Rica,rev4,rev4,rev4,rev4,Not Found
41,41,42,CIV,Côte d'Ivoire,rev3,rev3,rev3,rev3,Not Found
42,42,43,HRV,Croatia,rev4,rev4,rev4,rev4,nace
43,43,44,CYP,Cyprus,rev4,rev4,rev4,rev4,nace
44,44,45,CZE,Czech Republic,rev4,rev4,rev4,rev4,nace
45,45,46,DNK,Denmark,rev4,rev4,rev4,rev4,nace
46,46,47,DJI,Djibouti,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,No Data
47,47,48,DMA,Dominica,rev3,rev3,rev3,rev3,Not Found
48,48,49,DOM,Dominican Republic,rev4,rev4,rev4,rev4,Not Found
49,49,50,ECU,Ecuador,rev4,rev4,rev4,rev4,Not Found
50,50,51,EGY,"Egypt, Arab Rep.",rev4,rev4,rev4,rev4,Not Found
51,51,52,SLV,El Salvador,rev4,rev4,rev4,rev4,Not Found
52,52,53,GNQ,Equatorial Guinea,,,,,No Data
53,53,54,ERI,Eritrea,,,,,Error
54,54,55,EST,Estonia,rev4,rev4,rev4,rev4,nace
55,55,56,SWZ,Eswatini,rev4,rev4,rev4,rev4,Not Found
56,56,57,ETH,Ethiopia,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,Not Found
57,57,58,FJI,Fiji,rev4,rev4,rev4,rev4,Not Found
58,58,59,FIN,Finland,rev4,rev4,rev4,rev4,nace
59,59,60,FRA,France,rev4,rev4,rev4,rev4,nace
60,60,61,GAB,Gabon,rev3,rev3,rev3,rev3,Not Found
61,61,62,GMB,"Gambia, The",rev3,rev3,rev3,rev3,No Data
62,62,63,GEO,Georgia,nace rev2,nace rev2,nace rev2,nace rev2,nace
63,63,64,DEU,Germany,rev4,rev4,rev4,rev4,nace
64,64,65,GHA,Ghana,rev4,rev4,rev4,rev4,Not Found
65,65,66,GRC,Greece,rev4,rev4,rev4,rev4,nace
66,66,67,GRD,Grenada,rev3,rev3,rev3,rev3,Not Found
67,67,68,GTM,Guatemala,rev4,rev4,rev4,rev4,Not Found
68,68,69,GIN,Guinea,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,No Data
69,69,70,GNB,Guinea-Bissau,ISIC rev2,ISIC rev2,ISIC rev2,ISIC rev2,No Data
70,70,71,GUY,Guyana,rev4,rev4,rev4,rev4,No Data
71,71,72,HTI,Haiti,rev3,rev3,rev3,rev3,No Data
72,72,73,HND,Honduras,rev3,rev3,rev3,rev3,Not Found
