,Unnamed: 0.1,Unnamed: 0,#,iso3c,Country,EMPL_Status_2020,DCS data,IMF_checker_EMP_2022,IMF_checker_UNEMP_2022,ISCE_x,IMF_checker_EMP_2023,IMF_checker_UNEMP_2023,IMF_checker_EMP,IMF_checker_UNEMP,ISCE_y,ISCE
0,0,0,1,AFG,Afghanistan,,0,No Data,No Data,1,No Data,No Data,No Data,No Data,1,1
1,1,1,2,ALB,Albania,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE,ICSE,ICSE,1,1
2,2,2,3,DZA,Algeria,,0,ILO,ILO,1,ILO,ILO,ILO,ILO,1,1
3,3,3,4,AND,Andorra,,0,ICSE,ICSE,1,ICSE,ICSE,ICSE,ICSE,,1
4,4,4,5,AGO,Angola,,0,No Data,No Data,1,No Data,No Data,No Data,No Data,1,1
5,5,5,6,ATG,Antigua and Barbuda,,0,ILO,No Data,0,ILO,No Data,ILO,No Data,1,1
6,6,6,7,ARG,Argentina,,0,ILO,ILO,1,ILO,ILO,ILO,ILO,1,1
7,7,7,8,ARM,Armenia,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE,ICSE,ICSE,1,1
8,8,8,9,AUS,Australia,ICSE-93,1,International Labour Organisation,International Labour Organisation,1,International Labour Organisation,International Labour Organisation,International Labour Organisation,International Labour Organisation,1,1
9,9,9,10,AUT,Austria,,0,ILO,ILO,1,Not Found,ILO,Not Found,ILO,1,1
10,10,10,11,AZE,Azerbaijan,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE,ICSE,ICSE,1,1
11,11,11,12,BHS,"Bahamas, The",,0,Not Found,Not Found,1,Not Found,Not Found,Not Found,Not Found,1,1
12,12,12,13,BHR,Bahrain,,0,ILO,ILO,1,ILO,ILO,Not Found,ILO,0,1
13,13,13,14,BGD,Bangladesh,,0,ILO,Not Found,1,ILO,Not Found,ILO,Not Found,1,1
14,14,14,15,BRB,Barbados,,0,Not Found,Not Found,1,Not Found,Not Found,Not Found,Not Found,1,1
15,15,15,16,BLR,Belarus,ICSE-93,1,International Labour Organisation,International Labour Organisation,1,ICSE,ICSE,ICSE,ICSE,1,1
16,16,16,17,BEL,Belgium,,0,ILO,International Labour Organisation,1,ILO,International Labour Organisation,ILO,International Labour Organisation,1,1
17,17,17,18,BLZ,Belize,,0,No Data,No Data,1,No Data,No Data,No Data,No Data,1,1
18,18,18,19,BEN,Benin,,0,Not Found,Not Found,1,Not Found,Not Found,Not Found,Not Found,,1
19,19,19,20,BTN,Bhutan,,0,Not Found,Not Found,1,Not Found,Not Found,Not Found,Not Found,1,1
20,20,20,21,BOL,Bolivia,,0,ILO,ILO,1,ILO,ILO,ILO,ILO,,1
21,21,21,22,BIH,Bosnia and Herzegovina,,0,ILO,ILO,1,ILO,ILO,Not Found,ILO,1,1
22,22,22,23,BWA,Botswana,,0,Not Found,Not Found,1,Not Found,Not Found,Not Found,Not Found,,1
23,23,23,24,BRA,Brazil,,0,ILO,ILO,1,ILO,ILO,ILO,ILO,,1
24,24,24,25,BRN,Brunei Darussalam,,0,ICSE,ICSE,1,ICSE,ICSE,ICSE,ICSE,1,1
25,25,25,26,BGR,Bulgaria,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE,ICSE,ICSE,1,1
26,26,26,27,BFA,Burkina Faso,,0,ILO,ILO,1,ILO,ILO,ILO,ILO,1,1
27,27,27,28,BDI,Burundi,,0,No Data,No Data,1,No Data,No Data,No Data,No Data,,1
28,28,28,29,CPV,Cabo Verde,,0,ILO,ILO,1,ILO,ILO,ILO,ILO,,1
29,29,29,30,KHM,Cambodia,,0,Not Found,Not Found,1,Not Found,Not Found,Not Found,Not Found,1,1
30,30,30,31,CMR,Cameroon,,0,Not Found,No Data,1,Not Found,No Data,Not Found,No Data,,1
31,31,31,32,CAN,Canada,NAICS,1,NAICS,NAICS,1,NAICS,NAICS,NAICS,NAICS,1,1
32,32,32,33,CAF,Central African Republic,,0,ICSE,ICSE,0,ICSE,ICSE,ICSE,ICSE,,0
33,33,33,34,TCD,Chad,,0,Not Found,Not Found,1,Not Found,Not Found,Not Found,Not Found,,1
34,34,34,35,CHL,Chile,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE,ICSE,ICSE,1,1
35,35,35,36,CHN,China,,0,ILO,ILO,1,ILO,ILO,ILO,ILO,0,1
36,36,36,37,COL,Colombia,,0,ILO,ILO,1,ILO,ILO,ICSE,ICSE,1,1
37,37,37,38,COM,Comoros,,0,No Data,No Data,1,No Data,No Data,No Data,No Data,1,1
38,38,38,39,COD,"Congo, Dem. Rep.",,0,No Data,No Data,1,No Data,No Data,No Data,No Data,1,1
39,39,39,40,COG,"Congo, Rep.",,0,Not Found,No Data,1,Not Found,No Data,Not Found,No Data,0,1
40,40,40,41,CRI,Costa Rica,,0,ICSE,ICSE,1,ICSE,ICSE,ICSE,ICSE,1,1
41,41,41,42,CIV,Côte d'Ivoire,,0,ILO,No Data,1,ILO,No Data,ILO,No Data,1,1
42,42,42,43,HRV,Croatia,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE,ICSE,ICSE,1,1
43,43,43,44,CYP,Cyprus,,0,ICSE,ICSE,1,ICSE,ICSE,ICSE,ICSE,1,1
44,44,44,45,CZE,Czech Republic,,0,ILO,ICSE,1,ILO,ICSE,ILO,ICSE,1,1
45,45,45,46,DNK,Denmark,,0,ILO,ILO,1,ILO,ILO,ILO,ICSE,1,1
46,46,46,47,DJI,Djibouti,,0,No Data,No Data,1,No Data,No Data,No Data,No Data,,1
47,47,47,48,DMA,Dominica,,0,ILO,ILO,0,ILO,ILO,ILO,ILO,,0
48,48,48,49,DOM,Dominican Republic,,0,ILO,ILO,1,ILO,ILO,ILO,ILO,1,1
49,49,49,50,ECU,Ecuador,,0,ILO,ILO,1,ILO,ILO,ILO,ILO,1,1
50,50,50,51,EGY,"Egypt, Arab Rep.",,0,Not Found,Not Found,1,Not Found,Not Found,Not Found,Not Found,1,1
51,51,51,52,SLV,El Salvador,,0,ILO,ILO,1,ILO,ILO,Error,ILO,1,1
52,52,52,53,GNQ,Equatorial Guinea,,0,No Data,No Data,0,No Data,No Data,No Data,No Data,,0
53,53,53,54,ERI,Eritrea,,0,Error,Error,0,Error,Error,Error,Error,,0
54,54,54,55,EST,Estonia,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE,ICSE,ICSE,1,1
55,55,55,56,SWZ,Eswatini,,0,Not Found,Not Found,1,Not Found,Not Found,Not Found,Not Found,1,1
56,56,56,57,ETH,Ethiopia,,0,ILO,ILO,1,ILO,ILO,ILO,ILO,1,1
57,57,57,58,FJI,Fiji,,0,ILO,ILO,1,ILO,ILO,ILO,ILO,1,1
