,Unnamed: 0,#,iso3c,Country,EMPL_Status_2020,DCS data,IMF_checker_EMP_2022,IMF_checker_UNEMP_2022,ISCE,IMF_checker_EMP,IMF_checker_UNEMP
0,0,1,AFG,Afghanistan,,0,No Data,No Data,1,No Data,No Data
1,1,2,ALB,Albania,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE
2,2,3,DZA,Algeria,,0,ILO,ILO,1,ILO,ILO
3,3,4,AND,Andorra,,0,ICSE,ICSE,1,ICSE,ICSE
4,4,5,AGO,Angola,,0,No Data,No Data,1,No Data,No Data
5,5,6,ATG,Antigua and Barbuda,,0,ILO,No Data,0,ILO,No Data
6,6,7,ARG,Argentina,,0,ILO,ILO,1,ILO,ILO
7,7,8,ARM,Armenia,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE
8,8,9,AUS,Australia,ICSE-93,1,International Labour Organisation,International Labour Organisation,1,International Labour Organisation,International Labour Organisation
9,9,10,AUT,Austria,,0,ILO,ILO,1,Not Found,ILO
10,10,11,AZE,Azerbaijan,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE
11,11,12,BHS,"Bahamas, The",,0,Not Found,Not Found,1,Not Found,Not Found
12,12,13,BHR,Bahrain,,0,ILO,ILO,1,ILO,ILO
13,13,14,BGD,Bangladesh,,0,ILO,Not Found,1,ILO,Not Found
14,14,15,BRB,Barbados,,0,Not Found,Not Found,1,Not Found,Not Found
15,15,16,BLR,Belarus,ICSE-93,1,International Labour Organisation,International Labour Organisation,1,ICSE,ICSE
16,16,17,BEL,Belgium,,0,ILO,International Labour Organisation,1,ILO,International Labour Organisation
17,17,18,BLZ,Belize,,0,No Data,No Data,1,No Data,No Data
18,18,19,BEN,Benin,,0,Not Found,Not Found,1,Not Found,Not Found
19,19,20,BTN,Bhutan,,0,Not Found,Not Found,1,Not Found,Not Found
20,20,21,BOL,Bolivia,,0,ILO,ILO,1,ILO,ILO
21,21,22,BIH,Bosnia and Herzegovina,,0,ILO,ILO,1,ILO,ILO
22,22,23,BWA,Botswana,,0,Not Found,Not Found,1,Not Found,Not Found
23,23,24,BRA,Brazil,,0,ILO,ILO,1,ILO,ILO
24,24,25,BRN,Brunei Darussalam,,0,ICSE,ICSE,1,ICSE,ICSE
25,25,26,BGR,Bulgaria,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE
26,26,27,BFA,Burkina Faso,,0,ILO,ILO,1,ILO,ILO
27,27,28,BDI,Burundi,,0,No Data,No Data,1,No Data,No Data
28,28,29,CPV,Cabo Verde,,0,ILO,ILO,1,ILO,ILO
29,29,30,KHM,Cambodia,,0,Not Found,Not Found,1,Not Found,Not Found
30,30,31,CMR,Cameroon,,0,Not Found,No Data,1,Not Found,No Data
31,31,32,CAN,Canada,NAICS,1,NAICS,NAICS,1,NAICS,NAICS
32,32,33,CAF,Central African Republic,,0,ICSE,ICSE,0,ICSE,ICSE
33,33,34,TCD,Chad,,0,Not Found,Not Found,1,Not Found,Not Found
34,34,35,CHL,Chile,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE
35,35,36,CHN,China,,0,ILO,ILO,1,ILO,ILO
36,36,37,COL,Colombia,,0,ILO,ILO,1,ILO,ILO
37,37,38,COM,Comoros,,0,No Data,No Data,1,No Data,No Data
38,38,39,COD,"Congo, Dem. Rep.",,0,No Data,No Data,1,No Data,No Data
39,39,40,COG,"Congo, Rep.",,0,Not Found,No Data,1,Not Found,No Data
40,40,41,CRI,Costa Rica,,0,ICSE,ICSE,1,ICSE,ICSE
41,41,42,CIV,Côte d'Ivoire,,0,ILO,No Data,1,ILO,No Data
42,42,43,HRV,Croatia,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE
43,43,44,CYP,Cyprus,,0,ICSE,ICSE,1,ICSE,ICSE
44,44,45,CZE,Czech Republic,,0,ILO,ICSE,1,ILO,ICSE
45,45,46,DNK,Denmark,,0,ILO,ILO,1,ILO,ILO
46,46,47,DJI,Djibouti,,0,No Data,No Data,1,No Data,No Data
47,47,48,DMA,Dominica,,0,ILO,ILO,0,ILO,ILO
48,48,49,DOM,Dominican Republic,,0,ILO,ILO,1,ILO,ILO
49,49,50,ECU,Ecuador,,0,ILO,ILO,1,ILO,ILO
50,50,51,EGY,"Egypt, Arab Rep.",,0,Not Found,Not Found,1,Not Found,Not Found
51,51,52,SLV,El Salvador,,0,ILO,ILO,1,ILO,ILO
52,52,53,GNQ,Equatorial Guinea,,0,No Data,No Data,0,No Data,No Data
53,53,54,ERI,Eritrea,,0,Error,Error,0,Error,Error
54,54,55,EST,Estonia,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE
55,55,56,SWZ,Eswatini,,0,Not Found,Not Found,1,Not Found,Not Found
56,56,57,ETH,Ethiopia,,0,ILO,ILO,1,ILO,ILO
57,57,58,FJI,Fiji,,0,ILO,ILO,1,ILO,ILO
58,58,59,FIN,Finland,,0,ICSE,ICSE,1,ICSE,ICSE
59,59,60,FRA,France,,0,Not Found,ILO,1,Not Found,ILO
60,60,61,GAB,Gabon,,0,Not Found,Not Found,1,Not Found,Not Found
61,61,62,GMB,"Gambia, The",,0,International Labour Organisation,ILO,1,International Labour Organisation,ILO
62,62,63,GEO,Georgia,ICSE-93,1,ICSE,ILO,1,ICSE,ILO
63,63,64,DEU,Germany,,0,ILO,International Labour Organisation,1,ILO,International Labour Organisation
64,64,65,GHA,Ghana,,0,Not Found,No Data,1,Not Found,No Data
65,65,66,GRC,Greece,,0,ICSE,ICSE,1,ICSE,ICSE
66,66,67,GRD,Grenada,,0,Not Found,No Data,1,Not Found,No Data
67,67,68,GTM,Guatemala,,0,International Labour Organisation,International Labour Organisation,1,International Labour Organisation,International Labour Organisation
68,68,69,GIN,Guinea,,0,No Data,No Data,1,No Data,No Data
69,69,70,GNB,Guinea-Bissau,,0,No Data,No Data,1,No Data,No Data
70,70,71,GUY,Guyana,,0,No Data,No Data,1,No Data,No Data
71,71,72,HTI,Haiti,,0,No Data,No Data,1,No Data,No Data
72,72,73,HND,Honduras,,0,Not Found,Not Found,1,Not Found,Not Found
73,73,74,HUN,Hungary,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE
74,74,75,ISL,Iceland,ICSE-93,1,ICSE,Not Found,1,ICSE,Not Found
75,75,76,IND,India,,0,ICSE,ICSE,1,ILO,ILO
76,76,77,IDN,Indonesia,,0,ILO,ILO,1,ILO,ILO
77,77,78,IRN,"Iran, Islamic Rep.",,0,Not Found,No Data,1,Not Found,No Data
78,78,79,IRQ,Iraq,,0,ILO,ILO,1,ILO,ILO
79,79,80,IRL,Ireland,,0,ICSE,ICSE,1,ICSE,ICSE
80,80,81,ISR,Israel,,0,ILO,ILO,1,ILO,ILO
81,81,82,ITA,Italy,,0,ICSE,ICSE,1,ICSE,ILO
82,82,83,JAM,Jamaica,,0,ILO,ILO,1,ILO,ILO
83,83,84,JPN,Japan,,0,ILO,ILO,1,ILO,ILO
84,84,85,JOR,Jordan,,0,Not Found,Not Found,1,Not Found,Not Found
85,85,86,KAZ,Kazakhstan,,0,ILO,ILO,1,ILO,ILO
86,86,87,KEN,Kenya,,0,ILO,ILO,1,ILO,ILO
87,87,88,KIR,Kiribati,,0,Not Found,No Data,1,Not Found,No Data
88,88,89,KOR,"Korea, Rep.",,0,ICSE,ILO,1,ICSE,ILO
89,89,90,XKX,Kosovo,,0,Error,Error,1,Error,Error
90,90,91,KWT,Kuwait,,0,ILO,ILO,1,ILO,ILO
91,91,92,KGZ,Kyrgyz Republic,ICSE-93,1,ILO,ILO,1,ILO,ILO
92,92,93,LAO,Lao PDR,,0,No Data,No Data,1,No Data,No Data
93,93,94,LVA,Latvia,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE
94,94,95,LBN,Lebanon,,0,No Data,No Data,1,No Data,No Data
95,95,96,LSO,Lesotho,,0,ILO,ILO,1,ILO,ILO
96,96,97,LBR,Liberia,,0,Not Found,No Data,1,Not Found,No Data
97,97,98,LBY,Libya,,0,Not Found,No Data,0,Not Found,No Data
98,98,99,LTU,Lithuania,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE
99,99,100,LUX,Luxembourg,,0,Not Found,ILO,1,Not Found,ILO
100,100,101,MKD,"Macedonia, FYR",,0,ILO,ILO,1,ILO,ILO
101,101,102,MDG,Madagascar,,0,ILO,Not Found,1,ILO,Not Found
102,102,103,MWI,Malawi,,0,No Data,No Data,1,No Data,No Data
103,103,104,MYS,Malaysia,,0,ICSE,ICSE,1,ICSE,ICSE
104,104,105,MDV,Maldives,,0,Not Found,Not Found,1,Not Found,Not Found
105,105,106,MLI,Mali,,0,Not Found,Not Found,1,Not Found,Not Found
106,106,107,MLT,Malta,,0,ICSE,ICSE,1,ICSE,ILO
107,107,108,MHL,Marshall Islands,,0,ILO,No Data,1,ILO,No Data
108,108,109,MRT,Mauritania,,0,Not Found,Not Found,1,Not Found,Not Found
109,109,110,MUS,Mauritius,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE
110,110,111,MEX,Mexico,NAICS,1,NAICS,NAICS,1,NAICS,NAICS
111,111,112,FSM,"Micronesia, Fed. Sts.",,0,Not Found,No Data,1,Not Found,No Data
112,112,113,MDA,Moldova,ICSE-93,1,Not Found,ILO,1,Not Found,ILO
113,113,114,MNG,Mongolia,ICSE-93,1,ILO,ILO,1,ILO,ILO
114,114,115,MNE,Montenegro,,0,ICSE,ICSE,1,ICSE,ICSE
115,115,116,MAR,Morocco,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE
116,116,117,MOZ,Mozambique,,0,No Data,No Data,1,No Data,No Data
117,117,118,MMR,Myanmar,,0,No Data,No Data,1,No Data,No Data
118,118,119,NAM,Namibia,,0,ILO,ILO,1,ILO,ILO
119,119,120,NRU,Nauru,,0,Error,Error,1,Error,Error
120,120,121,NPL,Nepal,,0,Not Found,Not Found,1,Not Found,Not Found
121,121,122,NLD,Netherlands,,0,Not Found,ILO,1,Not Found,ILO
122,122,123,NZL,New Zealand,,0,Error,Error,1,Error,Error
123,123,124,NIC,Nicaragua,,0,ILO,Not Found,1,ILO,Not Found
124,124,125,NER,Niger,,0,ILO,No Data,1,ILO,No Data
125,125,126,NGA,Nigeria,,0,ILO,Error,1,ILO,Error
126,126,127,NOR,Norway,,0,ICSE,ICSE,1,ICSE,ICSE
127,127,128,OMN,Oman,,0,Not Found,Not Found,1,Not Found,Not Found
128,128,129,PAK,Pakistan,,0,ILO,ILO,1,ILO,ILO
129,129,130,PLW,Palau,,0,Not Found,Not Found,1,Not Found,Not Found
130,130,131,PAN,Panama,,0,ILO,ILO,1,ILO,ILO
131,131,132,PNG,Papua New Guinea,,0,Not Found,No Data,0,Not Found,No Data
132,132,133,PRY,Paraguay,,0,ILO,ILO,1,ILO,ILO
133,133,134,PER,Peru,,0,Not Found,Not Found,1,Not Found,Not Found
134,134,135,PHL,Philippines,,0,ILO,ILO,1,ILO,ILO
135,135,136,POL,Poland,,0,ILO,ILO,1,ILO,ILO
136,136,137,PRT,Portugal,,0,ICSE,ICSE,1,ICSE,ICSE
137,137,138,QAT,Qatar,,0,Not Found,Not Found,1,Not Found,Not Found
138,138,139,ROU,Romania,ICSE-93,1,Not Found,ICSE,1,Not Found,ICSE
139,139,140,RUS,Russian Federation,,0,ILO,ILO,1,ILO,ILO
140,140,141,RWA,Rwanda,,0,Not Found,Not Found,1,Not Found,Not Found
141,141,142,WSM,Samoa,,0,Not Found,No Data,1,Not Found,No Data
142,142,143,STP,São Tomé and Principe,,0,No Data,No Data,0,No Data,No Data
143,143,144,SAU,Saudi Arabia,,0,ICSE,ICSE,1,ICSE,ICSE
144,144,145,SEN,Senegal,,0,ICSE,ICSE,1,ICSE,ICSE
145,145,146,SRB,Serbia,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE
146,146,147,SYC,Seychelles,,0,Not Found,ILO,1,Not Found,ILO
147,147,148,SLE,Sierra Leone,,0,ILO,ILO,1,ILO,ILO
148,148,149,SGP,Singapore,,0,ILO,ILO,1,ILO,ILO
149,149,150,SVK,Slovak Republic,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE
150,150,151,SVN,Slovenia,,0,ILO,ILO,1,ILO,ILO
151,151,152,SLB,Solomon Islands,,0,No Data,No Data,1,No Data,No Data
152,152,153,SOM,Somalia,,0,No Data,No Data,1,No Data,No Data
153,153,154,ZAF,South Africa,,0,International Labour Organisation,ILO,1,International Labour Organisation,ILO
154,154,155,SSD,South Sudan,,0,Error,Error,0,Error,Error
155,155,156,ESP,Spain,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE
156,156,157,LKA,Sri Lanka,,0,ILO,ILO,1,ILO,ILO
157,157,158,KNA,St. Kitts and Nevis,,0,ILO,ILO,0,ILO,ILO
158,158,159,LCA,St. Lucia,,0,Not Found,Not Found,1,Not Found,Not Found
159,159,160,VCT,St. Vincent and the Grenadines,,0,Not Found,No Data,0,Not Found,No Data
160,160,161,SDN,Sudan,,0,ILO,ILO,1,ILO,ILO
161,161,162,SUR,Suriname,,0,ICSE,ICSE,1,ICSE,ICSE
162,162,163,SWE,Sweden,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE
163,163,164,CHE,Switzerland,,0,Not Found,ILO,1,Not Found,ILO
164,164,165,SYR,Syrian Arab Republic,,0,Not Found,Not Found,1,Not Found,Not Found
165,165,166,TJK,Tajikistan,,0,Not Found,ILO,0,Not Found,ILO
166,166,167,TZA,Tanzania,ICSE-93,1,Not Found,Not Found,1,Not Found,Not Found
167,167,168,THA,Thailand,ICSE-93,1,ICSE,ICSE,1,ICSE,ICSE
168,168,169,TLS,Timor-Leste,,0,ILO,ILO,1,ILO,ILO
169,169,170,TGO,Togo,,0,Not Found,No Data,1,Not Found,No Data
170,170,171,TON,Tonga,,0,ILO,No Data,1,ILO,No Data
171,171,172,TTO,Trinidad and Tobago,,0,Not Found,Not Found,1,Not Found,Not Found
172,172,173,TUN,Tunisia,,0,Not Found,Not Found,1,Not Found,Not Found
173,173,174,TUR,Turkey,ICSE-93,1,Error,ICSE,1,Error,ICSE
174,174,175,TKM,Turkmenistan,,0,Error,Error,0,Error,Error
175,175,176,TUV,Tuvalu,,0,Not Found,Not Found,1,Not Found,Not Found
176,176,177,UGA,Uganda,ICSE-93,1,ILO,ILO,1,ILO,ILO
177,177,178,UKR,Ukraine,ICSE-93,1,ILO,ILO,1,ILO,ILO
178,178,179,ARE,United Arab Emirates,,0,Not Found,Not Found,1,Not Found,Not Found
179,179,180,GBR,United Kingdom,,0,ILO,Not Found,1,ILO,Not Found
180,180,181,USA,United States,NAICS,1,NAICS,NAICS,1,NAICS,NAICS
181,181,182,URY,Uruguay,,0,ILO,ILO,1,ILO,ILO
182,182,183,UZB,Uzbekistan,ICSE-93,1,ICSE,ILO,1,ICSE,ILO
183,183,184,VUT,Vanuatu,,0,Not Found,Not Found,1,Not Found,Not Found
184,184,185,VEN,"Venezuela, RB",,0,ILO,ILO,1,ILO,ILO
185,185,186,VNM,Vietnam,,0,International Labour Organisation,Not Found,1,International Labour Organisation,Not Found
186,186,187,PSE,West Bank and Gaza,,0,Error,Error,1,Error,Error
187,187,188,YEM,"Yemen, Rep.",,0,No Data,No Data,1,No Data,No Data
188,188,189,ZMB,Zambia,,0,Not Found,Not Found,1,Not Found,Not Found
189,189,190,ZWE,Zimbabwe,,0,ILO,ILO,1,ILO,ILO
